Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-18 19:30:34.3, 100.1586, 1.578012, 200, 99.83765
2017-08-18 19:30:49.3, 99.98596, 1.578631, 200, 99.84131
2017-08-18 19:31:04.4, 100.0649, 1.578348, 200, 99.84131
2017-08-18 19:31:19.4, 100.1335, 1.578102, 200, 99.84229
2017-08-18 19:31:34.5, 100.0797, 1.578295, 200, 99.84326
2017-08-18 19:31:49.5, 98.66028, 1.583398, 200, 99.84448
2017-08-18 19:32:04.6, 98.12091, 1.585346, 200, 99.84473
2017-08-18 19:32:19.7, 97.84662, 1.586339, 200, 99.8479
2017-08-18 19:32:34.8, 97.55679, 1.587389, 200, 99.84424
2017-08-18 19:32:49.8, 97.21393, 1.588633, 200, 99.8479
2017-08-18 19:33:04.9, 97.04111, 1.589261, 200, 99.84546
2017-08-18 19:33:20.0, 96.23074, 1.592211, 200, 99.84351
2017-08-18 19:33:35.1, 96.35098, 1.591773, 200, 99.84644
2017-08-18 19:33:50.1, 96.21069, 1.592284, 200, 99.84595
2017-08-18 19:34:05.3, 96.40802, 1.591565, 200, 99.84546
2017-08-18 19:34:20.3, 96.1976, 1.592332, 200, 99.84814
2017-08-18 19:34:35.4, 95.92361, 1.593332, 200, 99.84717
2017-08-18 19:34:50.7, 95.63156, 1.5944, 200, 99.84766
2017-08-18 19:35:05.7, 95.86899, 1.593532, 200, 99.84546
2017-08-18 19:35:20.7, 95.7059, 1.594128, 200, 99.84375
2017-08-18 19:35:35.8, 96.01416, 1.593001, 200, 99.84912
2017-08-18 19:35:50.8, 95.89911, 1.593422, 200, 99.84888
2017-08-18 19:36:05.8, 95.61118, 1.594474, 200, 99.84717
2017-08-18 19:36:20.9, 95.92419, 1.59333, 200, 99.84619
2017-08-18 19:36:36.0, 95.86151, 1.593559, 200, 99.85205
2017-08-18 19:36:51.0, 95.79568, 1.5938, 200, 99.84912
2017-08-18 19:37:06.0, 95.84705, 1.593612, 200, 99.85181
2017-08-18 19:37:21.1, 95.83862, 1.593643, 200, 99.84961
2017-08-18 19:37:36.1, 96.25992, 1.592105, 200, 99.84741
2017-08-18 19:37:51.2, 96.13156, 1.592573, 200, 99.84961
2017-08-18 19:38:06.2, 95.99011, 1.593089, 200, 99.84839
2017-08-18 19:38:21.4, 96.25778, 1.592112, 200, 99.84595
2017-08-18 19:38:36.4, 96.21976, 1.592251, 200, 99.84692
2017-08-18 19:38:51.5, 96.3631, 1.591728, 200, 99.84912
2017-08-18 19:39:06.5, 96.52451, 1.59114, 200, 99.85083
2017-08-18 19:39:21.6, 96.59708, 1.590876, 200, 99.84839
2017-08-18 19:39:36.7, 96.61774, 1.590801, 200, 99.8457
2017-08-18 19:39:51.8, 96.65375, 1.59067, 200, 99.84741
2017-08-18 19:40:06.8, 96.80814, 1.590108, 200, 99.85254
2017-08-18 19:40:22.0, 96.99771, 1.589419, 200, 99.84839
2017-08-18 19:40:37.0, 97.07297, 1.589145, 200, 99.84717
2017-08-18 19:40:52.1, 97.01382, 1.58936, 200, 99.84937
2017-08-18 19:41:07.2, 96.80441, 1.590121, 200, 99.84473
2017-08-18 19:41:22.2, 96.49948, 1.591232, 200, 99.84644
2017-08-18 19:41:37.3, 96.36716, 1.591714, 200, 99.84619
2017-08-18 19:41:52.4, 96.04877, 1.592875, 200, 99.85229
2017-08-18 19:42:07.4, 96.29654, 1.591971, 200, 99.85474
2017-08-18 19:42:22.6, 96.17743, 1.592406, 200, 99.85474
2017-08-18 19:42:37.6, 95.63342, 1.594393, 200, 99.85425
2017-08-18 19:42:52.7, 95.45901, 1.595031, 200, 99.85254
2017-08-18 19:43:07.7, 95.10046, 1.596345, 200, 99.85303
2017-08-18 19:43:22.8, 95.12476, 1.596256, 200, 99.85645
2017-08-18 19:43:37.9, 95.13297, 1.596225, 200, 99.85376
2017-08-18 19:43:53.0, 94.81189, 1.597403, 200, 99.85449
2017-08-18 19:44:08.1, 94.0527, 1.600196, 200, 99.85645
2017-08-18 19:44:23.1, 93.64587, 1.601696, 200, 99.85303
2017-08-18 19:44:38.2, 93.42236, 1.602521, 200, 99.85596
2017-08-18 19:44:53.3, 93.18781, 1.603388, 200, 99.8562
2017-08-18 19:45:08.4, 92.51208, 1.605892, 200, 99.85522
2017-08-18 19:45:23.4, 92.01968, 1.607721, 200, 99.85474
2017-08-18 19:45:38.5, 91.6582, 1.609066, 200, 99.85547
2017-08-18 19:45:53.6, 91.83542, 1.608406, 200, 99.854
2017-08-18 19:46:08.7, 91.69473, 1.60893, 200, 99.85425
2017-08-18 19:46:23.7, 91.69611, 1.608925, 200, 99.85449
2017-08-18 19:46:38.8, 91.2692, 1.610517, 200, 99.85303
2017-08-18 19:46:53.9, 91.19086, 1.610809, 200, 99.85791
2017-08-18 19:47:09.0, 91.07474, 1.611243, 200, 99.85938
2017-08-18 19:47:24.0, 90.85226, 1.612074, 200, 99.8606
2017-08-18 19:47:39.1, 90.64044, 1.612867, 200, 99.86182
2017-08-18 19:47:54.2, 90.67499, 1.612737, 200, 99.85742
2017-08-18 19:48:09.3, 90.60834, 1.612987, 200, 99.85815
2017-08-18 19:48:24.4, 90.22577, 1.61442, 200, 99.86011
2017-08-18 19:48:39.4, 90.20059, 1.614514, 200, 99.86011
