Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-10-18 18:06:34.9, 98.2179, 2.082471, 200, 98.94727
2017-10-18 18:06:50.0, 98.15659, 2.082788, 200, 98.94775
2017-10-18 18:07:05.0, 98.14301, 2.082859, 200, 98.94604
2017-10-18 18:07:20.1, 98.14728, 2.082837, 200, 98.94531
2017-10-18 18:07:35.2, 98.01489, 2.083523, 200, 98.94434
2017-10-18 18:07:50.3, 98.06937, 2.08324, 200, 98.94531
2017-10-18 18:08:05.3, 98.13104, 2.082921, 200, 98.94482
2017-10-18 18:08:20.4, 98.00482, 2.083575, 200, 98.94287
2017-10-18 18:08:35.5, 98.08777, 2.083145, 200, 98.94653
2017-10-18 18:08:50.5, 98.09344, 2.083115, 200, 98.94409
2017-10-18 18:09:05.6, 98.12463, 2.082954, 200, 98.95117
2017-10-18 18:09:20.6, 98.1748, 2.082694, 200, 98.94482
2017-10-18 18:09:35.7, 98.11954, 2.08298, 200, 98.94946
2017-10-18 18:09:50.8, 98.21591, 2.082481, 200, 98.94971
2017-10-18 18:10:05.9, 98.22867, 2.082415, 200, 98.94751
2017-10-18 18:10:21.0, 98.21396, 2.082491, 200, 98.94312
2017-10-18 18:10:36.1, 98.2074, 2.082525, 200, 98.94458
2017-10-18 18:10:51.2, 98.29053, 2.082095, 200, 98.94434
2017-10-18 18:11:06.2, 98.24362, 2.082338, 200, 98.94434
2017-10-18 18:11:21.3, 98.2149, 2.082486, 200, 98.93848
2017-10-18 18:11:36.4, 98.11502, 2.083004, 200, 98.93604
2017-10-18 18:11:51.5, 98.12662, 2.082944, 200, 98.93848
2017-10-18 18:12:06.6, 98.07153, 2.083229, 200, 98.94067
2017-10-18 18:12:21.6, 97.98145, 2.083696, 200, 98.93433
2017-10-18 18:12:36.7, 97.77585, 2.084762, 200, 98.93799
2017-10-18 18:12:51.8, 97.78448, 2.084717, 200, 98.9397
2017-10-18 18:13:06.8, 97.63992, 2.085468, 200, 98.94214
