Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-19 16:18:48.0, 19.43758, 1.497648, 200, 100.085
2017-06-19 16:19:03.1, 19.3882, 1.498735, 200, 100.0837
2017-06-19 16:19:18.1, 19.35406, 1.499487, 200, 100.085
2017-06-19 16:19:33.2, 19.38378, 1.498832, 200, 100.083
2017-06-19 16:19:48.2, 19.34726, 1.499637, 200, 100.084
2017-06-19 16:20:03.3, 19.31432, 1.500364, 200, 100.0808
2017-06-19 16:20:18.3, 19.31919, 1.500256, 200, 100.0815
2017-06-19 16:20:33.3, 19.31842, 1.500274, 200, 100.0854
2017-06-19 16:20:48.4, 19.29184, 1.50086, 200, 100.0818
2017-06-19 16:21:03.4, 19.25874, 1.501592, 200, 100.0842
2017-06-19 16:21:18.4, 19.29288, 1.500837, 200, 100.085
2017-06-19 16:21:33.5, 19.25802, 1.501608, 200, 100.0796
2017-06-19 16:21:48.5, 19.28474, 1.501017, 200, 100.0857
2017-06-19 16:22:03.6, 19.26644, 1.501421, 200, 100.0864
2017-06-19 16:22:18.7, 19.26147, 1.501531, 200, 100.0845
2017-06-19 16:22:33.7, 19.24853, 1.501818, 200, 100.0845
2017-06-19 16:22:48.8, 19.27697, 1.501189, 200, 100.0828
2017-06-19 16:23:03.9, 19.29852, 1.500713, 200, 100.0808
2017-06-19 16:23:18.9, 19.27232, 1.501292, 200, 100.083
2017-06-19 16:23:34.0, 19.27183, 1.501302, 200, 100.0828
2017-06-19 16:23:49.1, 19.25707, 1.501629, 200, 100.0806
2017-06-19 16:24:04.2, 19.30765, 1.500511, 200, 100.0808
2017-06-19 16:24:19.3, 19.28248, 1.501067, 200, 100.0818
2017-06-19 16:24:34.3, 19.26385, 1.501479, 200, 100.0781
2017-06-19 16:24:49.4, 19.2457, 1.50188, 200, 100.0789
2017-06-19 16:25:04.4, 19.2819, 1.50108, 200, 100.0769
2017-06-19 16:25:19.5, 19.29151, 1.500868, 200, 100.0757
2017-06-19 16:25:34.5, 19.26343, 1.501488, 200, 100.073
2017-06-19 16:25:49.6, 19.25037, 1.501777, 200, 100.0728
2017-06-19 16:26:04.7, 19.3102, 1.500455, 200, 100.0732
2017-06-19 16:26:19.7, 19.30218, 1.500632, 200, 100.0798
2017-06-19 16:26:34.8, 19.28502, 1.501011, 200, 100.0757
2017-06-19 16:26:49.9, 19.27961, 1.50113, 200, 100.0752
2017-06-19 16:27:04.9, 19.31632, 1.50032, 200, 100.0776
2017-06-19 16:27:19.9, 19.32691, 1.500086, 200, 100.0771
2017-06-19 16:27:35.0, 19.3181, 1.50028, 200, 100.0767
2017-06-19 16:27:50.1, 19.31248, 1.500404, 200, 100.0776
2017-06-19 16:28:05.2, 19.33877, 1.499825, 200, 100.0774
2017-06-19 16:28:20.3, 19.32006, 1.500237, 200, 100.0771
2017-06-19 16:28:35.3, 19.32447, 1.50014, 200, 100.0798
2017-06-19 16:28:50.3, 19.33397, 1.49993, 200, 100.075
2017-06-19 16:29:05.4, 19.36523, 1.499241, 200, 100.0789
2017-06-19 16:29:20.5, 19.34314, 1.499728, 200, 100.0759
2017-06-19 16:29:35.5, 19.36145, 1.499324, 200, 100.0781
2017-06-19 16:29:50.6, 19.37454, 1.499036, 200, 100.0815
2017-06-19 16:30:05.7, 19.39139, 1.498665, 200, 100.0752
2017-06-19 16:30:20.8, 19.39642, 1.498554, 200, 100.0786
2017-06-19 16:30:35.9, 19.37313, 1.499067, 200, 100.0784
2017-06-19 16:30:50.9, 19.37282, 1.499074, 200, 100.0771
2017-06-19 16:31:06.0, 19.396, 1.498563, 200, 100.0754
2017-06-19 16:31:21.1, 19.37168, 1.499099, 200, 100.072
2017-06-19 16:31:36.2, 19.34632, 1.499658, 200, 100.0715
2017-06-19 16:31:51.2, 19.374, 1.499048, 200, 100.0752
2017-06-19 16:32:06.3, 19.34879, 1.499604, 200, 100.072
2017-06-19 16:32:21.4, 19.32305, 1.500171, 200, 100.0723
2017-06-19 16:32:36.5, 19.30386, 1.500595, 200, 100.0706
2017-06-19 16:32:51.5, 19.25578, 1.501657, 200, 100.0691
2017-06-19 16:33:06.6, 19.21943, 1.502461, 200, 100.071
2017-06-19 16:33:21.7, 19.16976, 1.503562, 200, 100.0703
2017-06-19 16:33:36.8, 19.13612, 1.504308, 200, 100.0698
2017-06-19 16:33:51.8, 19.15099, 1.503978, 200, 100.0684
2017-06-19 16:34:06.9, 19.05336, 1.506146, 200, 100.0686
2017-06-19 16:34:22.0, 19.01226, 1.507061, 200, 100.0686
2017-06-19 16:34:37.1, 18.95794, 1.508272, 200, 100.0693
2017-06-19 16:34:52.1, 18.94314, 1.508602, 200, 100.0667
2017-06-19 16:35:07.2, 18.86261, 1.510401, 200, 100.0684
2017-06-19 16:35:22.3, 18.80737, 1.511638, 200, 100.0701
2017-06-19 16:35:37.4, 18.74127, 1.51312, 200, 100.0657
2017-06-19 16:35:52.5, 18.68061, 1.514483, 200, 100.0684
2017-06-19 16:36:07.6, 18.61272, 1.516012, 200, 100.0657
2017-06-19 16:36:22.6, 18.57511, 1.51686, 200, 100.0654
2017-06-19 16:36:37.7, 18.48948, 1.518794, 200, 100.0679
2017-06-19 16:36:52.8, 18.46162, 1.519425, 200, 100.0674
