Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-01 17:04:45.5, 91.17018, 1.486607, 200, 100.3157
2017-09-01 17:05:00.6, 91.16685, 1.486623, 200, 100.3176
2017-09-01 17:05:15.7, 91.29088, 1.486046, 200, 100.3147
2017-09-01 17:05:30.7, 91.42848, 1.485406, 200, 100.3159
2017-09-01 17:05:45.8, 91.21736, 1.486388, 200, 100.3154
2017-09-01 17:06:00.9, 91.47823, 1.485175, 200, 100.3145
2017-09-01 17:06:16.0, 91.50658, 1.485043, 200, 100.3135
2017-09-01 17:06:31.0, 91.48738, 1.485132, 200, 100.3152
2017-09-01 17:06:46.1, 91.66338, 1.484315, 200, 100.3147
2017-09-01 17:07:01.2, 91.72646, 1.484022, 200, 100.3174
2017-09-01 17:07:16.3, 91.69243, 1.48418, 200, 100.3145
2017-09-01 17:07:31.3, 91.54836, 1.484849, 200, 100.3125
2017-09-01 17:07:46.4, 91.69255, 1.484179, 200, 100.3123
2017-09-01 17:08:01.5, 91.71477, 1.484076, 200, 100.3159
2017-09-01 17:08:16.6, 91.71254, 1.484087, 200, 100.313
2017-09-01 17:08:31.7, 91.77382, 1.483803, 200, 100.311
2017-09-01 17:08:46.7, 91.8177, 1.483599, 200, 100.3098
2017-09-01 17:09:01.8, 91.78969, 1.483729, 200, 100.3118
2017-09-01 17:09:16.9, 91.71046, 1.484096, 200, 100.3118
2017-09-01 17:09:31.9, 91.82146, 1.483582, 200, 100.3137
2017-09-01 17:09:47.0, 91.68227, 1.484227, 200, 100.3137
2017-09-01 17:10:02.1, 91.84975, 1.483451, 200, 100.3101
2017-09-01 17:10:17.2, 91.99205, 1.482791, 200, 100.3135
2017-09-01 17:10:32.2, 91.89201, 1.483255, 200, 100.3105
2017-09-01 17:10:47.3, 91.76357, 1.48385, 200, 100.3081
2017-09-01 17:11:02.4, 91.92494, 1.483102, 200, 100.3103
2017-09-01 17:11:17.5, 91.95894, 1.482944, 200, 100.3125
2017-09-01 17:11:32.5, 91.85381, 1.483432, 200, 100.3101
2017-09-01 17:11:47.6, 91.81972, 1.48359, 200, 100.3093
2017-09-01 17:12:02.7, 91.84743, 1.483461, 200, 100.3113
2017-09-01 17:12:17.8, 91.70961, 1.4841, 200, 100.312
2017-09-01 17:12:32.9, 91.90456, 1.483196, 200, 100.3105
2017-09-01 17:12:47.9, 91.98552, 1.482821, 200, 100.3118
2017-09-01 17:13:03.0, 91.96556, 1.482914, 200, 100.311
2017-09-01 17:13:18.1, 91.85735, 1.483415, 200, 100.3113
2017-09-01 17:13:33.2, 91.93016, 1.483078, 200, 100.3083
2017-09-01 17:13:48.2, 92.15407, 1.482041, 200, 100.3103
2017-09-01 17:14:03.3, 92.21004, 1.481782, 200, 100.3101
2017-09-01 17:14:18.3, 92.30824, 1.481328, 200, 100.3113
2017-09-01 17:14:33.4, 92.24489, 1.481621, 200, 100.3096
2017-09-01 17:14:48.4, 92.35075, 1.481132, 200, 100.3096
2017-09-01 17:15:03.5, 92.38029, 1.480995, 200, 100.3074
2017-09-01 17:15:18.6, 92.33348, 1.481212, 200, 100.3076
2017-09-01 17:15:33.7, 92.28261, 1.481447, 200, 100.3076
2017-09-01 17:15:48.7, 92.51439, 1.480376, 200, 100.3108
2017-09-01 17:16:03.8, 92.33241, 1.481216, 200, 100.3098
2017-09-01 17:16:18.9, 92.29738, 1.481378, 200, 100.3047
2017-09-01 17:16:34.0, 92.39665, 1.48092, 200, 100.3101
2017-09-01 17:16:49.0, 92.29115, 1.481407, 200, 100.3091
2017-09-01 17:17:04.1, 92.29143, 1.481406, 200, 100.3098
2017-09-01 17:17:19.2, 92.38072, 1.480993, 200, 100.3096
2017-09-01 17:17:34.3, 92.1657, 1.481987, 200, 100.3076
2017-09-01 17:17:49.4, 92.12202, 1.482189, 200, 100.3093
2017-09-01 17:18:04.4, 92.15889, 1.482019, 200, 100.3079
2017-09-01 17:18:19.5, 91.98268, 1.482834, 200, 100.3074
2017-09-01 17:18:34.6, 91.90419, 1.483198, 200, 100.3076
2017-09-01 17:18:49.7, 91.82494, 1.483566, 200, 100.3037
2017-09-01 17:19:04.7, 91.55717, 1.484808, 200, 100.3064
2017-09-01 17:19:19.8, 91.44359, 1.485335, 200, 100.3054
2017-09-01 17:19:34.9, 91.47414, 1.485194, 200, 100.3057
2017-09-01 17:19:49.9, 91.13713, 1.486761, 200, 100.3052
2017-09-01 17:20:05.0, 91.04607, 1.487185, 200, 100.3035
2017-09-01 17:20:20.1, 90.9752, 1.487515, 200, 100.3037
2017-09-01 17:20:35.2, 90.85139, 1.488093, 200, 100.3086
2017-09-01 17:20:50.3, 90.78261, 1.488414, 200, 100.3049
2017-09-01 17:21:05.3, 90.57487, 1.489384, 200, 100.304
2017-09-01 17:21:20.4, 90.3636, 1.490372, 200, 100.3044
2017-09-01 17:21:35.5, 90.31535, 1.490597, 200, 100.3057
2017-09-01 17:21:50.6, 90.205, 1.491114, 200, 100.3057
2017-09-01 17:22:05.6, 90.03343, 1.491918, 200, 100.301
2017-09-01 17:22:20.7, 89.81425, 1.492946, 200, 100.3018
2017-09-01 17:22:35.8, 89.78172, 1.493099, 200, 100.3044
2017-09-01 17:22:50.9, 89.5598, 1.494142, 200, 100.3032
2017-09-01 17:23:06.0, 89.39384, 1.494923, 200, 100.303
2017-09-01 17:23:21.0, 89.2972, 1.495378, 200, 100.3022
2017-09-01 17:23:36.0, 89.10374, 1.496289, 200, 100.3032
2017-09-01 17:23:51.1, 88.90874, 1.49721, 200, 100.2986
2017-09-01 17:24:06.1, 88.93864, 1.497068, 200, 100.3047
2017-09-01 17:24:21.2, 88.72353, 1.498085, 200, 100.3054
2017-09-01 17:24:36.3, 88.67699, 1.498305, 200, 100.303
2017-09-01 17:24:51.4, 88.41939, 1.499524, 200, 100.3003
2017-09-01 17:25:06.5, 88.248, 1.500336, 200, 100.303
2017-09-01 17:25:21.5, 88.27605, 1.500203, 200, 100.303
2017-09-01 17:25:36.6, 88.00273, 1.5015, 200, 100.301
2017-09-01 17:25:51.7, 87.91716, 1.501906, 200, 100.3013
2017-09-01 17:26:06.8, 87.74702, 1.502715, 200, 100.3005
2017-09-01 17:26:21.8, 87.69844, 1.502946, 200, 100.3015
2017-09-01 17:26:36.9, 87.48079, 1.503983, 200, 100.2993
2017-09-01 17:26:52.0, 87.44777, 1.50414, 200, 100.301
2017-09-01 17:27:07.1, 87.23482, 1.505156, 200, 100.2998
2017-09-01 17:27:22.2, 87.1946, 1.505347, 200, 100.3013
2017-09-01 17:27:37.2, 86.97069, 1.506417, 200, 100.3003
2017-09-01 17:27:52.3, 86.82237, 1.507126, 200, 100.2996
2017-09-01 17:28:07.4, 86.69652, 1.507729, 200, 100.2971
2017-09-01 17:28:22.4, 86.61644, 1.508112, 200, 100.301
2017-09-01 17:28:37.5, 86.39519, 1.509173, 200, 100.2986
2017-09-01 17:28:52.6, 86.35118, 1.509384, 200, 100.2979
2017-09-01 17:29:07.6, 86.12657, 1.510463, 200, 100.2988
2017-09-01 17:29:22.6, 86.39912, 1.509154, 200, 100.3013
2017-09-01 17:29:37.7, 86.39403, 1.509178, 200, 100.2983
2017-09-01 17:29:52.8, 86.60329, 1.508175, 200, 100.2979
2017-09-01 17:30:07.9, 86.77061, 1.507374, 200, 100.2983
2017-09-01 17:30:22.9, 86.98198, 1.506363, 200, 100.2991
2017-09-01 17:30:38.0, 87.02596, 1.506153, 200, 100.2983
2017-09-01 17:30:53.1, 87.34648, 1.504623, 200, 100.3013
2017-09-01 17:31:08.2, 87.61882, 1.503325, 200, 100.3005
2017-09-01 17:31:23.3, 87.86592, 1.50215, 200, 100.2979
2017-09-01 17:31:38.3, 88.10152, 1.501031, 200, 100.2993
2017-09-01 17:31:53.4, 88.37447, 1.499737, 200, 100.2979
2017-09-01 17:32:08.5, 88.57866, 1.49877, 200, 100.2993
2017-09-01 17:32:23.6, 89.06923, 1.496452, 200, 100.2979
2017-09-01 17:32:38.6, 89.22459, 1.49572, 200, 100.2974
2017-09-01 17:32:53.7, 89.56267, 1.494128, 200, 100.2988
2017-09-01 17:33:08.8, 89.72008, 1.493389, 200, 100.2969
2017-09-01 17:33:23.8, 89.80647, 1.492983, 200, 100.2961
2017-09-01 17:33:38.9, 90.09328, 1.491637, 200, 100.2937
2017-09-01 17:33:54.0, 90.38875, 1.490254, 200, 100.2949
2017-09-01 17:34:09.1, 90.61736, 1.489185, 200, 100.2957
2017-09-01 17:34:24.2, 90.80711, 1.488299, 200, 100.2949
2017-09-01 17:34:39.2, 90.88972, 1.487914, 200, 100.2927
2017-09-01 17:34:54.3, 91.08339, 1.487011, 200, 100.2954
2017-09-01 17:35:09.4, 91.24812, 1.486245, 200, 100.292
2017-09-01 17:35:24.5, 91.52907, 1.484939, 200, 100.2939
2017-09-01 17:35:39.5, 91.63194, 1.484461, 200, 100.2969
2017-09-01 17:35:54.6, 91.6718, 1.484276, 200, 100.292
2017-09-01 17:36:09.7, 91.80498, 1.483658, 200, 100.2942
2017-09-01 17:36:24.8, 92.01414, 1.482689, 200, 100.293
2017-09-01 17:36:39.9, 91.99092, 1.482796, 200, 100.2935
2017-09-01 17:36:54.9, 92.16838, 1.481975, 200, 100.2903
2017-09-01 17:37:10.0, 92.24147, 1.481637, 200, 100.2917
2017-09-01 17:37:25.1, 92.39409, 1.480932, 200, 100.2927
2017-09-01 17:37:40.1, 92.46678, 1.480596, 200, 100.292
2017-09-01 17:37:55.2, 92.70024, 1.479519, 200, 100.2937
2017-09-01 17:38:10.3, 92.62315, 1.479874, 200, 100.2937
2017-09-01 17:38:25.4, 92.66066, 1.479701, 200, 100.2927
2017-09-01 17:38:40.5, 92.77171, 1.479189, 200, 100.2905
2017-09-01 17:38:55.5, 92.61699, 1.479903, 200, 100.292
2017-09-01 17:39:10.6, 92.6765, 1.479628, 200, 100.2908
2017-09-01 17:39:25.7, 92.84261, 1.478863, 200, 100.2947
2017-09-01 17:39:40.8, 92.77104, 1.479192, 200, 100.2896
2017-09-01 17:39:55.8, 92.83556, 1.478895, 200, 100.2917
2017-09-01 17:40:10.9, 92.7563, 1.47926, 200, 100.2903
2017-09-01 17:40:26.0, 92.82121, 1.478961, 200, 100.292
2017-09-01 17:40:41.0, 92.67705, 1.479625, 200, 100.2903
2017-09-01 17:40:56.1, 92.60283, 1.479968, 200, 100.2888
2017-09-01 17:41:11.2, 92.56007, 1.480165, 200, 100.2922
2017-09-01 17:41:26.3, 92.53584, 1.480277, 200, 100.2932
2017-09-01 17:41:41.4, 92.58775, 1.480037, 200, 100.2898
2017-09-01 17:41:56.4, 92.38612, 1.480968, 200, 100.2915
2017-09-01 17:42:11.4, 92.25655, 1.481567, 200, 100.2908
2017-09-01 17:42:26.5, 92.19255, 1.481863, 200, 100.2935
2017-09-01 17:42:41.6, 92.03249, 1.482604, 200, 100.2881
2017-09-01 17:42:56.6, 92.19536, 1.48185, 200, 100.2915
2017-09-01 17:43:11.7, 92.15163, 1.482052, 200, 100.2878
2017-09-01 17:43:26.8, 91.95219, 1.482976, 200, 100.2922
2017-09-01 17:43:41.9, 92.02061, 1.482659, 200, 100.2905
2017-09-01 17:43:56.9, 91.92479, 1.483103, 200, 100.2927
2017-09-01 17:44:11.9, 91.7321, 1.483996, 200, 100.2893
2017-09-01 17:44:27.0, 91.8578, 1.483413, 200, 100.2861
2017-09-01 17:44:42.1, 91.59163, 1.484648, 200, 100.2896
2017-09-01 17:44:57.2, 91.41582, 1.485465, 200, 100.2888
2017-09-01 17:45:12.2, 91.50389, 1.485055, 200, 100.2874
2017-09-01 17:45:27.3, 91.31993, 1.48591, 200, 100.2883
2017-09-01 17:45:42.4, 91.20564, 1.486442, 200, 100.2888
2017-09-01 17:45:57.4, 90.97752, 1.487505, 200, 100.2881
2017-09-01 17:46:12.5, 90.77232, 1.488462, 200, 100.2883
2017-09-01 17:46:27.6, 90.77229, 1.488462, 200, 100.2917
2017-09-01 17:46:42.7, 90.7758, 1.488445, 200, 100.2927
2017-09-01 17:46:57.8, 90.63618, 1.489097, 200, 100.2913
2017-09-01 17:47:12.8, 90.44395, 1.489996, 200, 100.291
2017-09-01 17:47:27.9, 90.29744, 1.490681, 200, 100.2935
2017-09-01 17:47:43.0, 90.17244, 1.491266, 200, 100.2917
2017-09-01 17:47:58.1, 89.92921, 1.492407, 200, 100.2915
2017-09-01 17:48:13.2, 89.8134, 1.49295, 200, 100.2915
2017-09-01 17:48:28.2, 89.55376, 1.49417, 200, 100.291
2017-09-01 17:48:43.3, 89.38509, 1.494964, 200, 100.2957
2017-09-01 17:48:58.4, 89.24519, 1.495623, 200, 100.2959
2017-09-01 17:49:13.4, 89.15727, 1.496037, 200, 100.2964
2017-09-01 17:49:28.5, 89.08, 1.496401, 200, 100.2935
2017-09-01 17:49:43.6, 88.75874, 1.497918, 200, 100.292
2017-09-01 17:49:58.7, 88.49803, 1.499151, 200, 100.2949
2017-09-01 17:50:13.7, 88.38139, 1.499704, 200, 100.2957
2017-09-01 17:50:28.8, 88.22444, 1.500448, 200, 100.2949
2017-09-01 17:50:43.9, 88.1288, 1.500901, 200, 100.2937
2017-09-01 17:50:59.0, 87.93361, 1.501828, 200, 100.2959
2017-09-01 17:51:14.0, 87.75633, 1.502671, 200, 100.2947
2017-09-01 17:51:29.1, 87.50868, 1.50385, 200, 100.2959
2017-09-01 17:51:44.2, 87.48076, 1.503983, 200, 100.293
2017-09-01 17:51:59.3, 87.19075, 1.505366, 200, 100.2959
2017-09-01 17:52:14.4, 87.14711, 1.505574, 200, 100.2937
2017-09-01 17:52:29.4, 86.91719, 1.506673, 200, 100.2939
2017-09-01 17:52:44.5, 86.65202, 1.507942, 200, 100.2915
2017-09-01 17:52:59.6, 86.65184, 1.507943, 200, 100.2974
2017-09-01 17:53:14.6, 86.48738, 1.508731, 200, 100.2913
2017-09-01 17:53:29.6, 86.58141, 1.50828, 200, 100.2905
2017-09-01 17:53:44.7, 86.41603, 1.509073, 200, 100.2927
2017-09-01 17:53:59.8, 86.42171, 1.509046, 200, 100.2913
2017-09-01 17:54:14.9, 86.80995, 1.507186, 200, 100.2949
2017-09-01 17:54:29.9, 87.00313, 1.506262, 200, 100.2922
2017-09-01 17:54:45.0, 87.09691, 1.505814, 200, 100.2886
2017-09-01 17:55:00.1, 87.44383, 1.504159, 200, 100.2874
2017-09-01 17:55:15.2, 87.84331, 1.502257, 200, 100.2908
2017-09-01 17:55:30.2, 88.06483, 1.501205, 200, 100.2915
2017-09-01 17:55:45.3, 88.2939, 1.500118, 200, 100.2881
2017-09-01 17:56:00.4, 88.68788, 1.498253, 200, 100.2834
2017-09-01 17:56:15.5, 88.98137, 1.496867, 200, 100.2852
2017-09-01 17:56:30.6, 89.20567, 1.495809, 200, 100.2847
2017-09-01 17:56:45.6, 89.50163, 1.494415, 200, 100.2898
2017-09-01 17:57:00.7, 89.59465, 1.493978, 200, 100.2881
2017-09-01 17:57:15.8, 89.66991, 1.493624, 200, 100.2825
2017-09-01 17:57:30.9, 89.88908, 1.492595, 200, 100.2866
2017-09-01 17:57:45.9, 90.02104, 1.491976, 200, 100.2822
2017-09-01 17:58:01.0, 89.92967, 1.492404, 200, 100.2798
2017-09-01 17:58:16.1, 90.03233, 1.491923, 200, 100.28
2017-09-01 17:58:31.2, 90.33586, 1.490501, 200, 100.281
2017-09-01 17:58:46.2, 90.5703, 1.489405, 200, 100.2815
2017-09-01 17:59:01.2, 90.43855, 1.490021, 200, 100.2825
2017-09-01 17:59:16.3, 90.46535, 1.489896, 200, 100.2791
2017-09-01 17:59:31.3, 90.65022, 1.489032, 200, 100.2793
2017-09-01 17:59:46.4, 90.73817, 1.488621, 200, 100.2815
2017-09-01 18:00:01.5, 91.03862, 1.48722, 200, 100.2778
2017-09-01 18:00:16.6, 91.16954, 1.48661, 200, 100.2825
2017-09-01 18:00:31.7, 91.44621, 1.485323, 200, 100.2788
2017-09-01 18:00:46.7, 91.59322, 1.484641, 200, 100.2808
2017-09-01 18:01:01.8, 91.52367, 1.484964, 200, 100.2776
2017-09-01 18:01:16.9, 91.74068, 1.483956, 200, 100.2795
