Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-22 17:11:38.0, 19.03622, 1.974146, 200, 101.4385
2017-06-22 17:11:53.1, 19.04738, 1.973956, 200, 101.4409
2017-06-22 17:12:08.3, 19.05316, 1.973857, 200, 101.4387
2017-06-22 17:12:23.4, 19.02764, 1.974293, 200, 101.4346
2017-06-22 17:12:38.5, 19.02629, 1.974316, 200, 101.4368
2017-06-22 17:12:53.5, 18.99818, 1.974796, 200, 101.4382
2017-06-22 17:13:08.6, 19.01006, 1.974593, 200, 101.4336
2017-06-22 17:13:23.7, 19.01327, 1.974538, 200, 101.437
2017-06-22 17:13:38.7, 18.99925, 1.974778, 200, 101.4321
2017-06-22 17:13:53.8, 18.96357, 1.975387, 200, 101.4316
2017-06-22 17:14:08.9, 18.99196, 1.974902, 200, 101.4299
2017-06-22 17:14:23.9, 18.91531, 1.976213, 200, 101.4316
2017-06-22 17:14:39.0, 18.86032, 1.977154, 200, 101.4382
2017-06-22 17:14:54.0, 18.8626, 1.977115, 200, 101.4343
2017-06-22 17:15:09.1, 18.78024, 1.978526, 200, 101.4258
2017-06-22 17:15:24.2, 18.76682, 1.978756, 200, 101.4275
2017-06-22 17:15:39.2, 18.71745, 1.979603, 200, 101.4255
2017-06-22 17:15:54.3, 18.65737, 1.980635, 200, 101.4243
2017-06-22 17:16:09.4, 18.61485, 1.981366, 200, 101.4312
2017-06-22 17:16:24.4, 18.50051, 1.983334, 200, 101.4282
2017-06-22 17:16:39.5, 18.43968, 1.984383, 200, 101.4294
2017-06-22 17:16:54.5, 18.36578, 1.985658, 200, 101.4277
2017-06-22 17:17:09.6, 18.31043, 1.986614, 200, 101.4302
2017-06-22 17:17:24.7, 18.23383, 1.987939, 200, 101.4282
2017-06-22 17:17:39.8, 18.13998, 1.989565, 200, 101.4285
2017-06-22 17:17:54.8, 18.05291, 1.991076, 200, 101.4272
2017-06-22 17:18:09.9, 17.92949, 1.993222, 200, 101.4294
2017-06-22 17:18:25.0, 17.85535, 1.994513, 200, 101.4346
2017-06-22 17:18:40.1, 17.72168, 1.996845, 200, 101.4282
2017-06-22 17:18:55.1, 17.60106, 1.998953, 200, 101.4277
2017-06-22 17:19:10.2, 17.49384, 2.000832, 200, 101.4297
2017-06-22 17:19:25.3, 17.38599, 2.002725, 200, 101.4302
2017-06-22 17:19:40.3, 17.2748, 2.00468, 200, 101.4268
2017-06-22 17:19:55.3, 17.15999, 2.006703, 200, 101.4265
2017-06-22 17:20:10.4, 17.09473, 2.007855, 200, 101.4282
2017-06-22 17:20:25.5, 16.99074, 2.009693, 200, 101.428
2017-06-22 17:20:40.6, 16.90724, 2.011171, 200, 101.4287
2017-06-22 17:20:55.6, 16.77917, 2.013443, 200, 101.4312
2017-06-22 17:21:10.7, 16.68131, 2.015182, 200, 101.4353
2017-06-22 17:21:25.7, 16.58009, 2.016984, 200, 101.4258
2017-06-22 17:21:40.8, 16.48569, 2.018667, 200, 101.4275
2017-06-22 17:21:55.8, 16.39654, 2.02026, 200, 101.4246
2017-06-22 17:22:10.9, 16.31081, 2.021794, 200, 101.4231
2017-06-22 17:22:26.0, 16.21526, 2.023506, 200, 101.4229
2017-06-22 17:22:41.1, 16.1329, 2.024984, 200, 101.4221
2017-06-22 17:22:56.1, 16.02101, 2.026996, 200, 101.418
2017-06-22 17:23:11.2, 15.96433, 2.028016, 200, 101.4182
2017-06-22 17:23:26.2, 15.92599, 2.028707, 200, 101.4226
2017-06-22 17:23:41.3, 15.86192, 2.029863, 200, 101.4241
2017-06-22 17:23:56.3, 15.84377, 2.03019, 200, 101.4194
2017-06-22 17:24:11.4, 15.81454, 2.030718, 200, 101.4158
2017-06-22 17:24:26.5, 15.85025, 2.030073, 200, 101.4172
2017-06-22 17:24:41.6, 15.86684, 2.029774, 200, 101.4155
2017-06-22 17:24:56.7, 15.93949, 2.028464, 200, 101.4155
2017-06-22 17:25:11.7, 15.94926, 2.028288, 200, 101.4204
2017-06-22 17:25:26.8, 16.04588, 2.026548, 200, 101.4143
