Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-23 17:50:28.8, 95.51367, 2.152599, 200, 100.3899
2017-05-23 17:50:43.9, 95.51465, 2.152593, 200, 100.3879
2017-05-23 17:50:59.0, 95.58508, 2.15222, 200, 100.3926
2017-05-23 17:51:14.1, 95.59564, 2.152164, 200, 100.3926
2017-05-23 17:51:29.2, 95.6106, 2.152085, 200, 100.397
2017-05-23 17:51:44.2, 95.69638, 2.151629, 200, 100.3945
2017-05-23 17:51:59.3, 95.62704, 2.151997, 200, 100.3962
2017-05-23 17:52:14.4, 95.66406, 2.151801, 200, 100.3921
2017-05-23 17:52:29.4, 95.69516, 2.151636, 200, 100.3918
2017-05-23 17:52:44.5, 95.76898, 2.151245, 200, 100.3901
2017-05-23 17:52:59.6, 95.79581, 2.151102, 200, 100.3923
2017-05-23 17:53:14.7, 95.87738, 2.15067, 200, 100.3936
2017-05-23 17:53:29.8, 95.86349, 2.150744, 200, 100.395
2017-05-23 17:53:44.8, 95.98538, 2.150098, 200, 100.3901
2017-05-23 17:53:59.8, 95.91772, 2.150456, 200, 100.3926
2017-05-23 17:54:14.9, 95.93481, 2.150366, 200, 100.3899
2017-05-23 17:54:30.0, 95.94626, 2.150305, 200, 100.3848
2017-05-23 17:54:45.1, 95.98938, 2.150077, 200, 100.3914
2017-05-23 17:55:00.3, 95.88144, 2.150649, 200, 100.3882
2017-05-23 17:55:15.4, 96.0253, 2.149887, 200, 100.3933
2017-05-23 17:55:30.5, 95.91412, 2.150476, 200, 100.3918
2017-05-23 17:55:45.5, 96.08453, 2.149573, 200, 100.3933
2017-05-23 17:56:00.7, 95.96616, 2.1502, 200, 100.3921
2017-05-23 17:56:15.7, 96.06497, 2.149677, 200, 100.3918
2017-05-23 17:56:30.7, 95.90137, 2.150543, 200, 100.3894
2017-05-23 17:56:45.8, 96.00201, 2.15001, 200, 100.3845
2017-05-23 17:57:00.8, 95.89703, 2.150566, 200, 100.3901
2017-05-23 17:57:15.9, 95.93304, 2.150375, 200, 100.3879
2017-05-23 17:57:31.0, 95.84283, 2.150853, 200, 100.386
2017-05-23 17:57:46.1, 95.88379, 2.150636, 200, 100.3911
2017-05-23 17:58:01.1, 95.8132, 2.15101, 200, 100.3943
2017-05-23 17:58:16.2, 95.72229, 2.151492, 200, 100.3877
2017-05-23 17:58:31.3, 95.62894, 2.151987, 200, 100.3875
2017-05-23 17:58:46.4, 95.64957, 2.151878, 200, 100.3831
2017-05-23 17:59:01.4, 95.51944, 2.152568, 200, 100.3884
2017-05-23 17:59:16.5, 95.51474, 2.152593, 200, 100.3857
2017-05-23 17:59:31.6, 95.44052, 2.152987, 200, 100.3889
2017-05-23 17:59:46.7, 95.35974, 2.153416, 200, 100.3845
2017-05-23 18:00:01.7, 95.31638, 2.153646, 200, 100.384
2017-05-23 18:00:16.8, 95.21103, 2.154206, 200, 100.3862
2017-05-23 18:00:31.9, 95.14566, 2.154554, 200, 100.3855
2017-05-23 18:00:47.0, 94.98184, 2.155425, 200, 100.3865
2017-05-23 18:01:02.0, 94.84454, 2.156156, 200, 100.3862
2017-05-23 18:01:17.1, 94.66425, 2.157116, 200, 100.3845
2017-05-23 18:01:32.2, 94.508, 2.157949, 200, 100.3826
2017-05-23 18:01:47.3, 94.10318, 2.160111, 200, 100.386
2017-05-23 18:02:02.3, 93.89417, 2.161228, 200, 100.3889
2017-05-23 18:02:17.3, 93.63437, 2.162619, 200, 100.3833
2017-05-23 18:02:32.4, 93.43561, 2.163685, 200, 100.3887
2017-05-23 18:02:47.5, 93.07126, 2.16564, 200, 100.387
2017-05-23 18:03:02.5, 92.94702, 2.166308, 200, 100.385
2017-05-23 18:03:17.5, 92.51059, 2.168656, 200, 100.3821
2017-05-23 18:03:32.6, 92.2999, 2.169792, 200, 100.3823
2017-05-23 18:03:47.7, 92.05716, 2.171101, 200, 100.384
2017-05-23 18:04:02.8, 91.86725, 2.172127, 200, 100.3833
2017-05-23 18:04:17.8, 91.55051, 2.17384, 200, 100.3848
2017-05-23 18:04:32.9, 91.4826, 2.174208, 200, 100.3831
2017-05-23 18:04:47.9, 91.19611, 2.17576, 200, 100.3833
2017-05-23 18:05:03.0, 91.14941, 2.176013, 200, 100.384
2017-05-23 18:05:18.0, 90.87515, 2.177502, 200, 100.386
2017-05-23 18:05:33.1, 90.74423, 2.178213, 200, 100.3862
2017-05-23 18:05:48.2, 90.4549, 2.179787, 200, 100.3816
2017-05-23 18:06:03.3, 90.34143, 2.180404, 200, 100.3845
2017-05-23 18:06:18.3, 90.01205, 2.182199, 200, 100.3845
2017-05-23 18:06:33.4, 89.80386, 2.183336, 200, 100.3799
2017-05-23 18:06:48.4, 89.49304, 2.185034, 200, 100.3811
2017-05-23 18:07:03.5, 89.29739, 2.186104, 200, 100.3823
2017-05-23 18:07:18.5, 89.08527, 2.187266, 200, 100.3838
2017-05-23 18:07:33.6, 88.97577, 2.187866, 200, 100.3804
2017-05-23 18:07:48.7, 88.72583, 2.189238, 200, 100.3848
2017-05-23 18:08:03.8, 88.48386, 2.190567, 200, 100.386
2017-05-23 18:08:18.9, 88.24823, 2.191863, 200, 100.3826
2017-05-23 18:08:33.9, 88.08621, 2.192755, 200, 100.3835
2017-05-23 18:08:49.0, 87.87729, 2.193906, 200, 100.3794
2017-05-23 18:09:04.1, 87.59454, 2.195465, 200, 100.3789
2017-05-23 18:09:19.2, 87.27423, 2.197235, 200, 100.3813
2017-05-23 18:09:34.2, 87.06906, 2.19837, 200, 100.3777
2017-05-23 18:09:49.3, 86.76828, 2.200037, 200, 100.3752
2017-05-23 18:10:04.3, 86.60849, 2.200923, 200, 100.3838
2017-05-23 18:10:19.4, 86.24194, 2.202958, 200, 100.3794
2017-05-23 18:10:34.4, 86.07349, 2.203895, 200, 100.3726
2017-05-23 18:10:49.5, 85.71512, 2.205891, 200, 100.3784
2017-05-23 18:11:04.6, 85.52524, 2.20695, 200, 100.3774
2017-05-23 18:11:19.7, 85.16077, 2.208985, 200, 100.377
2017-05-23 18:11:34.7, 84.99927, 2.209888, 200, 100.3779
2017-05-23 18:11:49.8, 84.61115, 2.212061, 200, 100.3765
2017-05-23 18:12:04.8, 84.41183, 2.213178, 200, 100.3765
2017-05-23 18:12:19.9, 84.07999, 2.215042, 200, 100.3723
2017-05-23 18:12:34.9, 83.8887, 2.216117, 200, 100.3792
2017-05-23 18:12:50.0, 83.52856, 2.218145, 200, 100.373
2017-05-23 18:13:05.1, 83.40338, 2.218851, 200, 100.3728
2017-05-23 18:13:20.2, 83.13434, 2.220369, 200, 100.3711
2017-05-23 18:13:35.2, 83.04465, 2.220876, 200, 100.374
2017-05-23 18:13:50.3, 82.86234, 2.221906, 200, 100.3677
2017-05-23 18:14:05.4, 82.67233, 2.222981, 200, 100.3657
2017-05-23 18:14:20.5, 82.48032, 2.224068, 200, 100.3687
2017-05-23 18:14:35.5, 82.3205, 2.224974, 200, 100.3669
2017-05-23 18:14:50.6, 82.17996, 2.225771, 200, 100.3691
2017-05-23 18:15:05.7, 81.91971, 2.227249, 200, 100.3743
2017-05-23 18:15:20.7, 81.88, 2.227475, 200, 100.3687
2017-05-23 18:15:35.8, 81.9686, 2.226971, 200, 100.3713
2017-05-23 18:15:50.8, 82.33386, 2.224898, 200, 100.3721
2017-05-23 18:16:05.9, 82.80328, 2.22224, 200, 100.3726
2017-05-23 18:16:21.0, 83.49179, 2.218352, 200, 100.3694
2017-05-23 18:16:36.0, 84.26056, 2.214028, 200, 100.377
2017-05-23 18:16:51.1, 85.06238, 2.209535, 200, 100.3716
2017-05-23 18:17:06.1, 85.76642, 2.205605, 200, 100.3743
2017-05-23 18:17:21.2, 86.60297, 2.200953, 200, 100.3701
2017-05-23 18:17:36.2, 87.27704, 2.19722, 200, 100.3738
2017-05-23 18:17:51.3, 88.04794, 2.192965, 200, 100.3745
2017-05-23 18:18:06.4, 88.72141, 2.189262, 200, 100.377
2017-05-23 18:18:21.5, 89.44324, 2.185306, 200, 100.3696
2017-05-23 18:18:36.6, 90.02853, 2.18211, 200, 100.376
2017-05-23 18:18:51.6, 90.69266, 2.178493, 200, 100.3711
2017-05-23 18:19:06.6, 91.24603, 2.175489, 200, 100.3735
2017-05-23 18:19:21.7, 91.73141, 2.172862, 200, 100.3796
2017-05-23 18:19:36.8, 92.08508, 2.170951, 200, 100.3706
2017-05-23 18:19:51.8, 92.5123, 2.168647, 200, 100.3813
2017-05-23 18:20:06.9, 92.77606, 2.167227, 200, 100.3787
2017-05-23 18:20:22.0, 93.08572, 2.165562, 200, 100.3728
2017-05-23 18:20:37.1, 93.27536, 2.164544, 200, 100.3828
2017-05-23 18:20:52.1, 93.46725, 2.163515, 200, 100.3813
2017-05-23 18:21:07.2, 93.68127, 2.162368, 200, 100.3796
2017-05-23 18:21:22.3, 93.90668, 2.161162, 200, 100.3792
2017-05-23 18:21:37.4, 94.05487, 2.160369, 200, 100.3816
2017-05-23 18:21:52.4, 94.11615, 2.160042, 200, 100.3816
2017-05-23 18:22:07.5, 94.31512, 2.158979, 200, 100.3845
2017-05-23 18:22:22.6, 94.29636, 2.159079, 200, 100.3838
