Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-23 17:51:03.2, 95.83368, 2.023456, 200, 100.2273
2017-05-23 17:51:18.3, 95.55878, 2.024422, 200, 100.2449
2017-05-23 17:51:33.3, 95.66083, 2.024063, 200, 100.23
2017-05-23 17:51:48.5, 95.87976, 2.023295, 200, 100.2283
2017-05-23 17:52:03.6, 95.42615, 2.024888, 200, 100.2275
2017-05-23 17:52:18.6, 96.08936, 2.022559, 200, 100.2275
2017-05-23 17:52:33.6, 95.47223, 2.024726, 200, 100.2202
2017-05-23 17:52:48.7, 95.67273, 2.024022, 200, 100.2129
2017-05-23 17:53:03.8, 95.72961, 2.023822, 200, 100.2239
2017-05-23 17:53:18.8, 95.34619, 2.025169, 200, 100.2253
2017-05-23 17:53:33.9, 95.83032, 2.023468, 200, 100.2266
2017-05-23 17:53:49.0, 95.84174, 2.023428, 200, 100.2195
2017-05-23 17:54:04.0, 95.55298, 2.024442, 200, 100.2258
2017-05-23 17:54:19.0, 95.29987, 2.025332, 200, 100.2129
2017-05-23 17:54:34.1, 95.59033, 2.024311, 200, 100.2234
2017-05-23 17:54:49.2, 95.48462, 2.024683, 200, 100.217
2017-05-23 17:55:04.2, 95.78693, 2.02362, 200, 100.2222
2017-05-23 17:55:19.2, 95.64844, 2.024107, 200, 100.2244
2017-05-23 17:55:34.3, 95.56073, 2.024415, 200, 100.2092
2017-05-23 17:55:49.3, 95.60223, 2.024269, 200, 100.208
2017-05-23 17:56:04.4, 95.89496, 2.023241, 200, 100.2144
2017-05-23 17:56:19.5, 95.48657, 2.024676, 200, 100.2036
2017-05-23 17:56:34.5, 95.84869, 2.023404, 200, 100.2102
2017-05-23 17:56:49.6, 95.61719, 2.024217, 200, 100.2004
2017-05-23 17:57:04.7, 95.64514, 2.024118, 200, 100.2085
2017-05-23 17:57:19.8, 95.70111, 2.023922, 200, 100.2031
2017-05-23 17:57:34.8, 95.38495, 2.025033, 200, 100.1948
2017-05-23 17:57:49.9, 95.58789, 2.02432, 200, 100.2
2017-05-23 17:58:05.0, 95.74103, 2.023782, 200, 100.2034
2017-05-23 17:58:20.1, 95.56171, 2.024412, 200, 100.198
2017-05-23 17:58:35.2, 95.55823, 2.024424, 200, 100.187
2017-05-23 17:58:50.2, 95.50415, 2.024614, 200, 100.1885
2017-05-23 17:59:05.3, 95.13702, 2.025905, 200, 100.1934
2017-05-23 17:59:20.4, 95.7514, 2.023745, 200, 100.1931
