Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-25 14:23:59.6, 97.65933, 1.631485, 200, 99.88184
2017-08-25 14:24:14.7, 97.70096, 1.631335, 200, 99.87671
2017-08-25 14:24:29.7, 97.57889, 1.631774, 200, 99.87964
2017-08-25 14:24:44.7, 97.41672, 1.632359, 200, 99.88013
2017-08-25 14:24:59.8, 97.46591, 1.632181, 200, 99.87476
2017-08-25 14:25:14.9, 97.3439, 1.632621, 200, 99.88208
2017-08-25 14:25:29.9, 97.49741, 1.632068, 200, 99.87744
2017-08-25 14:25:45.0, 97.55161, 1.631873, 200, 99.87524
2017-08-25 14:26:00.1, 97.70209, 1.631331, 200, 99.87646
2017-08-25 14:26:15.2, 97.83817, 1.630841, 200, 99.87744
2017-08-25 14:26:30.2, 97.78864, 1.631019, 200, 99.87524
2017-08-25 14:26:45.3, 97.65463, 1.631501, 200, 99.87695
2017-08-25 14:27:00.4, 97.54977, 1.631879, 200, 99.875
2017-08-25 14:27:15.5, 97.55023, 1.631877, 200, 99.87622
2017-08-25 14:27:30.5, 97.72943, 1.631232, 200, 99.87329
2017-08-25 14:27:45.6, 97.59091, 1.631731, 200, 99.87793
2017-08-25 14:28:00.7, 97.24927, 1.632962, 200, 99.87012
2017-08-25 14:28:15.8, 97.57437, 1.631791, 200, 99.87744
2017-08-25 14:28:30.9, 97.41589, 1.632362, 200, 99.87573
2017-08-25 14:28:45.9, 97.55862, 1.631847, 200, 99.87598
2017-08-25 14:29:01.0, 97.2504, 1.632958, 200, 99.87939
2017-08-25 14:29:16.1, 97.48413, 1.632116, 200, 99.87305
2017-08-25 14:29:31.2, 97.59857, 1.631703, 200, 99.87158
2017-08-25 14:29:46.2, 97.38611, 1.632469, 200, 99.87305
2017-08-25 14:30:01.3, 97.44226, 1.632266, 200, 99.87622
2017-08-25 14:30:16.3, 97.37622, 1.632505, 200, 99.87622
2017-08-25 14:30:31.4, 97.4913, 1.63209, 200, 99.87134
2017-08-25 14:30:46.4, 97.15561, 1.6333, 200, 99.875
2017-08-25 14:31:01.5, 97.45074, 1.632236, 200, 99.87427
2017-08-25 14:31:16.6, 97.41672, 1.632359, 200, 99.87402
2017-08-25 14:31:31.7, 97.34915, 1.632602, 200, 99.8728
2017-08-25 14:31:46.7, 97.62964, 1.631591, 200, 99.87109
2017-08-25 14:32:01.8, 97.37799, 1.632498, 200, 99.87158
2017-08-25 14:32:16.9, 97.16226, 1.633276, 200, 99.86938
2017-08-25 14:32:32.0, 97.06174, 1.633639, 200, 99.87207
2017-08-25 14:32:47.0, 97.10645, 1.633478, 200, 99.87109
2017-08-25 14:33:02.1, 97.16116, 1.63328, 200, 99.87256
2017-08-25 14:33:17.2, 97.04358, 1.633705, 200, 99.87256
2017-08-25 14:33:32.3, 97.215, 1.633086, 200, 99.86963
2017-08-25 14:33:47.4, 96.89261, 1.63425, 200, 99.86987
2017-08-25 14:34:02.4, 96.77411, 1.634678, 200, 99.8728
2017-08-25 14:34:17.5, 96.69543, 1.634963, 200, 99.87378
2017-08-25 14:34:32.6, 96.5918, 1.635338, 200, 99.86743
2017-08-25 14:34:47.7, 96.66058, 1.635089, 200, 99.87085
2017-08-25 14:35:02.7, 96.29303, 1.636419, 200, 99.87183
2017-08-25 14:35:17.8, 96.23419, 1.636632, 200, 99.86914
2017-08-25 14:35:32.9, 95.97699, 1.637565, 200, 99.87036
2017-08-25 14:35:48.0, 95.75836, 1.638358, 200, 99.86914
2017-08-25 14:36:03.0, 95.75439, 1.638373, 200, 99.86938
2017-08-25 14:36:18.1, 95.21829, 1.640322, 200, 99.86792
2017-08-25 14:36:33.2, 95.28043, 1.640096, 200, 99.86792
2017-08-25 14:36:48.3, 94.86264, 1.641618, 200, 99.86865
2017-08-25 14:37:03.3, 94.32779, 1.64357, 200, 99.86816
2017-08-25 14:37:18.4, 93.85477, 1.6453, 200, 99.86841
2017-08-25 14:37:33.5, 93.13638, 1.647935, 200, 99.86841
2017-08-25 14:37:48.6, 93.14456, 1.647905, 200, 99.8689
2017-08-25 14:38:03.7, 92.72769, 1.649438, 200, 99.86304
2017-08-25 14:38:18.7, 92.52332, 1.650191, 200, 99.87036
2017-08-25 14:38:33.8, 92.2359, 1.65125, 200, 99.86841
2017-08-25 14:38:48.9, 92.10324, 1.651739, 200, 99.86719
2017-08-25 14:39:04.0, 91.97449, 1.652215, 200, 99.87036
2017-08-25 14:39:19.0, 91.58163, 1.653667, 200, 99.86865
2017-08-25 14:39:34.1, 91.28055, 1.654781, 200, 99.8689
2017-08-25 14:39:49.2, 91.02844, 1.655716, 200, 99.87085
2017-08-25 14:40:04.2, 90.47021, 1.657789, 200, 99.86768
2017-08-25 14:40:19.3, 90.37488, 1.658143, 200, 99.86792
2017-08-25 14:40:34.4, 89.69455, 1.660678, 200, 99.86719
2017-08-25 14:40:49.5, 89.03516, 1.663141, 200, 99.86475
2017-08-25 14:41:04.6, 88.95581, 1.663438, 200, 99.8667
2017-08-25 14:41:19.6, 88.46973, 1.66526, 200, 99.86499
2017-08-25 14:41:34.7, 88.02017, 1.666948, 200, 99.86938
2017-08-25 14:41:49.8, 87.8443, 1.667609, 200, 99.86963
2017-08-25 14:42:04.9, 87.34644, 1.669485, 200, 99.86426
2017-08-25 14:42:19.9, 87.12094, 1.670335, 200, 99.86597
2017-08-25 14:42:35.0, 86.48016, 1.672757, 200, 99.86548
2017-08-25 14:42:50.1, 86.53375, 1.672554, 200, 99.86279
2017-08-25 14:43:05.2, 86.19391, 1.673842, 200, 99.86304
2017-08-25 14:43:20.2, 86.21121, 1.673776, 200, 99.86475
2017-08-25 14:43:35.3, 85.88287, 1.675021, 200, 99.86621
2017-08-25 14:43:50.4, 85.82755, 1.675231, 200, 99.86865
2017-08-25 14:44:05.5, 85.63358, 1.675968, 200, 99.8667
2017-08-25 14:44:20.5, 85.64755, 1.675915, 200, 99.86133
2017-08-25 14:44:35.6, 85.51715, 1.676411, 200, 99.86523
2017-08-25 14:44:50.7, 85.15512, 1.677788, 200, 99.86768
2017-08-25 14:45:05.8, 85.07718, 1.678085, 200, 99.86304
2017-08-25 14:45:20.9, 84.77365, 1.679242, 200, 99.86206
2017-08-25 14:45:35.9, 84.53073, 1.680169, 200, 99.8584
2017-08-25 14:45:51.0, 84.17813, 1.681517, 200, 99.86157
2017-08-25 14:46:06.1, 83.68512, 1.683405, 200, 99.86353
2017-08-25 14:46:21.1, 83.34708, 1.684702, 200, 99.86401
2017-08-25 14:46:36.2, 82.5881, 1.687621, 200, 99.86157
2017-08-25 14:46:51.3, 82.72678, 1.687087, 200, 99.8584
2017-08-25 14:47:06.4, 82.66147, 1.687338, 200, 99.86475
2017-08-25 14:47:21.4, 82.24246, 1.688954, 200, 99.8623
2017-08-25 14:47:36.4, 82.3284, 1.688622, 200, 99.86353
2017-08-25 14:47:51.5, 81.91934, 1.690202, 200, 99.86572
2017-08-25 14:48:06.6, 81.6109, 1.691395, 200, 99.8606
2017-08-25 14:48:21.7, 81.55179, 1.691623, 200, 99.86377
2017-08-25 14:48:36.7, 81.2901, 1.692637, 200, 99.8645
2017-08-25 14:48:51.8, 81.00443, 1.693745, 200, 99.86304
2017-08-25 14:49:06.9, 80.97635, 1.693854, 200, 99.8645
2017-08-25 14:49:22.2, 80.57407, 1.695417, 200, 99.85986
2017-08-25 14:49:37.3, 80.27081, 1.696597, 200, 99.86328
2017-08-25 14:49:52.3, 80.2471, 1.696689, 200, 99.86035
2017-08-25 14:50:07.4, 80.35742, 1.696259, 200, 99.86084
2017-08-25 14:50:22.5, 81.45346, 1.692004, 200, 99.87085
2017-08-25 14:50:37.5, 82.9397, 1.686267, 200, 99.86499
2017-08-25 14:50:52.6, 84.46542, 1.680419, 200, 99.86694
2017-08-25 14:51:07.7, 85.97363, 1.674677, 200, 99.86865
2017-08-25 14:51:22.8, 86.93179, 1.671049, 200, 99.86328
2017-08-25 14:51:37.8, 88.14606, 1.666475, 200, 99.86572
2017-08-25 14:51:52.9, 89.24469, 1.662358, 200, 99.86377
2017-08-25 14:52:08.0, 89.78091, 1.660356, 200, 99.86816
2017-08-25 14:52:23.1, 90.4238, 1.657961, 200, 99.86304
2017-08-25 14:52:38.2, 91.13031, 1.655338, 200, 99.86401
2017-08-25 14:52:53.2, 91.66125, 1.653373, 200, 99.86523
2017-08-25 14:53:08.3, 92.50763, 1.650248, 200, 99.86377
2017-08-25 14:53:23.4, 92.80032, 1.649171, 200, 99.86108
2017-08-25 14:53:38.4, 93.58505, 1.646289, 200, 99.8667
2017-08-25 14:53:53.5, 93.79477, 1.64552, 200, 99.86377
2017-08-25 14:54:08.6, 94.13412, 1.644278, 200, 99.86475
2017-08-25 14:54:23.7, 94.43887, 1.643164, 200, 99.86401
2017-08-25 14:54:38.8, 94.94446, 1.641319, 200, 99.86426
2017-08-25 14:54:53.8, 95.13376, 1.64063, 200, 99.86133
2017-08-25 14:55:08.8, 95.22586, 1.640294, 200, 99.86255
2017-08-25 14:55:23.9, 95.4863, 1.639347, 200, 99.86108
2017-08-25 14:55:39.0, 95.58466, 1.638989, 200, 99.8623
2017-08-25 14:55:54.0, 95.83289, 1.638088, 200, 99.86084
2017-08-25 14:56:09.1, 95.97165, 1.637584, 200, 99.86133
2017-08-25 14:56:24.2, 96.17255, 1.636856, 200, 99.85791
2017-08-25 14:56:39.3, 96.20505, 1.636738, 200, 99.8606
2017-08-25 14:56:54.3, 96.3252, 1.636303, 200, 99.85693
2017-08-25 14:57:09.4, 96.20941, 1.636722, 200, 99.85645
2017-08-25 14:57:24.5, 96.47888, 1.635746, 200, 99.85693
2017-08-25 14:57:39.6, 96.52673, 1.635573, 200, 99.85791
2017-08-25 14:57:54.6, 96.67041, 1.635053, 200, 99.85474
2017-08-25 14:58:09.7, 96.97696, 1.633945, 200, 99.85889
2017-08-25 14:58:24.8, 96.51358, 1.635621, 200, 99.85522
2017-08-25 14:58:39.9, 96.77365, 1.63468, 200, 99.85669
2017-08-25 14:58:55.0, 96.85757, 1.634377, 200, 99.85889
2017-08-25 14:59:10.0, 97.03378, 1.63374, 200, 99.85547
2017-08-25 14:59:25.1, 96.7149, 1.634892, 200, 99.85767
2017-08-25 14:59:40.2, 97.24716, 1.63297, 200, 99.85645
2017-08-25 14:59:55.2, 97.1825, 1.633203, 200, 99.85449
2017-08-25 15:00:10.3, 97.06659, 1.633622, 200, 99.85962
2017-08-25 15:00:25.4, 96.73083, 1.634835, 200, 99.85498
2017-08-25 15:00:40.4, 96.87033, 1.634331, 200, 99.85449
2017-08-25 15:00:55.4, 96.76245, 1.63472, 200, 99.85522
2017-08-25 15:01:10.5, 96.63736, 1.635173, 200, 99.85498
2017-08-25 15:01:25.6, 96.47607, 1.635756, 200, 99.854
2017-08-25 15:01:40.7, 96.14059, 1.636972, 200, 99.854
2017-08-25 15:01:55.8, 96.17899, 1.636833, 200, 99.85059
2017-08-25 15:02:10.8, 95.62164, 1.638855, 200, 99.854
