Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-26 18:33:25.8, 93.36292, 2.133286, 200, 100.4241
2017-06-26 18:33:40.8, 93.37778, 2.133207, 200, 100.427
2017-06-26 18:33:55.9, 93.38058, 2.133192, 200, 100.4285
2017-06-26 18:34:10.9, 93.45157, 2.132813, 200, 100.4268
2017-06-26 18:34:26.0, 93.45868, 2.132776, 200, 100.4287
2017-06-26 18:34:41.1, 93.39032, 2.13314, 200, 100.4255
2017-06-26 18:34:56.1, 93.40338, 2.13307, 200, 100.4282
2017-06-26 18:35:11.2, 93.20767, 2.134115, 200, 100.4307
2017-06-26 18:35:26.2, 93.01239, 2.135159, 200, 100.4304
2017-06-26 18:35:41.2, 92.73715, 2.136631, 200, 100.4297
2017-06-26 18:35:56.3, 92.52155, 2.137786, 200, 100.4314
2017-06-26 18:36:11.4, 92.39197, 2.138481, 200, 100.4304
2017-06-26 18:36:26.4, 92.25659, 2.139207, 200, 100.4302
2017-06-26 18:36:41.5, 92.00739, 2.140545, 200, 100.428
2017-06-26 18:36:56.6, 92.00897, 2.140537, 200, 100.4312
2017-06-26 18:37:11.7, 92.01599, 2.140499, 200, 100.4324
2017-06-26 18:37:26.7, 91.97098, 2.140741, 200, 100.4333
2017-06-26 18:37:41.8, 91.83487, 2.141473, 200, 100.4287
2017-06-26 18:37:56.9, 91.90308, 2.141106, 200, 100.4312
2017-06-26 18:38:12.0, 92.00198, 2.140574, 200, 100.4302
2017-06-26 18:38:27.0, 91.96933, 2.14075, 200, 100.4355
2017-06-26 18:38:42.1, 92.00378, 2.140565, 200, 100.4307
2017-06-26 18:38:57.2, 92.11765, 2.139953, 200, 100.4309
2017-06-26 18:39:12.3, 92.22946, 2.139353, 200, 100.4336
2017-06-26 18:39:27.4, 92.36432, 2.138629, 200, 100.429
2017-06-26 18:39:42.5, 92.55307, 2.137617, 200, 100.4302
2017-06-26 18:39:57.5, 92.66653, 2.137009, 200, 100.4329
2017-06-26 18:40:12.5, 92.67987, 2.136938, 200, 100.4307
2017-06-26 18:40:27.6, 92.73776, 2.136628, 200, 100.4299
2017-06-26 18:40:42.6, 92.70447, 2.136806, 200, 100.428
2017-06-26 18:40:57.7, 92.798, 2.136306, 200, 100.429
2017-06-26 18:41:12.8, 92.82272, 2.136173, 200, 100.428
2017-06-26 18:41:27.8, 92.77496, 2.136429, 200, 100.4265
2017-06-26 18:41:42.9, 92.91248, 2.135693, 200, 100.427
2017-06-26 18:41:58.0, 93.02325, 2.135101, 200, 100.4246
2017-06-26 18:42:13.1, 93.0473, 2.134972, 200, 100.4233
2017-06-26 18:42:28.2, 93.11453, 2.134613, 200, 100.4265
2017-06-26 18:42:43.2, 93.20618, 2.134123, 200, 100.4231
2017-06-26 18:42:58.3, 93.00851, 2.13518, 200, 100.4243
2017-06-26 18:43:13.3, 92.82214, 2.136176, 200, 100.4229
2017-06-26 18:43:28.4, 92.59894, 2.137372, 200, 100.4224
2017-06-26 18:43:43.4, 92.27844, 2.13909, 200, 100.425
2017-06-26 18:43:58.5, 91.91229, 2.141057, 200, 100.4241
2017-06-26 18:44:13.6, 91.5264, 2.143133, 200, 100.4229
2017-06-26 18:44:28.7, 91.07202, 2.145583, 200, 100.4229
2017-06-26 18:44:43.8, 90.65543, 2.147835, 200, 100.4192
2017-06-26 18:44:58.8, 90.14038, 2.150625, 200, 100.4233
2017-06-26 18:45:14.0, 89.76169, 2.152681, 200, 100.4214
2017-06-26 18:45:29.0, 89.25745, 2.155424, 200, 100.4189
2017-06-26 18:45:44.0, 88.71301, 2.158395, 200, 100.4189
2017-06-26 18:45:59.1, 88.23685, 2.160999, 200, 100.4214
2017-06-26 18:46:14.2, 87.72882, 2.163785, 200, 100.4233
2017-06-26 18:46:29.3, 87.26852, 2.166316, 200, 100.4238
2017-06-26 18:46:44.4, 86.71207, 2.169382, 200, 100.4209
2017-06-26 18:46:59.4, 86.17981, 2.172324, 200, 100.4255
2017-06-26 18:47:14.5, 85.55618, 2.175781, 200, 100.4199
2017-06-26 18:47:29.6, 84.98434, 2.17896, 200, 100.4226
2017-06-26 18:47:44.7, 84.50967, 2.181606, 200, 100.4282
2017-06-26 18:47:59.7, 83.96466, 2.184652, 200, 100.425
2017-06-26 18:48:14.8, 83.34491, 2.188127, 200, 100.425
2017-06-26 18:48:29.9, 82.83179, 2.191011, 200, 100.4268
2017-06-26 18:48:45.1, 82.26941, 2.194182, 200, 100.4209
2017-06-26 18:49:00.2, 81.72369, 2.197268, 200, 100.4214
2017-06-26 18:49:15.3, 81.13297, 2.200617, 200, 100.4226
2017-06-26 18:49:30.4, 80.57501, 2.203791, 200, 100.4231
2017-06-26 18:49:45.5, 80.00995, 2.207014, 200, 100.4209
2017-06-26 18:50:00.5, 79.41525, 2.210416, 200, 100.4219
2017-06-26 18:50:15.6, 78.80365, 2.213926, 200, 100.4211
2017-06-26 18:50:30.7, 78.32608, 2.216674, 200, 100.4221
2017-06-26 18:50:45.8, 77.82034, 2.219593, 200, 100.4231
2017-06-26 18:51:00.9, 77.27899, 2.222724, 200, 100.4214
2017-06-26 18:51:16.0, 76.72906, 2.225915, 200, 100.4204
2017-06-26 18:51:31.0, 76.30362, 2.22839, 200, 100.4238
2017-06-26 18:51:46.1, 75.8551, 2.231005, 200, 100.4236
2017-06-26 18:52:01.1, 75.37634, 2.233803, 200, 100.4224
2017-06-26 18:52:16.2, 74.97336, 2.236164, 200, 100.4265
2017-06-26 18:52:31.3, 74.91895, 2.236483, 200, 100.4246
2017-06-26 18:52:46.4, 75.01855, 2.235899, 200, 100.4192
2017-06-26 18:53:01.6, 75.31107, 2.234185, 200, 100.4207
2017-06-26 18:53:16.7, 75.90686, 2.230703, 200, 100.4219
2017-06-26 18:53:31.7, 76.67624, 2.226222, 200, 100.4238
2017-06-26 18:53:46.8, 77.5249, 2.221301, 200, 100.4258
2017-06-26 18:54:01.9, 78.39313, 2.216288, 200, 100.4231
2017-06-26 18:54:16.9, 79.39682, 2.210521, 200, 100.4209
2017-06-26 18:54:32.0, 80.37726, 2.204917, 200, 100.4231
2017-06-26 18:54:47.1, 81.29379, 2.199704, 200, 100.4224
2017-06-26 18:55:02.1, 82.12845, 2.194978, 200, 100.4243
2017-06-26 18:55:17.1, 82.9809, 2.190172, 200, 100.4204
2017-06-26 18:55:32.2, 83.89621, 2.185035, 200, 100.4172
2017-06-26 18:55:47.3, 84.62842, 2.180943, 200, 100.4177
2017-06-26 18:56:02.4, 85.36459, 2.176845, 200, 100.4216
2017-06-26 18:56:17.4, 86.12296, 2.172639, 200, 100.4207
2017-06-26 18:56:32.5, 86.71512, 2.169365, 200, 100.4177
2017-06-26 18:56:47.5, 87.23215, 2.166516, 200, 100.4211
2017-06-26 18:57:02.6, 87.77637, 2.163524, 200, 100.4243
2017-06-26 18:57:17.6, 88.22821, 2.161047, 200, 100.4214
2017-06-26 18:57:32.7, 88.74268, 2.158233, 200, 100.4231
2017-06-26 18:57:47.8, 89.14798, 2.156021, 200, 100.418
2017-06-26 18:58:02.9, 89.50861, 2.154057, 200, 100.4189
2017-06-26 18:58:18.0, 89.82458, 2.152339, 200, 100.4209
2017-06-26 18:58:33.0, 90.17871, 2.150417, 200, 100.4192
2017-06-26 18:58:48.1, 90.43042, 2.149053, 200, 100.4202
2017-06-26 18:59:03.2, 90.5127, 2.148607, 200, 100.4221
2017-06-26 18:59:18.3, 90.66885, 2.147762, 200, 100.4187
2017-06-26 18:59:33.3, 90.86453, 2.146704, 200, 100.4241
2017-06-26 18:59:48.4, 91.07068, 2.145591, 200, 100.4204
2017-06-26 19:00:03.5, 91.12454, 2.1453, 200, 100.4185
2017-06-26 19:00:18.6, 91.40417, 2.143792, 200, 100.4214
2017-06-26 19:00:33.7, 91.51379, 2.143201, 200, 100.4136
2017-06-26 19:00:48.7, 91.61868, 2.142636, 200, 100.418
2017-06-26 19:01:03.8, 91.62604, 2.142596, 200, 100.4172
2017-06-26 19:01:18.9, 91.8277, 2.141511, 200, 100.4177
2017-06-26 19:01:33.9, 91.95563, 2.140824, 200, 100.416
2017-06-26 19:01:49.0, 92.03922, 2.140374, 200, 100.4182
2017-06-26 19:02:04.1, 92.19574, 2.139534, 200, 100.4192
2017-06-26 19:02:19.1, 92.26172, 2.13918, 200, 100.418
2017-06-26 19:02:34.1, 92.18875, 2.139571, 200, 100.4199
2017-06-26 19:02:49.2, 92.04254, 2.140357, 200, 100.4207
2017-06-26 19:03:04.3, 91.78885, 2.14172, 200, 100.4202
2017-06-26 19:03:19.4, 91.54306, 2.143043, 200, 100.4209
2017-06-26 19:03:34.4, 91.15045, 2.14516, 200, 100.4202
2017-06-26 19:03:49.5, 90.71579, 2.147508, 200, 100.4238
