Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-27 19:02:03.0, 90.75223, 2.148021, 200, 100.5183
2017-06-27 19:02:18.1, 90.68805, 2.148367, 200, 100.4871
2017-06-27 19:02:33.1, 90.69547, 2.148327, 200, 100.5151
2017-06-27 19:02:48.1, 90.76077, 2.147975, 200, 100.4932
2017-06-27 19:03:03.2, 90.76584, 2.147948, 200, 100.5107
2017-06-27 19:03:18.3, 90.82703, 2.147618, 200, 100.4917
2017-06-27 19:03:33.4, 90.77936, 2.147875, 200, 100.5088
2017-06-27 19:03:48.4, 90.74802, 2.148044, 200, 100.5005
2017-06-27 19:04:03.5, 90.85699, 2.147456, 200, 100.5068
2017-06-27 19:04:18.5, 90.94815, 2.146965, 200, 100.5032
2017-06-27 19:04:33.6, 90.98456, 2.146769, 200, 100.4949
2017-06-27 19:04:48.6, 91.00784, 2.146644, 200, 100.5073
2017-06-27 19:05:03.7, 91.13724, 2.145947, 200, 100.4883
2017-06-27 19:05:18.8, 91.18869, 2.14567, 200, 100.5142
2017-06-27 19:05:33.8, 91.20294, 2.145594, 200, 100.4907
2017-06-27 19:05:48.9, 91.23367, 2.145428, 200, 100.5171
2017-06-27 19:06:03.9, 91.29034, 2.145123, 200, 100.4912
2017-06-27 19:06:19.1, 91.2601, 2.145286, 200, 100.5066
2017-06-27 19:06:34.1, 91.28638, 2.145145, 200, 100.4983
2017-06-27 19:06:49.2, 91.33621, 2.144877, 200, 100.4995
2017-06-27 19:07:04.2, 91.35385, 2.144782, 200, 100.5037
2017-06-27 19:07:19.3, 91.46445, 2.144188, 200, 100.4944
2017-06-27 19:07:34.4, 91.51132, 2.143936, 200, 100.5112
2017-06-27 19:07:49.4, 91.47403, 2.144136, 200, 100.488
2017-06-27 19:08:04.5, 91.56061, 2.143671, 200, 100.5127
2017-06-27 19:08:19.6, 91.55096, 2.143723, 200, 100.4873
2017-06-27 19:08:34.7, 91.48688, 2.144067, 200, 100.5129
2017-06-27 19:08:49.8, 91.57288, 2.143605, 200, 100.4844
2017-06-27 19:09:04.8, 91.56442, 2.143651, 200, 100.5081
2017-06-27 19:09:19.8, 91.61438, 2.143382, 200, 100.4956
2017-06-27 19:09:34.9, 91.56378, 2.143654, 200, 100.5103
2017-06-27 19:09:50.0, 91.63965, 2.143247, 200, 100.5042
2017-06-27 19:10:05.0, 91.53394, 2.143814, 200, 100.4993
2017-06-27 19:10:20.1, 91.5986, 2.143467, 200, 100.5095
2017-06-27 19:10:35.2, 91.55975, 2.143676, 200, 100.4883
2017-06-27 19:10:50.3, 91.56097, 2.143669, 200, 100.5071
2017-06-27 19:11:05.3, 91.54626, 2.143748, 200, 100.4885
2017-06-27 19:11:20.4, 91.4411, 2.144313, 200, 100.5085
2017-06-27 19:11:35.5, 91.29852, 2.14508, 200, 100.4854
2017-06-27 19:11:50.6, 91.06891, 2.146315, 200, 100.509
2017-06-27 19:12:05.7, 90.91156, 2.147162, 200, 100.4836
2017-06-27 19:12:20.7, 90.72818, 2.148151, 200, 100.4937
2017-06-27 19:12:35.8, 90.3923, 2.149964, 200, 100.5007
2017-06-27 19:12:50.9, 89.94766, 2.152368, 200, 100.49
2017-06-27 19:13:05.9, 89.46402, 2.15499, 200, 100.4937
2017-06-27 19:13:21.0, 88.94385, 2.157816, 200, 100.4885
2017-06-27 19:13:36.1, 88.38776, 2.160846, 200, 100.5046
2017-06-27 19:13:51.2, 87.81543, 2.163974, 200, 100.4817
2017-06-27 19:14:06.3, 87.24194, 2.167117, 200, 100.5073
2017-06-27 19:14:21.3, 86.6395, 2.170428, 200, 100.4788
2017-06-27 19:14:36.4, 85.97159, 2.174112, 200, 100.5059
2017-06-27 19:14:51.5, 85.2623, 2.178037, 200, 100.4827
2017-06-27 19:15:06.6, 84.6778, 2.181282, 200, 100.5046
2017-06-27 19:15:21.6, 83.94293, 2.185375, 200, 100.5193
2017-06-27 19:15:36.8, 83.27582, 2.189105, 200, 100.5178
2017-06-27 19:15:51.8, 82.58789, 2.192965, 200, 100.52
2017-06-27 19:16:06.9, 82.00153, 2.196265, 200, 100.51
2017-06-27 19:16:21.9, 81.31805, 2.200124, 200, 100.5227
2017-06-27 19:16:37.0, 80.70297, 2.203609, 200, 100.5059
2017-06-27 19:16:52.1, 80.04446, 2.207352, 200, 100.5249
2017-06-27 19:17:07.2, 79.42615, 2.210879, 200, 100.5037
2017-06-27 19:17:22.2, 78.7355, 2.214831, 200, 100.522
2017-06-27 19:17:37.3, 78.23013, 2.217732, 200, 100.5024
2017-06-27 19:17:52.3, 77.56149, 2.221581, 200, 100.5115
2017-06-27 19:18:07.4, 76.9776, 2.224954, 200, 100.5149
2017-06-27 19:18:22.5, 76.38168, 2.228407, 200, 100.5122
2017-06-27 19:18:37.5, 75.88351, 2.231302, 200, 100.5242
2017-06-27 19:18:52.6, 75.28873, 2.234768, 200, 100.51
2017-06-27 19:19:07.7, 74.79883, 2.237631, 200, 100.5264
2017-06-27 19:19:22.8, 74.18945, 2.241202, 200, 100.5063
2017-06-27 19:19:37.8, 73.70465, 2.244051, 200, 100.5286
2017-06-27 19:19:52.9, 73.19983, 2.247026, 200, 100.5134
2017-06-27 19:20:08.0, 72.60367, 2.250549, 200, 100.5208
2017-06-27 19:20:23.1, 72.00745, 2.254084, 200, 100.5154
2017-06-27 19:20:38.1, 71.45676, 2.257359, 200, 100.5134
2017-06-27 19:20:53.1, 70.98251, 2.260186, 200, 100.5254
2017-06-27 19:21:08.2, 70.74615, 2.261598, 200, 100.5139
2017-06-27 19:21:23.3, 70.80972, 2.261218, 200, 100.5229
2017-06-27 19:21:38.3, 71.10153, 2.259476, 200, 100.5032
2017-06-27 19:21:53.4, 71.61578, 2.256412, 200, 100.5264
2017-06-27 19:22:08.5, 72.32281, 2.252213, 200, 100.5022
2017-06-27 19:22:23.6, 73.08356, 2.247713, 200, 100.5215
2017-06-27 19:22:38.6, 73.98276, 2.242416, 200, 100.5081
2017-06-27 19:22:53.6, 75.0618, 2.236093, 200, 100.5183
2017-06-27 19:23:08.7, 76.00372, 2.230603, 200, 100.5151
2017-06-27 19:23:23.8, 77.12384, 2.224109, 200, 100.51
2017-06-27 19:23:38.8, 78.18359, 2.217999, 200, 100.512
2017-06-27 19:23:53.9, 79.24048, 2.21194, 200, 100.5159
2017-06-27 19:24:09.0, 80.21558, 2.206378, 200, 100.5078
2017-06-27 19:24:24.1, 81.099, 2.201364, 200, 100.5081
2017-06-27 19:24:39.2, 81.85675, 2.197081, 200, 100.5166
2017-06-27 19:24:54.2, 82.59662, 2.192915, 200, 100.5054
2017-06-27 19:25:09.3, 83.31317, 2.188896, 200, 100.5212
2017-06-27 19:25:24.4, 83.99469, 2.185087, 200, 100.5017
2017-06-27 19:25:39.5, 84.66812, 2.181336, 200, 100.5168
2017-06-27 19:25:54.5, 85.10989, 2.178882, 200, 100.4978
2017-06-27 19:26:09.5, 85.65518, 2.175861, 200, 100.5149
