Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-27 19:02:52.8, 88.3414, 1.753438, 200, 100.3145
2017-06-27 19:03:07.8, 88.31326, 1.753538, 200, 100.3123
2017-06-27 19:03:22.9, 88.04626, 1.754483, 200, 100.3157
2017-06-27 19:03:38.0, 87.76096, 1.755495, 200, 100.3103
2017-06-27 19:03:53.0, 87.72946, 1.755607, 200, 100.3147
2017-06-27 19:04:08.1, 87.59433, 1.756087, 200, 100.3066
2017-06-27 19:04:23.2, 87.34143, 1.756985, 200, 100.3145
2017-06-27 19:04:38.3, 87.55222, 1.756236, 200, 100.3052
2017-06-27 19:04:53.3, 87.3064, 1.757109, 200, 100.3145
2017-06-27 19:05:08.3, 87.34119, 1.756986, 200, 100.3064
2017-06-27 19:05:23.4, 87.21164, 1.757446, 200, 100.3154
2017-06-27 19:05:38.5, 87.13367, 1.757724, 200, 100.3076
2017-06-27 19:05:53.6, 87.35913, 1.756922, 200, 100.313
2017-06-27 19:06:08.6, 87.19818, 1.757494, 200, 100.312
2017-06-27 19:06:23.7, 87.17923, 1.757561, 200, 100.3108
2017-06-27 19:06:38.7, 87.09619, 1.757857, 200, 100.3132
2017-06-27 19:06:53.8, 87.23813, 1.757352, 200, 100.3069
2017-06-27 19:07:08.8, 87.13519, 1.757718, 200, 100.3118
2017-06-27 19:07:24.0, 87.14349, 1.757689, 200, 100.3052
2017-06-27 19:07:39.0, 87.09848, 1.757849, 200, 100.3152
2017-06-27 19:07:54.1, 86.99344, 1.758222, 200, 100.3076
2017-06-27 19:08:09.1, 86.95242, 1.758368, 200, 100.3137
2017-06-27 19:08:24.2, 86.89072, 1.758588, 200, 100.3091
2017-06-27 19:08:39.3, 86.95465, 1.75836, 200, 100.3108
2017-06-27 19:08:54.4, 86.73639, 1.759138, 200, 100.3103
2017-06-27 19:09:09.4, 86.78876, 1.758951, 200, 100.3059
2017-06-27 19:09:24.4, 86.63431, 1.759501, 200, 100.3135
2017-06-27 19:09:39.5, 86.46555, 1.760103, 200, 100.3098
2017-06-27 19:09:54.6, 86.57819, 1.759702, 200, 100.3105
2017-06-27 19:10:09.6, 86.46939, 1.76009, 200, 100.3076
2017-06-27 19:10:24.7, 86.37808, 1.760415, 200, 100.3135
2017-06-27 19:10:39.8, 86.25372, 1.760859, 200, 100.3042
2017-06-27 19:10:54.9, 86.17822, 1.761129, 200, 100.3132
2017-06-27 19:11:10.0, 86.18283, 1.761112, 200, 100.3098
2017-06-27 19:11:25.0, 85.93951, 1.761981, 200, 100.312
2017-06-27 19:11:40.1, 85.90396, 1.762108, 200, 100.3105
2017-06-27 19:11:55.2, 85.79605, 1.762494, 200, 100.3108
2017-06-27 19:12:10.3, 85.60721, 1.76317, 200, 100.3123
2017-06-27 19:12:25.3, 85.39764, 1.76392, 200, 100.3059
2017-06-27 19:12:40.4, 85.09497, 1.765005, 200, 100.3132
2017-06-27 19:12:55.5, 84.95618, 1.765503, 200, 100.3074
2017-06-27 19:13:10.6, 84.50766, 1.767114, 200, 100.3135
2017-06-27 19:13:25.6, 84.01398, 1.768891, 200, 100.3071
2017-06-27 19:13:40.7, 83.68845, 1.770064, 200, 100.3137
2017-06-27 19:13:55.8, 83.44333, 1.770949, 200, 100.3057
2017-06-27 19:14:10.9, 82.76202, 1.773412, 200, 100.3123
2017-06-27 19:14:25.9, 82.38113, 1.774792, 200, 100.3074
2017-06-27 19:14:41.0, 81.72311, 1.777182, 200, 100.3113
2017-06-27 19:14:56.1, 81.37497, 1.778448, 200, 100.3093
2017-06-27 19:15:11.2, 80.77991, 1.780618, 200, 100.3115
2017-06-27 19:15:26.3, 80.26581, 1.782496, 200, 100.3215
2017-06-27 19:15:41.3, 79.742, 1.784415, 200, 100.314
2017-06-27 19:15:56.4, 79.28488, 1.786092, 200, 100.3215
2017-06-27 19:16:11.5, 78.63834, 1.78847, 200, 100.3142
2017-06-27 19:16:26.5, 78.17029, 1.790195, 200, 100.3184
2017-06-27 19:16:41.6, 77.65912, 1.792083, 200, 100.3162
2017-06-27 19:16:56.7, 77.08383, 1.794212, 200, 100.324
2017-06-27 19:17:11.8, 76.43375, 1.796625, 200, 100.3167
2017-06-27 19:17:26.9, 75.92908, 1.798502, 200, 100.3152
2017-06-27 19:17:41.9, 75.18994, 1.801259, 200, 100.3176
2017-06-27 19:17:57.0, 74.72363, 1.803003, 200, 100.3115
2017-06-27 19:18:12.1, 74.13272, 1.805217, 200, 100.3201
2017-06-27 19:18:27.2, 73.52689, 1.807493, 200, 100.3137
2017-06-27 19:18:42.2, 73.01514, 1.80942, 200, 100.3213
2017-06-27 19:18:57.3, 72.50653, 1.811339, 200, 100.3147
2017-06-27 19:19:12.4, 71.82629, 1.813912, 200, 100.3179
2017-06-27 19:19:27.4, 71.28882, 1.81595, 200, 100.3174
2017-06-27 19:19:42.5, 70.67291, 1.818291, 200, 100.3174
2017-06-27 19:19:57.6, 70.14569, 1.8203, 200, 100.3188
2017-06-27 19:20:12.7, 69.39807, 1.823157, 200, 100.3176
2017-06-27 19:20:27.8, 68.92841, 1.824956, 200, 100.3179
2017-06-27 19:20:42.8, 68.14008, 1.827983, 200, 100.3152
2017-06-27 19:20:57.9, 67.90005, 1.828907, 200, 100.3188
2017-06-27 19:21:13.0, 67.61133, 1.83002, 200, 100.3142
2017-06-27 19:21:28.1, 67.68906, 1.82972, 200, 100.3157
2017-06-27 19:21:43.2, 67.80252, 1.829283, 200, 100.3137
