Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-27 17:02:20.8, 90.71817, 1.633052, 200, 99.7561
2017-09-27 17:02:35.8, 90.74188, 1.632964, 200, 99.75488
2017-09-27 17:02:50.8, 90.50339, 1.633857, 200, 99.75195
2017-09-27 17:03:05.9, 90.42874, 1.634136, 200, 99.74854
2017-09-27 17:03:21.0, 90.23447, 1.634865, 200, 99.75098
2017-09-27 17:03:36.0, 90.24103, 1.63484, 200, 99.75391
2017-09-27 17:03:51.1, 89.97504, 1.635838, 200, 99.75928
2017-09-27 17:04:06.2, 89.995, 1.635763, 200, 99.74634
2017-09-27 17:04:21.3, 90.01312, 1.635695, 200, 99.74902
2017-09-27 17:04:36.3, 89.97092, 1.635854, 200, 99.74927
2017-09-27 17:04:51.3, 90.09152, 1.635401, 200, 99.74683
2017-09-27 17:05:06.4, 89.9455, 1.635949, 200, 99.74609
2017-09-27 17:05:21.5, 89.95493, 1.635914, 200, 99.75024
2017-09-27 17:05:36.6, 89.88834, 1.636164, 200, 99.74316
2017-09-27 17:05:51.6, 90.01047, 1.635705, 200, 99.74536
2017-09-27 17:06:06.7, 90.16061, 1.635142, 200, 99.74219
2017-09-27 17:06:21.8, 89.98669, 1.635794, 200, 99.74536
2017-09-27 17:06:36.9, 89.936, 1.635985, 200, 99.74316
2017-09-27 17:06:51.9, 90.03482, 1.635614, 200, 99.74194
2017-09-27 17:07:07.0, 89.93253, 1.635998, 200, 99.74341
2017-09-27 17:07:22.1, 90.07352, 1.635468, 200, 99.74634
2017-09-27 17:07:37.2, 90.01883, 1.635674, 200, 99.74194
2017-09-27 17:07:52.2, 90.19116, 1.635027, 200, 99.73877
2017-09-27 17:08:07.3, 90.19308, 1.63502, 200, 99.74268
2017-09-27 17:08:22.4, 90.03293, 1.635621, 200, 99.74512
2017-09-27 17:08:37.5, 90.16614, 1.635121, 200, 99.74194
2017-09-27 17:08:52.5, 90.18124, 1.635064, 200, 99.74072
2017-09-27 17:09:07.6, 90.17697, 1.63508, 200, 99.74048
2017-09-27 17:09:22.8, 90.16714, 1.635117, 200, 99.73462
2017-09-27 17:09:37.8, 90.46106, 1.634015, 200, 99.73706
2017-09-27 17:09:52.8, 90.52869, 1.633762, 200, 99.73633
2017-09-27 17:10:07.9, 90.80042, 1.632745, 200, 99.74243
2017-09-27 17:10:23.0, 90.6373, 1.633355, 200, 99.73877
2017-09-27 17:10:38.1, 90.9491, 1.632189, 200, 99.74023
2017-09-27 17:10:53.1, 91.11057, 1.631585, 200, 99.73926
2017-09-27 17:11:08.3, 90.99545, 1.632015, 200, 99.74048
2017-09-27 17:11:23.3, 91.19858, 1.631257, 200, 99.74121
2017-09-27 17:11:38.3, 91.3475, 1.630701, 200, 99.74048
2017-09-27 17:11:53.4, 91.00668, 1.631974, 200, 99.74707
2017-09-27 17:12:08.4, 91.06198, 1.631767, 200, 99.74121
2017-09-27 17:12:23.5, 90.60617, 1.633472, 200, 99.73975
2017-09-27 17:12:38.5, 90.51883, 1.633799, 200, 99.73901
2017-09-27 17:12:53.6, 90.50696, 1.633843, 200, 99.73657
2017-09-27 17:13:08.6, 90.36792, 1.634364, 200, 99.73853
2017-09-27 17:13:23.7, 90.24564, 1.634823, 200, 99.73608
2017-09-27 17:13:38.8, 89.91373, 1.636069, 200, 99.73169
2017-09-27 17:13:53.9, 89.79739, 1.636506, 200, 99.7334
2017-09-27 17:14:08.9, 89.3132, 1.638327, 200, 99.73364
2017-09-27 17:14:24.0, 89.39676, 1.638013, 200, 99.73364
2017-09-27 17:14:39.1, 88.72278, 1.640554, 200, 99.73438
2017-09-27 17:14:54.1, 88.56824, 1.641138, 200, 99.73657
2017-09-27 17:15:09.2, 88.24963, 1.642343, 200, 99.72974
2017-09-27 17:15:24.3, 87.82077, 1.643968, 200, 99.73413
2017-09-27 17:15:39.4, 87.11069, 1.646665, 200, 99.72363
2017-09-27 17:15:54.5, 86.65393, 1.648405, 200, 99.72974
2017-09-27 17:16:09.5, 86.04578, 1.650727, 200, 99.73071
2017-09-27 17:16:24.6, 85.91876, 1.651213, 200, 99.72803
2017-09-27 17:16:39.7, 85.63995, 1.652281, 200, 99.72339
2017-09-27 17:16:54.8, 84.88791, 1.655167, 200, 99.72729
2017-09-27 17:17:09.9, 84.41095, 1.657002, 200, 99.72729
2017-09-27 17:17:24.9, 84.36041, 1.657197, 200, 99.72705
2017-09-27 17:17:40.0, 83.77243, 1.659466, 200, 99.72656
2017-09-27 17:17:55.1, 83.55249, 1.660316, 200, 99.72852
2017-09-27 17:18:10.1, 83.20407, 1.661665, 200, 99.7229
2017-09-27 17:18:25.1, 82.92383, 1.662752, 200, 99.72339
2017-09-27 17:18:40.2, 82.61768, 1.663941, 200, 99.7251
