Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-27 17:02:41.9, 90.94788, 2.108282, 200, 100.8674
2017-09-27 17:02:57.0, 90.94647, 2.108289, 200, 100.8611
2017-09-27 17:03:12.1, 90.9379, 2.108336, 200, 100.8594
2017-09-27 17:03:27.1, 90.93314, 2.108362, 200, 100.8633
2017-09-27 17:03:42.2, 90.96112, 2.10821, 200, 100.8613
2017-09-27 17:03:57.4, 90.94153, 2.108316, 200, 100.8621
2017-09-27 17:04:12.4, 90.96591, 2.108183, 200, 100.8613
2017-09-27 17:04:27.4, 91.00568, 2.107967, 200, 100.8567
2017-09-27 17:04:42.5, 91.02542, 2.10786, 200, 100.8625
2017-09-27 17:04:57.6, 91.0191, 2.107894, 200, 100.8589
2017-09-27 17:05:12.7, 91.17325, 2.107056, 200, 100.8623
2017-09-27 17:05:27.7, 91.23602, 2.106715, 200, 100.8601
2017-09-27 17:05:42.8, 91.22565, 2.106771, 200, 100.8611
2017-09-27 17:05:57.9, 91.24152, 2.106685, 200, 100.8606
2017-09-27 17:06:13.0, 91.39792, 2.105836, 200, 100.8657
2017-09-27 17:06:28.1, 91.49588, 2.105304, 200, 100.8608
2017-09-27 17:06:43.1, 91.38669, 2.105897, 200, 100.8613
2017-09-27 17:06:58.2, 91.436, 2.105629, 200, 100.8582
2017-09-27 17:07:13.3, 91.37094, 2.105982, 200, 100.8591
2017-09-27 17:07:28.3, 91.41586, 2.105739, 200, 100.8613
2017-09-27 17:07:43.4, 91.38751, 2.105892, 200, 100.8596
2017-09-27 17:07:58.5, 91.45636, 2.105519, 200, 100.8562
2017-09-27 17:08:13.6, 91.47647, 2.10541, 200, 100.8596
2017-09-27 17:08:28.7, 91.4762, 2.105411, 200, 100.8618
2017-09-27 17:08:43.7, 91.50452, 2.105258, 200, 100.856
2017-09-27 17:08:58.8, 91.53625, 2.105085, 200, 100.8564
2017-09-27 17:09:13.9, 91.63608, 2.104544, 200, 100.855
2017-09-27 17:09:28.9, 91.68491, 2.104279, 200, 100.8567
2017-09-27 17:09:43.9, 91.78699, 2.103726, 200, 100.8572
2017-09-27 17:09:59.0, 91.80038, 2.103654, 200, 100.8591
2017-09-27 17:10:14.1, 91.85284, 2.103369, 200, 100.8584
2017-09-27 17:10:29.2, 91.8316, 2.103485, 200, 100.8569
2017-09-27 17:10:44.2, 91.84418, 2.103416, 200, 100.8525
2017-09-27 17:10:59.3, 91.88138, 2.103215, 200, 100.8562
2017-09-27 17:11:14.4, 91.95062, 2.10284, 200, 100.8589
2017-09-27 17:11:29.5, 91.91159, 2.103051, 200, 100.8557
2017-09-27 17:11:44.5, 91.76468, 2.103847, 200, 100.8582
2017-09-27 17:11:59.6, 91.59424, 2.104771, 200, 100.8591
2017-09-27 17:12:14.7, 91.33936, 2.106154, 200, 100.8584
2017-09-27 17:12:29.8, 91.18491, 2.106993, 200, 100.8564
2017-09-27 17:12:44.8, 90.94119, 2.108318, 200, 100.8572
2017-09-27 17:12:59.9, 90.62848, 2.110021, 200, 100.8552
2017-09-27 17:13:15.0, 90.3598, 2.111486, 200, 100.8567
2017-09-27 17:13:30.1, 90.0278, 2.113299, 200, 100.8574
2017-09-27 17:13:45.1, 89.79688, 2.114563, 200, 100.8613
2017-09-27 17:14:00.2, 89.35394, 2.116989, 200, 100.8538
2017-09-27 17:14:15.3, 89.04532, 2.118684, 200, 100.8589
2017-09-27 17:14:30.4, 88.67712, 2.120709, 200, 100.8562
2017-09-27 17:14:45.5, 88.29782, 2.122799, 200, 100.855
2017-09-27 17:15:00.5, 87.82504, 2.12541, 200, 100.8545
2017-09-27 17:15:15.6, 87.41003, 2.127707, 200, 100.8582
2017-09-27 17:15:30.7, 87.04797, 2.129715, 200, 100.8608
2017-09-27 17:15:45.8, 86.58566, 2.132285, 200, 100.8518
2017-09-27 17:16:00.8, 86.2106, 2.134374, 200, 100.856
2017-09-27 17:16:15.9, 85.76682, 2.136852, 200, 100.8564
2017-09-27 17:16:31.0, 85.34949, 2.139187, 200, 100.8574
2017-09-27 17:16:46.0, 84.84839, 2.141997, 200, 100.8596
2017-09-27 17:17:01.1, 84.45792, 2.144192, 200, 100.8555
2017-09-27 17:17:16.2, 84.04434, 2.146523, 200, 100.8535
2017-09-27 17:17:31.3, 83.6015, 2.149023, 200, 100.8545
2017-09-27 17:17:46.4, 83.17648, 2.151428, 200, 100.8508
2017-09-27 17:18:01.4, 82.67825, 2.154255, 200, 100.8533
2017-09-27 17:18:16.5, 82.38315, 2.155932, 200, 100.8542
2017-09-27 17:18:31.6, 81.86929, 2.15886, 200, 100.855
2017-09-27 17:18:46.7, 81.43146, 2.161361, 200, 100.8499
2017-09-27 17:19:01.7, 80.99603, 2.163853, 200, 100.8562
2017-09-27 17:19:16.8, 80.65158, 2.165829, 200, 100.8547
2017-09-27 17:19:31.9, 80.13748, 2.168785, 200, 100.8496
2017-09-27 17:19:46.9, 79.77103, 2.170897, 200, 100.8611
2017-09-27 17:20:01.9, 79.39526, 2.173067, 200, 100.8562
2017-09-27 17:20:17.0, 78.90268, 2.175917, 200, 100.855
2017-09-27 17:20:32.1, 78.57449, 2.177821, 200, 100.8542
2017-09-27 17:20:47.2, 78.11774, 2.180476, 200, 100.853
2017-09-27 17:21:02.3, 77.76926, 2.182506, 200, 100.8501
2017-09-27 17:21:17.3, 77.32678, 2.185089, 200, 100.8528
2017-09-27 17:21:32.3, 77.03574, 2.186791, 200, 100.8506
2017-09-27 17:21:47.4, 76.47531, 2.190076, 200, 100.854
2017-09-27 17:22:02.4, 76.07788, 2.192412, 200, 100.8503
2017-09-27 17:22:17.5, 75.59726, 2.195244, 200, 100.8555
2017-09-27 17:22:32.6, 75.311, 2.196933, 200, 100.8552
2017-09-27 17:22:47.7, 75.02649, 2.198616, 200, 100.8545
2017-09-27 17:23:02.8, 74.85797, 2.199613, 200, 100.8535
2017-09-27 17:23:17.8, 74.95663, 2.199029, 200, 100.8516
2017-09-27 17:23:32.9, 75.18985, 2.197649, 200, 100.8545
2017-09-27 17:23:48.0, 75.67932, 2.19476, 200, 100.8521
2017-09-27 17:24:03.1, 76.2814, 2.191215, 200, 100.8545
2017-09-27 17:24:18.1, 77.01938, 2.186887, 200, 100.8545
2017-09-27 17:24:33.2, 77.86566, 2.181944, 200, 100.8528
2017-09-27 17:24:48.3, 78.65588, 2.177349, 200, 100.8572
2017-09-27 17:25:03.4, 79.46002, 2.172692, 200, 100.8569
2017-09-27 17:25:18.4, 80.26523, 2.16805, 200, 100.8538
2017-09-27 17:25:33.5, 81.09833, 2.163267, 200, 100.8511
2017-09-27 17:25:48.6, 81.79611, 2.159277, 200, 100.8525
2017-09-27 17:26:03.7, 82.5126, 2.155196, 200, 100.8511
2017-09-27 17:26:18.8, 83.14609, 2.1516, 200, 100.8511
