Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-27 17:03:13.2, 97.04805, 1.449158, 200, 100.1301
2017-09-27 17:03:28.3, 97.00572, 1.449351, 200, 100.1343
2017-09-27 17:03:43.3, 96.67134, 1.450875, 200, 100.1323
2017-09-27 17:03:58.3, 96.53951, 1.451477, 200, 100.1326
2017-09-27 17:04:13.4, 96.44911, 1.45189, 200, 100.1304
2017-09-27 17:04:28.4, 96.28001, 1.452663, 200, 100.1331
2017-09-27 17:04:43.5, 96.31523, 1.452502, 200, 100.1287
2017-09-27 17:04:58.6, 96.01289, 1.453886, 200, 100.1318
2017-09-27 17:05:13.7, 95.92851, 1.454273, 200, 100.1279
2017-09-27 17:05:28.8, 95.9575, 1.45414, 200, 100.1313
2017-09-27 17:05:43.8, 95.67555, 1.455434, 200, 100.1287
2017-09-27 17:05:58.9, 95.74992, 1.455092, 200, 100.1304
2017-09-27 17:06:14.0, 95.58464, 1.455851, 200, 100.1321
2017-09-27 17:06:29.1, 95.53542, 1.456077, 200, 100.1277
2017-09-27 17:06:44.1, 95.48628, 1.456303, 200, 100.1318
2017-09-27 17:06:59.2, 95.21889, 1.457534, 200, 100.1277
2017-09-27 17:07:14.3, 95.27419, 1.457279, 200, 100.1274
2017-09-27 17:07:29.4, 95.11684, 1.458004, 200, 100.1274
2017-09-27 17:07:44.5, 95.13023, 1.457942, 200, 100.1272
2017-09-27 17:07:59.5, 95.12993, 1.457943, 200, 100.1274
2017-09-27 17:08:14.6, 95.14992, 1.457851, 200, 100.1267
2017-09-27 17:08:29.7, 94.99745, 1.458554, 200, 100.1235
2017-09-27 17:08:44.8, 94.88194, 1.459087, 200, 100.1282
2017-09-27 17:08:59.8, 95.09737, 1.458094, 200, 100.1265
2017-09-27 17:09:14.9, 94.91051, 1.458955, 200, 100.1311
2017-09-27 17:09:29.9, 94.87184, 1.459134, 200, 100.126
2017-09-27 17:09:45.0, 94.73396, 1.45977, 200, 100.1277
2017-09-27 17:10:00.0, 94.7282, 1.459797, 200, 100.1252
2017-09-27 17:10:15.1, 94.86946, 1.459144, 200, 100.1262
2017-09-27 17:10:30.2, 94.78899, 1.459516, 200, 100.1257
2017-09-27 17:10:45.2, 94.6078, 1.460353, 200, 100.1245
2017-09-27 17:11:00.3, 94.68459, 1.459998, 200, 100.126
2017-09-27 17:11:15.4, 94.58949, 1.460438, 200, 100.1267
2017-09-27 17:11:30.4, 94.49666, 1.460867, 200, 100.1262
2017-09-27 17:11:45.5, 94.40749, 1.46128, 200, 100.125
2017-09-27 17:12:00.5, 94.10301, 1.46269, 200, 100.1218
2017-09-27 17:12:15.6, 94.19606, 1.462259, 200, 100.1265
2017-09-27 17:12:30.7, 93.88252, 1.463714, 200, 100.1272
2017-09-27 17:12:45.8, 93.84581, 1.463884, 200, 100.1235
2017-09-27 17:13:00.8, 93.89076, 1.463675, 200, 100.1272
2017-09-27 17:13:15.9, 93.73924, 1.46438, 200, 100.125
2017-09-27 17:13:31.0, 93.51888, 1.465405, 200, 100.1252
2017-09-27 17:13:46.1, 93.2628, 1.466598, 200, 100.1262
2017-09-27 17:14:01.1, 93.30803, 1.466387, 200, 100.1216
2017-09-27 17:14:16.2, 93.1093, 1.467314, 200, 100.1201
2017-09-27 17:14:31.3, 92.92216, 1.468188, 200, 100.1235
2017-09-27 17:14:46.4, 92.87587, 1.468404, 200, 100.1204
2017-09-27 17:15:01.5, 92.65938, 1.469417, 200, 100.123
2017-09-27 17:15:16.5, 92.5461, 1.469947, 200, 100.1204
2017-09-27 17:15:31.6, 92.27309, 1.471227, 200, 100.1252
2017-09-27 17:15:46.7, 92.20741, 1.471535, 200, 100.1226
2017-09-27 17:16:01.7, 92.0522, 1.472264, 200, 100.1211
2017-09-27 17:16:16.8, 91.81197, 1.473394, 200, 100.1172
2017-09-27 17:16:31.9, 91.44188, 1.475137, 200, 100.1216
2017-09-27 17:16:47.0, 91.42345, 1.475224, 200, 100.1228
2017-09-27 17:17:02.0, 91.14595, 1.476535, 200, 100.1184
2017-09-27 17:17:17.1, 90.93938, 1.477511, 200, 100.1221
2017-09-27 17:17:32.2, 90.69933, 1.478648, 200, 100.1194
2017-09-27 17:17:47.3, 90.47636, 1.479706, 200, 100.1228
2017-09-27 17:18:02.3, 90.12566, 1.481372, 200, 100.1279
2017-09-27 17:18:17.4, 89.955, 1.482184, 200, 100.124
2017-09-27 17:18:32.5, 89.73241, 1.483245, 200, 100.1238
2017-09-27 17:18:47.6, 89.42891, 1.484694, 200, 100.124
2017-09-27 17:19:02.7, 89.16362, 1.485963, 200, 100.1235
2017-09-27 17:19:17.7, 88.8727, 1.487357, 200, 100.1208
2017-09-27 17:19:32.8, 88.46202, 1.489329, 200, 100.125
2017-09-27 17:19:47.9, 88.35027, 1.489866, 200, 100.125
2017-09-27 17:20:03.0, 87.98763, 1.491613, 200, 100.1211
2017-09-27 17:20:18.0, 87.79628, 1.492537, 200, 100.1208
2017-09-27 17:20:33.1, 87.52007, 1.493872, 200, 100.1187
2017-09-27 17:20:48.2, 87.25255, 1.495167, 200, 100.1194
2017-09-27 17:21:03.3, 86.90215, 1.496867, 200, 100.1223
2017-09-27 17:21:18.3, 86.68217, 1.497936, 200, 100.1221
2017-09-27 17:21:33.4, 86.38585, 1.499379, 200, 100.1179
2017-09-27 17:21:48.5, 86.19099, 1.500329, 200, 100.1211
2017-09-27 17:22:03.6, 85.85887, 1.501951, 200, 100.123
2017-09-27 17:22:18.7, 85.70131, 1.502722, 200, 100.1211
2017-09-27 17:22:33.7, 85.65306, 1.502958, 200, 100.1194
2017-09-27 17:22:48.8, 85.50252, 1.503696, 200, 100.1147
2017-09-27 17:23:03.9, 85.33022, 1.504541, 200, 100.1194
2017-09-27 17:23:18.9, 85.16222, 1.505366, 200, 100.1157
2017-09-27 17:23:34.0, 85.04808, 1.505927, 200, 100.1165
2017-09-27 17:23:49.1, 84.85387, 1.506882, 200, 100.1169
2017-09-27 17:24:04.2, 84.7946, 1.507174, 200, 100.1169
2017-09-27 17:24:19.2, 84.7451, 1.507418, 200, 100.1191
2017-09-27 17:24:34.3, 84.64577, 1.507907, 200, 100.1179
2017-09-27 17:24:49.3, 84.69576, 1.507661, 200, 100.1155
2017-09-27 17:25:04.4, 84.53224, 1.508467, 200, 100.1189
2017-09-27 17:25:19.5, 84.48466, 1.508702, 200, 100.1162
2017-09-27 17:25:34.5, 84.49529, 1.508649, 200, 100.1182
2017-09-27 17:25:49.6, 84.36565, 1.509289, 200, 100.1189
2017-09-27 17:26:04.7, 84.46361, 1.508805, 200, 100.1187
2017-09-27 17:26:19.8, 84.53755, 1.508441, 200, 100.1199
2017-09-27 17:26:34.8, 84.60298, 1.508118, 200, 100.1172
2017-09-27 17:26:49.9, 84.98167, 1.506253, 200, 100.1165
2017-09-27 17:27:05.0, 84.97917, 1.506265, 200, 100.1211
2017-09-27 17:27:20.1, 85.19984, 1.505181, 200, 100.1169
2017-09-27 17:27:35.1, 85.45692, 1.503919, 200, 100.1204
2017-09-27 17:27:50.2, 85.76936, 1.502389, 200, 100.1155
2017-09-27 17:28:05.3, 85.98094, 1.501354, 200, 100.1157
2017-09-27 17:28:20.4, 86.19215, 1.500323, 200, 100.115
2017-09-27 17:28:35.4, 86.49156, 1.498864, 200, 100.115
2017-09-27 17:28:50.5, 86.66887, 1.498001, 200, 100.1174
2017-09-27 17:29:05.6, 86.86546, 1.497045, 200, 100.1174
2017-09-27 17:29:20.7, 87.02199, 1.496285, 200, 100.1165
2017-09-27 17:29:35.8, 87.32368, 1.494822, 200, 100.1182
2017-09-27 17:29:50.8, 87.32677, 1.494807, 200, 100.1169
2017-09-27 17:30:05.9, 87.6562, 1.493213, 200, 100.1152
2017-09-27 17:30:21.0, 87.95753, 1.491758, 200, 100.1152
2017-09-27 17:30:36.0, 88.05843, 1.491272, 200, 100.115
2017-09-27 17:30:51.1, 88.2523, 1.490338, 200, 100.1135
2017-09-27 17:31:06.2, 88.53426, 1.488981, 200, 100.1135
2017-09-27 17:31:21.3, 88.60612, 1.488636, 200, 100.1147
2017-09-27 17:31:36.3, 88.82408, 1.48759, 200, 100.1094
2017-09-27 17:31:51.5, 89.1335, 1.486107, 200, 100.1111
2017-09-27 17:32:06.5, 89.33897, 1.485124, 200, 100.1165
2017-09-27 17:32:21.6, 89.52388, 1.48424, 200, 100.1118
2017-09-27 17:32:36.7, 89.54436, 1.484143, 200, 100.1123
2017-09-27 17:32:51.7, 89.63707, 1.4837, 200, 100.1143
2017-09-27 17:33:06.8, 89.76735, 1.483079, 200, 100.1138
2017-09-27 17:33:21.9, 89.92705, 1.482318, 200, 100.1116
2017-09-27 17:33:36.9, 89.81618, 1.482846, 200, 100.1096
2017-09-27 17:33:51.9, 90.22737, 1.480888, 200, 100.1118
2017-09-27 17:34:07.0, 90.19197, 1.481057, 200, 100.1121
2017-09-27 17:34:22.1, 90.29482, 1.480568, 200, 100.1125
2017-09-27 17:34:37.2, 90.17686, 1.481129, 200, 100.1079
2017-09-27 17:34:52.2, 90.25526, 1.480756, 200, 100.1104
2017-09-27 17:35:07.3, 90.24586, 1.480801, 200, 100.1079
2017-09-27 17:35:22.4, 90.24348, 1.480812, 200, 100.1074
2017-09-27 17:35:37.5, 90.21977, 1.480925, 200, 100.1094
2017-09-27 17:35:52.6, 90.0515, 1.481725, 200, 100.1094
2017-09-27 17:36:07.6, 90.02922, 1.481831, 200, 100.1101
2017-09-27 17:36:22.7, 89.91817, 1.48236, 200, 100.1101
2017-09-27 17:36:37.8, 89.90044, 1.482444, 200, 100.1055
2017-09-27 17:36:52.8, 89.82332, 1.482812, 200, 100.104
2017-09-27 17:37:07.9, 89.66924, 1.483547, 200, 100.1057
2017-09-27 17:37:23.0, 89.47676, 1.484465, 200, 100.1055
2017-09-27 17:37:38.1, 89.3596, 1.485025, 200, 100.1086
2017-09-27 17:37:53.2, 89.18428, 1.485864, 200, 100.1052
2017-09-27 17:38:08.2, 89.05946, 1.486462, 200, 100.1069
2017-09-27 17:38:23.3, 88.8712, 1.487364, 200, 100.1064
2017-09-27 17:38:38.4, 88.63225, 1.488511, 200, 100.1047
2017-09-27 17:38:53.5, 88.44408, 1.489415, 200, 100.1033
2017-09-27 17:39:08.5, 88.38066, 1.48972, 200, 100.1072
2017-09-27 17:39:23.6, 88.16881, 1.49074, 200, 100.1052
2017-09-27 17:39:38.7, 87.9063, 1.492005, 200, 100.1035
2017-09-27 17:39:53.8, 87.79079, 1.492563, 200, 100.1028
2017-09-27 17:40:08.8, 87.52116, 1.493866, 200, 100.1018
2017-09-27 17:40:23.9, 87.26723, 1.495096, 200, 100.1047
2017-09-27 17:40:39.0, 87.02904, 1.496251, 200, 100.1033
2017-09-27 17:40:54.1, 86.78038, 1.497459, 200, 100.1038
2017-09-27 17:41:09.2, 86.59511, 1.49836, 200, 100.103
2017-09-27 17:41:24.2, 86.38435, 1.499386, 200, 100.105
2017-09-27 17:41:39.3, 86.19698, 1.5003, 200, 100.1055
2017-09-27 17:41:54.4, 85.82448, 1.50212, 200, 100.1021
2017-09-27 17:42:09.5, 85.68263, 1.502814, 200, 100.1016
2017-09-27 17:42:24.5, 85.33736, 1.504506, 200, 100.1028
2017-09-27 17:42:39.6, 85.03676, 1.505982, 200, 100.1008
2017-09-27 17:42:54.6, 84.75114, 1.507388, 200, 100.1042
2017-09-27 17:43:09.6, 84.614, 1.508064, 200, 100.1013
2017-09-27 17:43:24.7, 84.12395, 1.510483, 200, 100.1011
2017-09-27 17:43:39.8, 84.16383, 1.510286, 200, 100.1006
2017-09-27 17:43:54.9, 84.06779, 1.510761, 200, 100.1011
2017-09-27 17:44:09.9, 84.08757, 1.510663, 200, 100.0967
2017-09-27 17:44:25.0, 83.99998, 1.511097, 200, 100.0996
2017-09-27 17:44:40.1, 83.91478, 1.511519, 200, 100.1025
2017-09-27 17:44:55.2, 83.78716, 1.512151, 200, 100.0996
2017-09-27 17:45:10.3, 83.82188, 1.511979, 200, 100.0991
2017-09-27 17:45:25.3, 83.93132, 1.511437, 200, 100.1018
2017-09-27 17:45:40.4, 84.18263, 1.510193, 200, 100.0959
2017-09-27 17:45:55.5, 84.36729, 1.509281, 200, 100.0994
2017-09-27 17:46:10.6, 84.54442, 1.508407, 200, 100.0991
2017-09-27 17:46:25.6, 84.76591, 1.507315, 200, 100.0994
2017-09-27 17:46:40.7, 84.95546, 1.506382, 200, 100.0996
2017-09-27 17:46:55.8, 85.0995, 1.505674, 200, 100.1023
2017-09-27 17:47:10.9, 85.52367, 1.503592, 200, 100.0977
2017-09-27 17:47:25.9, 85.64366, 1.503004, 200, 100.1023
2017-09-27 17:47:41.0, 85.96352, 1.50144, 200, 100.1023
2017-09-27 17:47:56.1, 86.1515, 1.500522, 200, 100.0989
2017-09-27 17:48:11.2, 86.35728, 1.499518, 200, 100.1008
2017-09-27 17:48:26.2, 86.57149, 1.498474, 200, 100.1025
2017-09-27 17:48:41.2, 86.64555, 1.498114, 200, 100.1008
2017-09-27 17:48:56.3, 86.79384, 1.497393, 200, 100.0994
2017-09-27 17:49:11.4, 87.16652, 1.495584, 200, 100.0996
2017-09-27 17:49:26.5, 87.282, 1.495024, 200, 100.0999
2017-09-27 17:49:41.5, 87.37914, 1.494554, 200, 100.1008
2017-09-27 17:49:56.6, 87.61613, 1.493407, 200, 100.0974
2017-09-27 17:50:11.7, 87.78239, 1.492604, 200, 100.0969
2017-09-27 17:50:26.7, 87.95274, 1.491781, 200, 100.0979
2017-09-27 17:50:41.8, 88.15797, 1.490792, 200, 100.0969
2017-09-27 17:50:56.9, 88.46376, 1.48932, 200, 100.0991
2017-09-27 17:51:12.0, 88.45714, 1.489352, 200, 100.0979
2017-09-27 17:51:27.1, 88.68208, 1.488271, 200, 100.0959
2017-09-27 17:51:42.1, 88.72893, 1.488046, 200, 100.0989
2017-09-27 17:51:57.2, 88.83482, 1.487538, 200, 100.0977
2017-09-27 17:52:12.3, 89.15117, 1.486022, 200, 100.0959
2017-09-27 17:52:27.4, 89.04713, 1.486521, 200, 100.0957
2017-09-27 17:52:42.4, 89.46446, 1.484524, 200, 100.0989
2017-09-27 17:52:57.5, 89.61839, 1.483789, 200, 100.0974
2017-09-27 17:53:12.6, 89.72481, 1.483281, 200, 100.0964
2017-09-27 17:53:27.7, 89.92241, 1.48234, 200, 100.0981
2017-09-27 17:53:42.7, 89.78554, 1.482992, 200, 100.094
2017-09-27 17:53:57.8, 89.92693, 1.482318, 200, 100.0962
2017-09-27 17:54:12.9, 90.0565, 1.481701, 200, 100.0945
2017-09-27 17:54:28.0, 90.11403, 1.481427, 200, 100.0967
2017-09-27 17:54:43.0, 89.91222, 1.482388, 200, 100.0969
2017-09-27 17:54:58.1, 90.18816, 1.481075, 200, 100.0977
2017-09-27 17:55:13.2, 90.19463, 1.481044, 200, 100.0974
2017-09-27 17:55:28.3, 90.15645, 1.481226, 200, 100.0981
2017-09-27 17:55:43.4, 90.30724, 1.480509, 200, 100.0947
2017-09-27 17:55:58.5, 90.24361, 1.480811, 200, 100.0928
2017-09-27 17:56:13.5, 90.09877, 1.4815, 200, 100.0957
2017-09-27 17:56:28.6, 90.11598, 1.481418, 200, 100.0928
2017-09-27 17:56:43.6, 90.11855, 1.481406, 200, 100.095
2017-09-27 17:56:58.7, 90.09071, 1.481538, 200, 100.0974
2017-09-27 17:57:13.7, 89.77486, 1.483043, 200, 100.0981
2017-09-27 17:57:28.8, 89.76448, 1.483092, 200, 100.0938
2017-09-27 17:57:43.9, 89.81248, 1.482864, 200, 100.0935
2017-09-27 17:57:58.9, 89.72417, 1.483285, 200, 100.0923
2017-09-27 17:58:14.0, 89.54936, 1.484119, 200, 100.0918
2017-09-27 17:58:29.1, 89.42293, 1.484723, 200, 100.0928
2017-09-27 17:58:44.2, 89.42848, 1.484696, 200, 100.0945
2017-09-27 17:58:59.2, 89.30678, 1.485278, 200, 100.093
2017-09-27 17:59:14.3, 88.9373, 1.487047, 200, 100.092
2017-09-27 17:59:29.4, 88.8499, 1.487466, 200, 100.0908
2017-09-27 17:59:44.5, 88.68083, 1.488277, 200, 100.0901
2017-09-27 17:59:59.5, 88.45659, 1.489355, 200, 100.0916
2017-09-27 18:00:14.6, 88.35481, 1.489844, 200, 100.0916
2017-09-27 18:00:29.7, 88.06401, 1.491245, 200, 100.0938
2017-09-27 18:00:44.8, 87.80711, 1.492484, 200, 100.0903
2017-09-27 18:00:59.8, 87.70705, 1.492968, 200, 100.0935
2017-09-27 18:01:14.9, 87.5193, 1.493875, 200, 100.0916
2017-09-27 18:01:30.0, 87.24892, 1.495184, 200, 100.0933
2017-09-27 18:01:45.1, 87.18163, 1.495511, 200, 100.0969
2017-09-27 18:02:00.1, 86.89909, 1.496882, 200, 100.0928
2017-09-27 18:02:15.2, 86.60091, 1.498331, 200, 100.0938
2017-09-27 18:02:30.3, 86.43843, 1.499123, 200, 100.0916
2017-09-27 18:02:45.4, 86.25441, 1.50002, 200, 100.0913
2017-09-27 18:03:00.4, 85.9395, 1.501557, 200, 100.0935
2017-09-27 18:03:15.5, 85.5818, 1.503307, 200, 100.0923
2017-09-27 18:03:30.5, 85.54936, 1.503466, 200, 100.0925
2017-09-27 18:03:45.6, 85.21278, 1.505117, 200, 100.0942
2017-09-27 18:04:00.6, 84.97334, 1.506294, 200, 100.092
2017-09-27 18:04:15.7, 84.77397, 1.507275, 200, 100.0903
2017-09-27 18:04:30.8, 84.72884, 1.507498, 200, 100.0913
2017-09-27 18:04:45.9, 84.86577, 1.506823, 200, 100.0935
2017-09-27 18:05:01.0, 84.34911, 1.509371, 200, 100.0942
2017-09-27 18:05:16.0, 84.32191, 1.509505, 200, 100.0935
2017-09-27 18:05:31.1, 84.25963, 1.509813, 200, 100.0947
2017-09-27 18:05:46.2, 84.28008, 1.509712, 200, 100.094
2017-09-27 18:06:01.3, 84.27641, 1.50973, 200, 100.0952
2017-09-27 18:06:16.3, 84.27513, 1.509736, 200, 100.0911
2017-09-27 18:06:31.4, 84.35732, 1.50933, 200, 100.0935
2017-09-27 18:06:46.5, 84.46132, 1.508817, 200, 100.0947
2017-09-27 18:07:01.6, 84.64748, 1.507899, 200, 100.0952
2017-09-27 18:07:16.6, 84.83595, 1.50697, 200, 100.0957
2017-09-27 18:07:31.7, 84.951, 1.506404, 200, 100.0947
2017-09-27 18:07:46.8, 85.04784, 1.505928, 200, 100.0935
2017-09-27 18:08:01.9, 85.47115, 1.50385, 200, 100.0935
2017-09-27 18:08:16.9, 85.63084, 1.503067, 200, 100.0938
2017-09-27 18:08:32.0, 85.82344, 1.502125, 200, 100.0947
2017-09-27 18:08:47.1, 85.97136, 1.501401, 200, 100.094
2017-09-27 18:09:02.2, 86.38823, 1.499367, 200, 100.0986
2017-09-27 18:09:17.3, 86.5215, 1.498718, 200, 100.0974
2017-09-27 18:09:32.3, 86.73405, 1.497684, 200, 100.0991
2017-09-27 18:09:47.4, 87.04536, 1.496171, 200, 100.0959
2017-09-27 18:10:02.5, 87.23143, 1.495269, 200, 100.0945
2017-09-27 18:10:17.5, 87.40367, 1.494435, 200, 100.092
2017-09-27 18:10:32.6, 87.49544, 1.493991, 200, 100.0898
2017-09-27 18:10:47.7, 87.6707, 1.493143, 200, 100.0916
2017-09-27 18:11:02.8, 87.99269, 1.491589, 200, 100.0876
2017-09-27 18:11:17.9, 88.10847, 1.49103, 200, 100.0935
2017-09-27 18:11:32.9, 88.321, 1.490007, 200, 100.0908
2017-09-27 18:11:48.0, 88.5005, 1.489144, 200, 100.0874
2017-09-27 18:12:03.1, 88.60365, 1.488648, 200, 100.0898
2017-09-27 18:12:18.2, 88.66899, 1.488334, 200, 100.0911
2017-09-27 18:12:33.2, 89.09184, 1.486307, 200, 100.0928
2017-09-27 18:12:48.2, 89.2057, 1.485761, 200, 100.0923
2017-09-27 18:13:03.3, 89.24504, 1.485573, 200, 100.0916
2017-09-27 18:13:18.4, 89.35313, 1.485056, 200, 100.0923
2017-09-27 18:13:33.4, 89.58418, 1.483952, 200, 100.0886
2017-09-27 18:13:48.5, 89.7823, 1.483007, 200, 100.093
2017-09-27 18:14:03.6, 90.03905, 1.481784, 200, 100.093
2017-09-27 18:14:18.7, 89.94691, 1.482223, 200, 100.093
2017-09-27 18:14:33.7, 89.81374, 1.482857, 200, 100.0955
2017-09-27 18:14:48.8, 89.83479, 1.482757, 200, 100.0916
2017-09-27 18:15:03.9, 89.7635, 1.483097, 200, 100.0901
