Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-29 17:27:48.4, 98.28778, 2.12395, 200, 100.4021
2017-05-29 17:28:03.4, 98.28033, 2.12399, 200, 100.4028
2017-05-29 17:28:18.4, 98.26334, 2.124079, 200, 100.4045
2017-05-29 17:28:33.5, 98.3363, 2.123693, 200, 100.4023
2017-05-29 17:28:48.5, 98.26929, 2.124048, 200, 100.4053
2017-05-29 17:29:03.6, 98.28711, 2.123954, 200, 100.4043
2017-05-29 17:29:18.7, 98.35187, 2.123611, 200, 100.4036
2017-05-29 17:29:33.7, 98.19772, 2.124427, 200, 100.4087
2017-05-29 17:29:48.8, 98.08203, 2.125039, 200, 100.4031
2017-05-29 17:30:03.9, 98.07782, 2.125061, 200, 100.4028
2017-05-29 17:30:18.9, 97.92871, 2.125851, 200, 100.4001
2017-05-29 17:30:33.9, 97.87387, 2.126142, 200, 100.4045
2017-05-29 17:30:49.0, 97.75726, 2.12676, 200, 100.4019
2017-05-29 17:31:04.1, 97.52438, 2.127996, 200, 100.4026
2017-05-29 17:31:19.1, 97.45462, 2.128367, 200, 100.4006
2017-05-29 17:31:34.2, 97.23865, 2.129514, 200, 100.4028
2017-05-29 17:31:49.3, 96.98645, 2.130857, 200, 100.4009
2017-05-29 17:32:04.4, 96.95593, 2.131019, 200, 100.3977
2017-05-29 17:32:19.5, 96.77017, 2.132009, 200, 100.4036
2017-05-29 17:32:34.5, 96.54987, 2.133183, 200, 100.3979
2017-05-29 17:32:49.6, 96.55298, 2.133167, 200, 100.4019
2017-05-29 17:33:04.7, 96.4682, 2.133619, 200, 100.3979
2017-05-29 17:33:19.8, 96.31729, 2.134425, 200, 100.3992
2017-05-29 17:33:34.8, 96.44186, 2.13376, 200, 100.4016
2017-05-29 17:33:49.9, 96.2179, 2.134956, 200, 100.4019
2017-05-29 17:34:05.0, 96.14084, 2.135368, 200, 100.3987
2017-05-29 17:34:20.1, 96.18637, 2.135125, 200, 100.397
2017-05-29 17:34:35.1, 95.96732, 2.136297, 200, 100.3979
2017-05-29 17:34:50.2, 95.86447, 2.136847, 200, 100.4036
2017-05-29 17:35:05.3, 95.96732, 2.136297, 200, 100.397
2017-05-29 17:35:20.4, 95.84717, 2.13694, 200, 100.3972
2017-05-29 17:35:35.4, 95.80264, 2.137178, 200, 100.3977
2017-05-29 17:35:50.5, 95.9209, 2.136545, 200, 100.3992
2017-05-29 17:36:05.6, 95.84488, 2.136952, 200, 100.4045
2017-05-29 17:36:20.7, 95.85367, 2.136905, 200, 100.3984
2017-05-29 17:36:35.7, 96.02368, 2.135995, 200, 100.3958
2017-05-29 17:36:50.7, 95.92993, 2.136497, 200, 100.3979
2017-05-29 17:37:05.8, 96.00058, 2.136119, 200, 100.3967
2017-05-29 17:37:20.9, 96.09933, 2.13559, 200, 100.4001
2017-05-29 17:37:36.0, 95.99847, 2.13613, 200, 100.396
2017-05-29 17:37:51.0, 96.16696, 2.135229, 200, 100.3975
2017-05-29 17:38:06.1, 96.12057, 2.135477, 200, 100.3967
2017-05-29 17:38:21.2, 96.0466, 2.135872, 200, 100.4001
2017-05-29 17:38:36.3, 96.09973, 2.135588, 200, 100.3987
2017-05-29 17:38:51.3, 96.03082, 2.135957, 200, 100.3975
2017-05-29 17:39:06.4, 95.97577, 2.136251, 200, 100.3958
2017-05-29 17:39:21.4, 96.10107, 2.135581, 200, 100.3962
2017-05-29 17:39:36.5, 96.04849, 2.135862, 200, 100.3982
2017-05-29 17:39:51.5, 96.0173, 2.136029, 200, 100.3948
2017-05-29 17:40:06.6, 96.06662, 2.135765, 200, 100.3965
2017-05-29 17:40:21.7, 95.97849, 2.136237, 200, 100.3975
2017-05-29 17:40:36.8, 95.86163, 2.136862, 200, 100.3994
2017-05-29 17:40:51.8, 95.56598, 2.138447, 200, 100.3948
2017-05-29 17:41:06.8, 95.26678, 2.140052, 200, 100.3921
2017-05-29 17:41:21.9, 95.07269, 2.141095, 200, 100.396
2017-05-29 17:41:37.0, 94.93814, 2.141819, 200, 100.3936
2017-05-29 17:41:52.0, 94.56345, 2.143836, 200, 100.3943
2017-05-29 17:42:07.1, 94.25952, 2.145475, 200, 100.395
2017-05-29 17:42:22.2, 94.06525, 2.146524, 200, 100.3972
2017-05-29 17:42:37.3, 93.61746, 2.148947, 200, 100.3958
2017-05-29 17:42:52.4, 93.07996, 2.151861, 200, 100.394
2017-05-29 17:43:07.4, 92.89224, 2.152881, 200, 100.3943
2017-05-29 17:43:22.5, 92.45908, 2.155238, 200, 100.3909
2017-05-29 17:43:37.6, 92.26819, 2.156278, 200, 100.3945
2017-05-29 17:43:52.6, 92.03931, 2.157526, 200, 100.3906
2017-05-29 17:44:07.7, 91.67334, 2.159526, 200, 100.3909
2017-05-29 17:44:22.8, 91.43942, 2.160806, 200, 100.3914
2017-05-29 17:44:37.9, 91.25174, 2.161834, 200, 100.3923
2017-05-29 17:44:53.0, 90.90234, 2.16375, 200, 100.3899
2017-05-29 17:45:08.0, 90.70383, 2.164841, 200, 100.3894
