Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-29 19:09:13.4, 94.9245, 2.059926, 200, 100.5366
2017-09-29 19:09:28.5, 94.80774, 2.060559, 200, 100.5366
2017-09-29 19:09:43.6, 94.89124, 2.060106, 200, 100.5361
2017-09-29 19:09:58.6, 94.89786, 2.060071, 200, 100.5366
2017-09-29 19:10:13.7, 94.97562, 2.05965, 200, 100.5378
2017-09-29 19:10:28.8, 94.93201, 2.059886, 200, 100.5391
2017-09-29 19:10:43.8, 94.97595, 2.059648, 200, 100.5378
2017-09-29 19:10:58.9, 95.04361, 2.059282, 200, 100.5417
2017-09-29 19:11:14.0, 95.0997, 2.058978, 200, 100.541
2017-09-29 19:11:29.1, 95.14377, 2.05874, 200, 100.5376
2017-09-29 19:11:44.2, 95.18829, 2.058499, 200, 100.5422
2017-09-29 19:11:59.2, 95.22919, 2.058278, 200, 100.5444
2017-09-29 19:12:14.3, 95.17538, 2.058569, 200, 100.5405
2017-09-29 19:12:29.4, 95.22397, 2.058306, 200, 100.5405
2017-09-29 19:12:44.5, 95.22534, 2.058299, 200, 100.5349
2017-09-29 19:12:59.5, 95.2973, 2.05791, 200, 100.5474
2017-09-29 19:13:14.6, 95.22748, 2.058287, 200, 100.5422
2017-09-29 19:13:29.7, 95.31027, 2.05784, 200, 100.5464
2017-09-29 19:13:44.8, 95.28586, 2.057972, 200, 100.5405
2017-09-29 19:13:59.9, 95.43732, 2.057154, 200, 100.5398
2017-09-29 19:14:14.9, 95.40778, 2.057313, 200, 100.5327
2017-09-29 19:14:30.0, 95.41953, 2.05725, 200, 100.5405
2017-09-29 19:14:45.1, 95.47015, 2.056976, 200, 100.5408
2017-09-29 19:15:00.1, 95.52289, 2.056692, 200, 100.551
2017-09-29 19:15:15.2, 95.46802, 2.056988, 200, 100.5452
2017-09-29 19:15:30.3, 95.45966, 2.057033, 200, 100.5491
2017-09-29 19:15:45.4, 95.53558, 2.056623, 200, 100.5476
2017-09-29 19:16:00.4, 95.57773, 2.056396, 200, 100.5471
2017-09-29 19:16:15.5, 95.54248, 2.056586, 200, 100.551
2017-09-29 19:16:30.6, 95.54376, 2.056579, 200, 100.5488
2017-09-29 19:16:45.6, 95.56631, 2.056458, 200, 100.5532
2017-09-29 19:17:00.6, 95.58911, 2.056334, 200, 100.5457
2017-09-29 19:17:15.7, 95.60172, 2.056267, 200, 100.5476
2017-09-29 19:17:30.8, 95.62051, 2.056165, 200, 100.5515
2017-09-29 19:17:45.9, 95.57596, 2.056405, 200, 100.5593
2017-09-29 19:18:01.0, 95.57031, 2.056436, 200, 100.5571
2017-09-29 19:18:16.0, 95.67441, 2.055874, 200, 100.5574
2017-09-29 19:18:31.1, 95.65976, 2.055954, 200, 100.5581
2017-09-29 19:18:46.2, 95.65256, 2.055992, 200, 100.5596
