Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-02 10:59:36.2, 99.08548, 1.630818, 200, 99.90112
2017-06-02 10:59:51.2, 98.94547, 1.631302, 200, 99.90796
2017-06-02 11:00:06.4, 98.64871, 1.632329, 200, 99.90283
2017-06-02 11:00:21.4, 98.97711, 1.631193, 200, 99.90747
2017-06-02 11:00:36.5, 98.84763, 1.631641, 200, 99.90552
2017-06-02 11:00:51.5, 98.78171, 1.631869, 200, 99.90625
2017-06-02 11:01:06.6, 98.55087, 1.632668, 200, 99.90479
2017-06-02 11:01:21.7, 98.56058, 1.632634, 200, 99.90747
2017-06-02 11:01:36.8, 98.33948, 1.6334, 200, 99.90869
2017-06-02 11:01:51.8, 98.14789, 1.634065, 200, 99.90381
2017-06-02 11:02:06.8, 98.1611, 1.634019, 200, 99.9082
2017-06-02 11:02:21.9, 98.36548, 1.63331, 200, 99.90332
2017-06-02 11:02:37.0, 98.3526, 1.633355, 200, 99.90479
2017-06-02 11:02:52.0, 98.42203, 1.633114, 200, 99.90869
2017-06-02 11:03:07.1, 98.79773, 1.631813, 200, 99.9104
2017-06-02 11:03:22.2, 98.8725, 1.631555, 200, 99.90894
2017-06-02 11:03:37.3, 98.96786, 1.631225, 200, 99.90601
2017-06-02 11:03:52.4, 98.99405, 1.631134, 200, 99.91431
2017-06-02 11:04:07.4, 98.95099, 1.631283, 200, 99.9104
2017-06-02 11:04:22.5, 98.84518, 1.631649, 200, 99.91187
2017-06-02 11:04:37.6, 99.06088, 1.630903, 200, 99.9104
2017-06-02 11:04:52.7, 99.1106, 1.630732, 200, 99.91626
2017-06-02 11:05:07.7, 98.89044, 1.631493, 200, 99.92017
2017-06-02 11:05:22.8, 98.77689, 1.631886, 200, 99.91138
2017-06-02 11:05:37.8, 98.92239, 1.631382, 200, 99.91846
2017-06-02 11:05:52.9, 98.96469, 1.631236, 200, 99.91382
2017-06-02 11:06:07.9, 98.68979, 1.632187, 200, 99.91602
2017-06-02 11:06:23.0, 98.82449, 1.631721, 200, 99.91846
2017-06-02 11:06:38.1, 99.0491, 1.630944, 200, 99.91577
2017-06-02 11:06:53.2, 98.70996, 1.632117, 200, 99.91992
2017-06-02 11:07:08.3, 98.8876, 1.631503, 200, 99.91846
2017-06-02 11:07:23.3, 99.1579, 1.630568, 200, 99.92236
2017-06-02 11:07:38.4, 99.04868, 1.630946, 200, 99.92358
2017-06-02 11:07:53.5, 98.83984, 1.631668, 200, 99.91748
2017-06-02 11:08:08.5, 98.78998, 1.63184, 200, 99.92554
2017-06-02 11:08:23.6, 98.90903, 1.631428, 200, 99.93164
2017-06-02 11:08:38.7, 99.1326, 1.630656, 200, 99.93091
2017-06-02 11:08:53.8, 99.15457, 1.63058, 200, 99.92725
2017-06-02 11:09:08.8, 98.91763, 1.631399, 200, 99.93311
2017-06-02 11:09:23.9, 98.88583, 1.631509, 200, 99.93335
2017-06-02 11:09:39.0, 98.86899, 1.631567, 200, 99.93506
2017-06-02 11:09:54.1, 98.85001, 1.631633, 200, 99.93213
2017-06-02 11:10:09.1, 98.78723, 1.63185, 200, 99.93872
2017-06-02 11:10:24.1, 98.69141, 1.632181, 200, 99.93237
2017-06-02 11:10:39.2, 98.89481, 1.631478, 200, 99.93848
2017-06-02 11:10:54.2, 98.96631, 1.63123, 200, 99.93848
2017-06-02 11:11:09.3, 98.97696, 1.631194, 200, 99.93994
2017-06-02 11:11:24.3, 98.81082, 1.631768, 200, 99.93799
2017-06-02 11:11:39.4, 99.09769, 1.630776, 200, 99.94263
2017-06-02 11:11:54.5, 98.8541, 1.631618, 200, 99.94556
2017-06-02 11:12:09.6, 98.88293, 1.631519, 200, 99.94458
2017-06-02 11:12:24.6, 98.62302, 1.632418, 200, 99.94946
2017-06-02 11:12:39.6, 98.56329, 1.632625, 200, 99.94678
2017-06-02 11:12:54.7, 98.49084, 1.632876, 200, 99.94556
2017-06-02 11:13:09.8, 98.65775, 1.632298, 200, 99.94385
2017-06-02 11:13:24.8, 98.3273, 1.633443, 200, 99.94873
2017-06-02 11:13:39.9, 97.98285, 1.634637, 200, 99.95239
2017-06-02 11:13:55.0, 98.181, 1.63395, 200, 99.95264
2017-06-02 11:14:10.0, 98.05597, 1.634384, 200, 99.95435
2017-06-02 11:14:25.0, 97.93307, 1.63481, 200, 99.9541
2017-06-02 11:14:40.1, 97.77518, 1.635359, 200, 99.96118
2017-06-02 11:14:55.2, 97.48523, 1.636367, 200, 99.95679
2017-06-02 11:15:10.3, 97.37289, 1.636758, 200, 99.95386
2017-06-02 11:15:25.4, 97.13492, 1.637586, 200, 99.95557
2017-06-02 11:15:40.4, 96.7637, 1.638881, 200, 99.95801
2017-06-02 11:15:55.5, 96.64603, 1.639292, 200, 99.96631
2017-06-02 11:16:10.5, 96.61566, 1.639398, 200, 99.95703
2017-06-02 11:16:25.6, 96.45703, 1.639952, 200, 99.96509
2017-06-02 11:16:40.6, 96.02853, 1.64145, 200, 99.9585
2017-06-02 11:16:55.7, 96.09381, 1.641222, 200, 99.9646
2017-06-02 11:17:10.8, 95.64722, 1.642786, 200, 99.95728
2017-06-02 11:17:25.9, 95.91397, 1.641851, 200, 99.95947
2017-06-02 11:17:41.1, 95.62177, 1.642875, 200, 99.96533
2017-06-02 11:17:56.2, 95.36057, 1.643792, 200, 99.96191
2017-06-02 11:18:11.2, 95.32419, 1.643919, 200, 99.9624
2017-06-02 11:18:26.3, 94.84427, 1.645606, 200, 99.96265
2017-06-02 11:18:41.3, 94.69281, 1.646139, 200, 99.95923
2017-06-02 11:18:56.4, 94.2431, 1.647724, 200, 99.96143
2017-06-02 11:19:11.5, 94.16031, 1.648016, 200, 99.95996
2017-06-02 11:19:26.6, 93.85172, 1.649106, 200, 99.96655
2017-06-02 11:19:41.6, 93.46246, 1.650482, 200, 99.95923
2017-06-02 11:19:56.7, 93.20776, 1.651384, 200, 99.96606
2017-06-02 11:20:11.8, 92.88367, 1.652533, 200, 99.95947
2017-06-02 11:20:26.9, 92.64511, 1.65338, 200, 99.96582
2017-06-02 11:20:41.9, 92.28964, 1.654644, 200, 99.95947
2017-06-02 11:20:57.0, 92.11746, 1.655256, 200, 99.96143
2017-06-02 11:21:12.1, 91.58429, 1.657156, 200, 99.9646
2017-06-02 11:21:27.2, 91.56531, 1.657224, 200, 99.96558
2017-06-02 11:21:42.3, 91.40701, 1.657789, 200, 99.96777
2017-06-02 11:21:57.3, 91.27277, 1.658269, 200, 99.96606
2017-06-02 11:22:12.4, 91.28177, 1.658237, 200, 99.96875
2017-06-02 11:22:27.5, 90.91312, 1.659555, 200, 99.96484
2017-06-02 11:22:42.5, 90.90427, 1.659586, 200, 99.96729
2017-06-02 11:22:57.6, 90.76956, 1.660069, 200, 99.96704
2017-06-02 11:23:12.7, 90.59952, 1.660678, 200, 99.96997
2017-06-02 11:23:27.7, 90.28558, 1.661803, 200, 99.96533
2017-06-02 11:23:42.7, 90.44635, 1.661227, 200, 99.96997
2017-06-02 11:23:57.8, 90.22318, 1.662027, 200, 99.96802
2017-06-02 11:24:12.9, 90.03833, 1.662691, 200, 99.96313
2017-06-02 11:24:28.0, 90.0289, 1.662725, 200, 99.97192
2017-06-02 11:24:43.1, 89.8483, 1.663374, 200, 99.96777
2017-06-02 11:24:58.1, 89.47473, 1.664717, 200, 99.97046
2017-06-02 11:25:13.2, 89.56134, 1.664406, 200, 99.97241
2017-06-02 11:25:28.2, 89.34122, 1.665198, 200, 99.97559
2017-06-02 11:25:43.3, 89.14902, 1.665891, 200, 99.97217
2017-06-02 11:25:58.3, 89.15155, 1.665882, 200, 99.9668
2017-06-02 11:26:13.4, 88.8154, 1.667095, 200, 99.97192
2017-06-02 11:26:28.5, 88.64697, 1.667703, 200, 99.97095
2017-06-02 11:26:43.5, 88.34692, 1.668788, 200, 99.97437
2017-06-02 11:26:58.6, 88.2991, 1.668961, 200, 99.97046
2017-06-02 11:27:13.7, 88.03741, 1.669909, 200, 99.97485
2017-06-02 11:27:28.8, 88.00476, 1.670027, 200, 99.97778
2017-06-02 11:27:43.9, 87.85846, 1.670557, 200, 99.97729
2017-06-02 11:27:58.9, 87.75146, 1.670945, 200, 99.9729
2017-06-02 11:28:14.0, 87.54697, 1.671687, 200, 99.97729
2017-06-02 11:28:29.1, 87.15762, 1.673102, 200, 99.97485
2017-06-02 11:28:44.1, 86.77777, 1.674485, 200, 99.97607
2017-06-02 11:28:59.2, 86.78625, 1.674454, 200, 99.98071
2017-06-02 11:29:14.2, 87.77051, 1.670876, 200, 99.97876
2017-06-02 11:29:29.3, 89.42709, 1.664889, 200, 99.98047
2017-06-02 11:29:44.4, 90.43799, 1.661256, 200, 99.97876
2017-06-02 11:29:59.5, 91.1601, 1.658671, 200, 99.98389
2017-06-02 11:30:14.5, 92.09903, 1.655322, 200, 99.98169
2017-06-02 11:30:29.6, 93.14117, 1.65162, 200, 99.97925
2017-06-02 11:30:44.6, 94.27148, 1.647624, 200, 99.97852
2017-06-02 11:30:59.7, 95.29007, 1.644039, 200, 99.97363
2017-06-02 11:31:14.7, 95.88031, 1.641969, 200, 99.97339
2017-06-02 11:31:29.8, 96.59763, 1.639461, 200, 99.97314
2017-06-02 11:31:44.9, 96.68768, 1.639146, 200, 99.96753
2017-06-02 11:32:00.0, 97.21683, 1.637301, 200, 99.97485
2017-06-02 11:32:15.0, 97.35345, 1.636825, 200, 99.97388
2017-06-02 11:32:30.1, 97.55701, 1.636117, 200, 99.97339
2017-06-02 11:32:45.2, 97.71558, 1.635566, 200, 99.97217
2017-06-02 11:33:00.3, 97.9783, 1.634653, 200, 99.96851
2017-06-02 11:33:15.3, 97.74893, 1.63545, 200, 99.96509
2017-06-02 11:33:30.4, 98.19995, 1.633884, 200, 99.9624
2017-06-02 11:33:45.5, 98.08575, 1.63428, 200, 99.96948
2017-06-02 11:34:00.6, 98.22577, 1.633795, 200, 99.96704
2017-06-02 11:34:15.7, 97.70624, 1.635598, 200, 99.96411
2017-06-02 11:34:30.7, 98.24329, 1.633734, 200, 99.96167
2017-06-02 11:34:45.8, 98.13339, 1.634115, 200, 99.95898
2017-06-02 11:35:00.9, 98.16656, 1.634, 200, 99.96484
2017-06-02 11:35:15.9, 98.11899, 1.634165, 200, 99.97021
2017-06-02 11:35:31.0, 98.4166, 1.633133, 200, 99.96021
2017-06-02 11:35:46.1, 98.15155, 1.634052, 200, 99.95996
