Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-02 11:01:34.3, 99.18115, 1.976601, 200, 100.8691
2017-06-02 11:01:49.4, 98.95532, 1.977411, 200, 100.8633
2017-06-02 11:02:04.6, 99.0788, 1.976968, 200, 100.8633
2017-06-02 11:02:19.6, 99.05426, 1.977056, 200, 100.8667
2017-06-02 11:02:34.7, 98.94666, 1.977442, 200, 100.8657
2017-06-02 11:02:49.7, 98.87, 1.977717, 200, 100.8684
2017-06-02 11:03:04.7, 98.71741, 1.978265, 200, 100.8694
2017-06-02 11:03:19.8, 98.9043, 1.977594, 200, 100.8672
2017-06-02 11:03:34.9, 98.84167, 1.977819, 200, 100.8716
2017-06-02 11:03:49.9, 98.77649, 1.978052, 200, 100.8711
2017-06-02 11:04:05.0, 98.66089, 1.978468, 200, 100.8716
2017-06-02 11:04:20.1, 98.6604, 1.97847, 200, 100.8735
2017-06-02 11:04:35.2, 98.50916, 1.979013, 200, 100.8755
2017-06-02 11:04:50.3, 98.67163, 1.978429, 200, 100.8755
2017-06-02 11:05:05.3, 98.68536, 1.97838, 200, 100.8809
2017-06-02 11:05:20.4, 98.71033, 1.97829, 200, 100.8813
2017-06-02 11:05:35.5, 98.505, 1.979028, 200, 100.8789
2017-06-02 11:05:50.6, 98.55426, 1.978851, 200, 100.8784
2017-06-02 11:06:05.6, 98.56427, 1.978815, 200, 100.8799
2017-06-02 11:06:20.7, 98.57349, 1.978782, 200, 100.8813
2017-06-02 11:06:35.8, 98.61182, 1.978644, 200, 100.8816
2017-06-02 11:06:50.9, 98.5307, 1.978935, 200, 100.8801
2017-06-02 11:07:05.9, 98.5257, 1.978953, 200, 100.8857
2017-06-02 11:07:20.9, 98.49884, 1.97905, 200, 100.8875
2017-06-02 11:07:36.0, 98.5174, 1.978983, 200, 100.8889
2017-06-02 11:07:51.1, 98.52765, 1.978946, 200, 100.8875
2017-06-02 11:08:06.1, 98.5816, 1.978752, 200, 100.886
2017-06-02 11:08:21.1, 98.54657, 1.978878, 200, 100.8953
2017-06-02 11:08:36.2, 98.59137, 1.978717, 200, 100.8906
2017-06-02 11:08:51.3, 98.56311, 1.978819, 200, 100.8948
2017-06-02 11:09:06.3, 98.58813, 1.978729, 200, 100.8899
2017-06-02 11:09:21.4, 98.50824, 1.979016, 200, 100.8936
2017-06-02 11:09:36.5, 98.56732, 1.978804, 200, 100.8979
2017-06-02 11:09:51.6, 98.44031, 1.97926, 200, 100.8982
2017-06-02 11:10:06.6, 98.63678, 1.978554, 200, 100.8972
2017-06-02 11:10:21.6, 98.65955, 1.978472, 200, 100.8955
2017-06-02 11:10:36.7, 98.58569, 1.978738, 200, 100.8982
2017-06-02 11:10:51.8, 98.49701, 1.979056, 200, 100.9053
2017-06-02 11:11:06.9, 98.69531, 1.978344, 200, 100.9038
2017-06-02 11:11:21.9, 98.5434, 1.97889, 200, 100.9023
2017-06-02 11:11:37.0, 98.73224, 1.978211, 200, 100.905
2017-06-02 11:11:52.1, 98.52936, 1.97894, 200, 100.9028
2017-06-02 11:12:07.2, 98.52209, 1.978966, 200, 100.9082
2017-06-02 11:12:22.2, 98.64935, 1.978509, 200, 100.9065
2017-06-02 11:12:37.3, 98.63953, 1.978544, 200, 100.9038
2017-06-02 11:12:52.4, 98.62848, 1.978584, 200, 100.9072
2017-06-02 11:13:07.5, 98.61591, 1.978629, 200, 100.9045
2017-06-02 11:13:22.5, 98.55664, 1.978842, 200, 100.9136
2017-06-02 11:13:37.6, 98.56482, 1.978813, 200, 100.9121
2017-06-02 11:13:52.6, 98.55402, 1.978852, 200, 100.9116
2017-06-02 11:14:07.7, 98.53406, 1.978923, 200, 100.9141
2017-06-02 11:14:22.7, 98.55127, 1.978861, 200, 100.917
2017-06-02 11:14:37.7, 98.40027, 1.979404, 200, 100.9128
2017-06-02 11:14:52.8, 98.45734, 1.979199, 200, 100.9146
2017-06-02 11:15:07.8, 98.38489, 1.97946, 200, 100.9148
2017-06-02 11:15:22.9, 98.21948, 1.980055, 200, 100.9199
2017-06-02 11:15:37.9, 98.22882, 1.980021, 200, 100.9153
2017-06-02 11:15:53.0, 98.1684, 1.980238, 200, 100.9211
2017-06-02 11:16:08.1, 98.16016, 1.980268, 200, 100.9207
2017-06-02 11:16:23.2, 97.9632, 1.980977, 200, 100.9199
2017-06-02 11:16:38.2, 97.86682, 1.981324, 200, 100.9163
2017-06-02 11:16:53.3, 97.71796, 1.98186, 200, 100.9238
2017-06-02 11:17:08.3, 97.53979, 1.982503, 200, 100.9199
2017-06-02 11:17:23.4, 97.52307, 1.982563, 200, 100.9163
2017-06-02 11:17:38.4, 97.38397, 1.983065, 200, 100.9167
2017-06-02 11:17:53.5, 97.10052, 1.984088, 200, 100.9182
2017-06-02 11:18:08.6, 97.06403, 1.98422, 200, 100.9165
2017-06-02 11:18:23.7, 96.8924, 1.98484, 200, 100.9199
2017-06-02 11:18:38.7, 96.61798, 1.985833, 200, 100.9158
2017-06-02 11:18:53.8, 96.52124, 1.986183, 200, 100.9194
2017-06-02 11:19:08.9, 96.3783, 1.9867, 200, 100.9199
2017-06-02 11:19:24.0, 96.06616, 1.987831, 200, 100.9226
2017-06-02 11:19:39.1, 95.97852, 1.988149, 200, 100.9231
2017-06-02 11:19:54.1, 95.71826, 1.989094, 200, 100.9246
2017-06-02 11:20:09.2, 95.63953, 1.98938, 200, 100.9189
2017-06-02 11:20:24.2, 95.40332, 1.990238, 200, 100.9258
2017-06-02 11:20:39.3, 95.13373, 1.991218, 200, 100.9233
2017-06-02 11:20:54.3, 95.00195, 1.991698, 200, 100.9231
2017-06-02 11:21:09.3, 94.94971, 1.991888, 200, 100.9229
2017-06-02 11:21:24.4, 94.612, 1.993118, 200, 100.9299
2017-06-02 11:21:39.5, 94.30591, 1.994234, 200, 100.9253
2017-06-02 11:21:54.5, 94.17596, 1.994709, 200, 100.9255
2017-06-02 11:22:09.7, 93.82861, 1.995978, 200, 100.9229
2017-06-02 11:22:24.7, 93.64709, 1.996641, 200, 100.927
2017-06-02 11:22:39.8, 93.32703, 1.997813, 200, 100.9263
2017-06-02 11:22:54.8, 93.07013, 1.998754, 200, 100.9226
2017-06-02 11:23:09.9, 92.80438, 1.999729, 200, 100.928
2017-06-02 11:23:25.0, 92.66333, 2.000247, 200, 100.929
2017-06-02 11:23:40.1, 92.28534, 2.001635, 200, 100.9316
2017-06-02 11:23:55.2, 92.1911, 2.001982, 200, 100.9312
2017-06-02 11:24:10.2, 91.8233, 2.003335, 200, 100.9248
2017-06-02 11:24:25.3, 91.5025, 2.004517, 200, 100.9287
2017-06-02 11:24:40.4, 91.40686, 2.00487, 200, 100.929
2017-06-02 11:24:55.4, 91.02661, 2.006274, 200, 100.9312
2017-06-02 11:25:10.5, 90.82562, 2.007016, 200, 100.9316
2017-06-02 11:25:25.6, 90.51056, 2.008181, 200, 100.9236
2017-06-02 11:25:40.7, 90.20776, 2.009302, 200, 100.928
2017-06-02 11:25:55.8, 90.01953, 2.01, 200, 100.926
2017-06-02 11:26:10.8, 89.79395, 2.010836, 200, 100.9277
2017-06-02 11:26:25.9, 89.36768, 2.012419, 200, 100.9241
2017-06-02 11:26:41.0, 89.21167, 2.012999, 200, 100.9224
2017-06-02 11:26:56.0, 88.89948, 2.014161, 200, 100.9341
2017-06-02 11:27:11.2, 88.65631, 2.015066, 200, 100.9294
2017-06-02 11:27:26.2, 88.36798, 2.016141, 200, 100.9316
2017-06-02 11:27:41.2, 88.06006, 2.01729, 200, 100.9336
2017-06-02 11:27:56.3, 87.75946, 2.018413, 200, 100.9304
2017-06-02 11:28:11.3, 87.42902, 2.01965, 200, 100.9355
2017-06-02 11:28:26.4, 87.21228, 2.020461, 200, 100.936
2017-06-02 11:28:41.5, 86.73621, 2.022246, 200, 100.9373
2017-06-02 11:28:56.6, 86.4491, 2.023324, 200, 100.9382
2017-06-02 11:29:11.6, 86.19397, 2.024283, 200, 100.9377
2017-06-02 11:29:26.7, 85.99878, 2.025017, 200, 100.9409
2017-06-02 11:29:41.8, 86.13611, 2.0245, 200, 100.9395
2017-06-02 11:29:56.8, 86.2016, 2.024254, 200, 100.9358
2017-06-02 11:30:11.9, 86.47943, 2.02321, 200, 100.9353
2017-06-02 11:30:27.0, 87.07666, 2.020969, 200, 100.9407
2017-06-02 11:30:42.1, 87.54773, 2.019205, 200, 100.9363
2017-06-02 11:30:57.2, 87.98193, 2.017582, 200, 100.9304
2017-06-02 11:31:12.2, 88.54578, 2.015478, 200, 100.9351
2017-06-02 11:31:27.2, 89.04034, 2.013636, 200, 100.9314
2017-06-02 11:31:42.3, 89.62695, 2.011456, 200, 100.9329
2017-06-02 11:31:57.4, 90.2121, 2.009286, 200, 100.9312
2017-06-02 11:32:12.4, 90.63843, 2.007708, 200, 100.9302
2017-06-02 11:32:27.5, 91.06787, 2.006121, 200, 100.9307
2017-06-02 11:32:42.6, 91.67358, 2.003887, 200, 100.9312
2017-06-02 11:32:57.6, 91.99597, 2.0027, 200, 100.9309
2017-06-02 11:33:12.6, 92.56152, 2.00062, 200, 100.9231
2017-06-02 11:33:27.7, 92.95306, 1.999183, 200, 100.929
2017-06-02 11:33:42.8, 93.43951, 1.997401, 200, 100.9233
2017-06-02 11:33:57.9, 93.68176, 1.996514, 200, 100.9238
2017-06-02 11:34:13.0, 94.05017, 1.995168, 200, 100.9229
2017-06-02 11:34:28.0, 94.36926, 1.994003, 200, 100.9219
2017-06-02 11:34:43.1, 94.66455, 1.992926, 200, 100.9194
2017-06-02 11:34:58.1, 95.02393, 1.991618, 200, 100.9209
2017-06-02 11:35:13.2, 95.27686, 1.990698, 200, 100.9175
2017-06-02 11:35:28.2, 95.52759, 1.989786, 200, 100.9202
2017-06-02 11:35:43.3, 95.87256, 1.988534, 200, 100.9187
2017-06-02 11:35:58.4, 95.90582, 1.988413, 200, 100.9136
2017-06-02 11:36:13.4, 96.15924, 1.987494, 200, 100.9136
2017-06-02 11:36:28.5, 96.36487, 1.986749, 200, 100.9177
2017-06-02 11:36:43.6, 96.53729, 1.986125, 200, 100.918
2017-06-02 11:36:58.7, 96.63361, 1.985776, 200, 100.9199
2017-06-02 11:37:13.8, 96.7337, 1.985414, 200, 100.9167
2017-06-02 11:37:28.8, 96.79913, 1.985177, 200, 100.9194
2017-06-02 11:37:43.9, 97.01563, 1.984395, 200, 100.9246
2017-06-02 11:37:59.0, 97.01648, 1.984392, 200, 100.9236
2017-06-02 11:38:14.0, 97.21661, 1.983669, 200, 100.9248
2017-06-02 11:38:29.0, 97.24597, 1.983563, 200, 100.9233
2017-06-02 11:38:44.1, 97.29572, 1.983383, 200, 100.9287
2017-06-02 11:38:59.2, 97.31927, 1.983298, 200, 100.9275
2017-06-02 11:39:14.3, 97.3822, 1.983071, 200, 100.9304
2017-06-02 11:39:29.3, 97.45313, 1.982815, 200, 100.9341
2017-06-02 11:39:44.4, 97.44275, 1.982853, 200, 100.9348
2017-06-02 11:39:59.4, 97.39099, 1.983039, 200, 100.9316
2017-06-02 11:40:14.5, 97.37103, 1.983111, 200, 100.9294
2017-06-02 11:40:29.5, 97.56573, 1.982409, 200, 100.9346
2017-06-02 11:40:44.6, 97.34399, 1.983209, 200, 100.936
2017-06-02 11:40:59.6, 97.46173, 1.982784, 200, 100.9343
2017-06-02 11:41:14.7, 97.47601, 1.982733, 200, 100.939
2017-06-02 11:41:29.8, 97.30341, 1.983355, 200, 100.9377
2017-06-02 11:41:44.9, 97.3725, 1.983106, 200, 100.9375
2017-06-02 11:41:59.9, 97.28314, 1.983429, 200, 100.9402
2017-06-02 11:42:15.0, 97.36005, 1.983151, 200, 100.9426
2017-06-02 11:42:30.1, 97.37885, 1.983083, 200, 100.9426
2017-06-02 11:42:45.1, 97.17865, 1.983806, 200, 100.9402
2017-06-02 11:43:00.2, 97.02686, 1.984354, 200, 100.9431
2017-06-02 11:43:15.3, 97.00171, 1.984445, 200, 100.9436
2017-06-02 11:43:30.3, 96.86084, 1.984954, 200, 100.9395
2017-06-02 11:43:45.4, 96.89996, 1.984813, 200, 100.9426
2017-06-02 11:44:00.5, 96.64258, 1.985744, 200, 100.9424
2017-06-02 11:44:15.6, 96.43018, 1.986512, 200, 100.9426
2017-06-02 11:44:30.7, 96.33289, 1.986865, 200, 100.9385
2017-06-02 11:44:45.7, 96.07574, 1.987797, 200, 100.9412
2017-06-02 11:45:00.8, 95.99219, 1.9881, 200, 100.9404
2017-06-02 11:45:15.9, 95.62024, 1.98945, 200, 100.9409
