Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-30 18:44:37.9, 95.27637, 1.594879, 200, 100.3103
2017-07-30 18:44:52.9, 95.00787, 1.595854, 200, 100.3037
2017-07-30 18:45:07.9, 95.09631, 1.595533, 200, 100.3083
2017-07-30 18:45:23.0, 94.93393, 1.596123, 200, 100.3003
2017-07-30 18:45:38.1, 94.71771, 1.59691, 200, 100.3069
2017-07-30 18:45:53.1, 94.71909, 1.596905, 200, 100.3071
2017-07-30 18:46:08.2, 94.83661, 1.596477, 200, 100.3093
2017-07-30 18:46:23.2, 94.51816, 1.597636, 200, 100.3057
2017-07-30 18:46:38.3, 94.71481, 1.59692, 200, 100.3081
2017-07-30 18:46:53.4, 94.72504, 1.596883, 200, 100.3062
2017-07-30 18:47:08.5, 94.70193, 1.596967, 200, 100.302
2017-07-30 18:47:23.5, 94.94672, 1.596076, 200, 100.3062
2017-07-30 18:47:38.6, 94.97134, 1.595987, 200, 100.3035
2017-07-30 18:47:53.6, 94.80792, 1.596581, 200, 100.3076
2017-07-30 18:48:08.7, 94.90436, 1.596231, 200, 100.3042
2017-07-30 18:48:23.8, 94.93472, 1.59612, 200, 100.3093
2017-07-30 18:48:38.8, 94.82855, 1.596506, 200, 100.3037
2017-07-30 18:48:54.0, 95.11679, 1.595459, 200, 100.3076
2017-07-30 18:49:09.0, 94.99918, 1.595886, 200, 100.3032
2017-07-30 18:49:24.1, 95.19348, 1.59518, 200, 100.3035
2017-07-30 18:49:39.1, 95.18164, 1.595223, 200, 100.3049
2017-07-30 18:49:54.2, 95.22772, 1.595056, 200, 100.3025
2017-07-30 18:50:09.3, 95.21457, 1.595103, 200, 100.3071
2017-07-30 18:50:24.4, 95.3045, 1.594777, 200, 100.303
2017-07-30 18:50:39.4, 95.31717, 1.594731, 200, 100.3091
2017-07-30 18:50:54.5, 95.21359, 1.595107, 200, 100.3032
2017-07-30 18:51:09.6, 95.17252, 1.595256, 200, 100.3086
2017-07-30 18:51:24.7, 95.27603, 1.59488, 200, 100.3037
2017-07-30 18:51:39.7, 95.14175, 1.595368, 200, 100.3074
2017-07-30 18:51:54.8, 95.21957, 1.595085, 200, 100.3005
2017-07-30 18:52:09.9, 95.44434, 1.594269, 200, 100.3132
2017-07-30 18:52:25.0, 95.06064, 1.595662, 200, 100.2993
2017-07-30 18:52:40.0, 95.15604, 1.595316, 200, 100.3101
2017-07-30 18:52:55.1, 94.86938, 1.596358, 200, 100.3025
2017-07-30 18:53:10.2, 94.95685, 1.59604, 200, 100.3105
2017-07-30 18:53:25.3, 95.02243, 1.595801, 200, 100.2974
2017-07-30 18:53:40.3, 94.91702, 1.596184, 200, 100.3101
2017-07-30 18:53:55.5, 94.9859, 1.595934, 200, 100.3018
2017-07-30 18:54:10.5, 94.84296, 1.596454, 200, 100.3066
2017-07-30 18:54:25.6, 95.14832, 1.595344, 200, 100.3032
2017-07-30 18:54:40.7, 94.40512, 1.598048, 200, 100.3064
2017-07-30 18:54:55.7, 94.36639, 1.598189, 200, 100.3027
2017-07-30 18:55:10.8, 93.66043, 1.600767, 200, 100.3054
2017-07-30 18:55:25.9, 93.40891, 1.601687, 200, 100.3049
2017-07-30 18:55:40.9, 92.90662, 1.603528, 200, 100.302
2017-07-30 18:55:56.0, 92.3533, 1.605561, 200, 100.3088
2017-07-30 18:56:11.1, 91.82983, 1.607489, 200, 100.3025
2017-07-30 18:56:26.2, 91.5097, 1.608671, 200, 100.3037
2017-07-30 18:56:41.2, 90.78287, 1.61136, 200, 100.2961
2017-07-30 18:56:56.3, 90.25803, 1.613307, 200, 100.3103
2017-07-30 18:57:11.4, 89.78094, 1.615081, 200, 100.3005
2017-07-30 18:57:26.5, 89.15585, 1.617411, 200, 100.3108
2017-07-30 18:57:41.6, 88.74332, 1.618953, 200, 100.3005
2017-07-30 18:57:56.6, 88.16943, 1.621102, 200, 100.3081
2017-07-30 18:58:11.7, 87.79718, 1.6225, 200, 100.3027
2017-07-30 18:58:26.7, 87.12851, 1.625016, 200, 100.3066
2017-07-30 18:58:41.8, 86.8252, 1.62616, 200, 100.3057
2017-07-30 18:58:56.9, 86.11438, 1.628847, 200, 100.3049
2017-07-30 18:59:11.9, 85.58408, 1.630857, 200, 100.3052
2017-07-30 18:59:27.0, 85.27603, 1.632027, 200, 100.3003
2017-07-30 18:59:42.1, 84.72998, 1.634106, 200, 100.3086
2017-07-30 18:59:57.2, 84.12808, 1.636403, 200, 100.2969
2017-07-30 19:00:12.2, 83.61987, 1.638347, 200, 100.3096
2017-07-30 19:00:27.3, 83.07425, 1.64044, 200, 100.2991
2017-07-30 19:00:42.4, 82.55698, 1.642429, 200, 100.3062
2017-07-30 19:00:57.4, 81.85596, 1.645132, 200, 100.3013
2017-07-30 19:01:12.4, 81.39063, 1.646932, 200, 100.3027
2017-07-30 19:01:27.5, 80.88159, 1.648905, 200, 100.2996
2017-07-30 19:01:42.6, 80.57748, 1.650085, 200, 100.3015
2017-07-30 19:01:57.7, 80.0311, 1.652211, 200, 100.2974
2017-07-30 19:02:12.7, 79.54541, 1.654106, 200, 100.3025
2017-07-30 19:02:27.8, 79.28842, 1.65511, 200, 100.3032
2017-07-30 19:02:42.8, 78.99588, 1.656254, 200, 100.3054
2017-07-30 19:02:57.9, 78.97531, 1.656335, 200, 100.3132
2017-07-30 19:03:12.9, 79.4718, 1.654393, 200, 100.3013
2017-07-30 19:03:28.0, 79.99701, 1.652344, 200, 100.3054
2017-07-30 19:03:43.1, 80.75272, 1.649405, 200, 100.2991
2017-07-30 19:03:58.2, 81.33139, 1.647161, 200, 100.3071
2017-07-30 19:04:13.2, 82.26944, 1.643537, 200, 100.2969
2017-07-30 19:04:28.3, 83.23404, 1.639827, 200, 100.303
2017-07-30 19:04:43.4, 84.05548, 1.63668, 200, 100.2988
2017-07-30 19:04:58.5, 84.63025, 1.634486, 200, 100.3074
2017-07-30 19:05:13.5, 85.33191, 1.631815, 200, 100.2998
2017-07-30 19:05:28.6, 85.90826, 1.629628, 200, 100.3086
2017-07-30 19:05:43.7, 86.78381, 1.626316, 200, 100.304
2017-07-30 19:05:58.8, 87.48465, 1.623675, 200, 100.3027
2017-07-30 19:06:13.8, 87.95612, 1.621903, 200, 100.3052
2017-07-30 19:06:29.0, 88.11746, 1.621297, 200, 100.301
2017-07-30 19:06:44.0, 88.84125, 1.618587, 200, 100.3064
2017-07-30 19:06:59.1, 89.43964, 1.616353, 200, 100.3032
2017-07-30 19:07:14.2, 89.90042, 1.614636, 200, 100.3074
2017-07-30 19:07:29.2, 90.34525, 1.612983, 200, 100.2979
2017-07-30 19:07:44.3, 91.03552, 1.610424, 200, 100.3076
2017-07-30 19:07:59.4, 91.16937, 1.609929, 200, 100.3003
2017-07-30 19:08:14.5, 91.26874, 1.609561, 200, 100.3064
2017-07-30 19:08:29.5, 91.51944, 1.608635, 200, 100.302
2017-07-30 19:08:44.6, 91.69928, 1.607971, 200, 100.3069
2017-07-30 19:08:59.7, 92.18631, 1.606176, 200, 100.2979
2017-07-30 19:09:14.7, 92.40002, 1.605389, 200, 100.3079
2017-07-30 19:09:29.7, 92.79596, 1.603934, 200, 100.303
2017-07-30 19:09:44.8, 93.03885, 1.603043, 200, 100.3052
2017-07-30 19:09:59.9, 93.27338, 1.602183, 200, 100.3035
2017-07-30 19:10:15.0, 93.12433, 1.60273, 200, 100.3054
2017-07-30 19:10:30.0, 93.211, 1.602412, 200, 100.3025
2017-07-30 19:10:45.1, 92.9848, 1.603241, 200, 100.3037
2017-07-30 19:11:00.2, 93.13541, 1.602689, 200, 100.3013
2017-07-30 19:11:15.3, 92.89465, 1.603572, 200, 100.3047
2017-07-30 19:11:30.3, 92.93808, 1.603413, 200, 100.304
2017-07-30 19:11:45.4, 92.98718, 1.603233, 200, 100.2991
2017-07-30 19:12:00.6, 93.13086, 1.602706, 200, 100.3108
2017-07-30 19:12:16.1, 92.79315, 1.603945, 200, 100.3013
2017-07-30 19:12:31.1, 92.99237, 1.603214, 200, 100.3069
2017-07-30 19:12:46.2, 92.65192, 1.604463, 200, 100.2991
2017-07-30 19:13:01.2, 92.36295, 1.605526, 200, 100.3066
2017-07-30 19:13:16.3, 92.08945, 1.606532, 200, 100.3018
2017-07-30 19:13:31.3, 91.3559, 1.609239, 200, 100.3052
2017-07-30 19:13:46.4, 90.85178, 1.611104, 200, 100.303
2017-07-30 19:14:01.5, 90.42303, 1.612694, 200, 100.302
2017-07-30 19:14:16.6, 89.84537, 1.614841, 200, 100.3079
2017-07-30 19:14:31.7, 89.21341, 1.617197, 200, 100.3018
2017-07-30 19:14:46.7, 88.88358, 1.618429, 200, 100.3044
2017-07-30 19:15:01.8, 88.42352, 1.62015, 200, 100.304
2017-07-30 19:15:16.9, 87.78204, 1.622557, 200, 100.3059
2017-07-30 19:15:31.9, 87.37198, 1.624099, 200, 100.3008
2017-07-30 19:15:47.0, 86.9982, 1.625507, 200, 100.3076
2017-07-30 19:16:02.0, 86.25281, 1.628323, 200, 100.3022
2017-07-30 19:16:17.1, 85.42224, 1.631472, 200, 100.3108
2017-07-30 19:16:32.2, 84.87543, 1.633552, 200, 100.3013
2017-07-30 19:16:47.2, 84.41006, 1.635326, 200, 100.3088
2017-07-30 19:17:02.4, 84.10382, 1.636496, 200, 100.3018
