Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-07-30 18:45:00.1, 93.4537, 2.069306, 200, 101.4238
2017-07-30 18:45:15.2, 93.34085, 2.069925, 200, 101.4172
2017-07-30 18:45:30.2, 93.25775, 2.07038, 200, 101.4243
2017-07-30 18:45:45.3, 93.11664, 2.071154, 200, 101.4185
2017-07-30 18:46:00.3, 93.0499, 2.071521, 200, 101.4277
2017-07-30 18:46:15.4, 93.01605, 2.071707, 200, 101.4124
2017-07-30 18:46:30.4, 92.9234, 2.072215, 200, 101.4343
2017-07-30 18:46:45.5, 92.81656, 2.072802, 200, 101.4111
2017-07-30 18:47:00.6, 92.77121, 2.073052, 200, 101.428
2017-07-30 18:47:15.7, 92.68903, 2.073503, 200, 101.4106
2017-07-30 18:47:30.7, 92.58957, 2.074051, 200, 101.4255
2017-07-30 18:47:45.8, 92.56262, 2.074199, 200, 101.4241
2017-07-30 18:48:00.9, 92.48477, 2.074628, 200, 101.418
2017-07-30 18:48:16.0, 92.46677, 2.074727, 200, 101.4238
2017-07-30 18:48:31.1, 92.35828, 2.075324, 200, 101.4158
2017-07-30 18:48:46.1, 92.34607, 2.075392, 200, 101.4314
2017-07-30 18:49:01.2, 92.29816, 2.075656, 200, 101.4104
2017-07-30 18:49:16.3, 92.23901, 2.075982, 200, 101.4277
2017-07-30 18:49:31.4, 92.24365, 2.075956, 200, 101.4131
2017-07-30 18:49:46.4, 92.20563, 2.076166, 200, 101.4324
2017-07-30 18:50:01.4, 92.19458, 2.076227, 200, 101.4109
2017-07-30 18:50:16.5, 92.14706, 2.076489, 200, 101.4226
2017-07-30 18:50:31.6, 92.09424, 2.07678, 200, 101.4143
2017-07-30 18:50:46.6, 92.13101, 2.076577, 200, 101.4199
2017-07-30 18:51:01.7, 92.10272, 2.076733, 200, 101.4211
2017-07-30 18:51:16.8, 92.10052, 2.076746, 200, 101.4148
2017-07-30 18:51:31.9, 92.09085, 2.076799, 200, 101.4241
2017-07-30 18:51:46.9, 92.10156, 2.07674, 200, 101.4172
2017-07-30 18:52:02.0, 92.0668, 2.076931, 200, 101.4194
2017-07-30 18:52:17.1, 92.08362, 2.076839, 200, 101.4165
2017-07-30 18:52:32.2, 92.13184, 2.076573, 200, 101.4224
2017-07-30 18:52:47.2, 92.12259, 2.076624, 200, 101.417
2017-07-30 18:53:02.3, 92.13211, 2.076571, 200, 101.4243
2017-07-30 18:53:17.4, 92.10156, 2.07674, 200, 101.4165
2017-07-30 18:53:32.5, 92.08548, 2.076828, 200, 101.4287
2017-07-30 18:53:47.6, 92.09399, 2.076782, 200, 101.4121
2017-07-30 18:54:02.7, 92.08191, 2.076848, 200, 101.4326
2017-07-30 18:54:17.7, 92.05469, 2.076998, 200, 101.4077
2017-07-30 18:54:32.8, 91.7811, 2.078509, 200, 101.4314
2017-07-30 18:54:47.8, 91.48679, 2.080137, 200, 101.406
2017-07-30 18:55:02.9, 90.90677, 2.083353, 200, 101.4246
2017-07-30 18:55:18.0, 90.34198, 2.086493, 200, 101.4092
2017-07-30 18:55:33.1, 89.75937, 2.089743, 200, 101.4316
2017-07-30 18:55:48.2, 89.06815, 2.093612, 200, 101.4089
2017-07-30 18:56:03.3, 88.43658, 2.097159, 200, 101.4341
2017-07-30 18:56:18.3, 87.73416, 2.101119, 200, 101.4194
2017-07-30 18:56:33.4, 87.1098, 2.10465, 200, 101.4243
2017-07-30 18:56:48.5, 86.43259, 2.108495, 200, 101.4199
2017-07-30 18:57:03.5, 85.76105, 2.112321, 200, 101.4153
2017-07-30 18:57:18.6, 85.04865, 2.116395, 200, 101.4255
2017-07-30 18:57:33.7, 84.37451, 2.120265, 200, 101.415
2017-07-30 18:57:48.8, 83.60492, 2.1247, 200, 101.4302
2017-07-30 18:58:03.8, 82.99557, 2.128225, 200, 101.407
2017-07-30 18:58:18.9, 82.29947, 2.132266, 200, 101.429
2017-07-30 18:58:34.0, 81.69888, 2.135765, 200, 101.4021
2017-07-30 18:58:49.1, 81.00345, 2.139831, 200, 101.4316
2017-07-30 18:59:04.1, 80.32675, 2.143802, 200, 101.4016
2017-07-30 18:59:19.1, 79.68607, 2.147575, 200, 101.4224
2017-07-30 18:59:34.2, 79.03598, 2.151418, 200, 101.4084
2017-07-30 18:59:49.3, 78.34595, 2.155511, 200, 101.4202
2017-07-30 19:00:04.3, 77.63681, 2.159734, 200, 101.4094
2017-07-30 19:00:19.4, 76.96866, 2.163729, 200, 101.4146
2017-07-30 19:00:34.5, 76.41049, 2.167077, 200, 101.4121
2017-07-30 19:00:49.6, 75.82922, 2.170575, 200, 101.4094
2017-07-30 19:01:04.6, 75.09552, 2.175006, 200, 101.4226
2017-07-30 19:01:19.7, 74.452, 2.178907, 200, 101.4041
2017-07-30 19:01:34.8, 73.72833, 2.183311, 200, 101.4226
2017-07-30 19:01:49.9, 73.05096, 2.187449, 200, 101.3975
2017-07-30 19:02:05.0, 72.37469, 2.191597, 200, 101.4216
2017-07-30 19:02:20.0, 71.69904, 2.195756, 200, 101.3975
2017-07-30 19:02:35.1, 71.17679, 2.198982, 200, 101.4272
2017-07-30 19:02:50.2, 71.21304, 2.198758, 200, 101.4021
2017-07-30 19:03:05.2, 71.79562, 2.195161, 200, 101.4275
2017-07-30 19:03:20.2, 72.59824, 2.190224, 200, 101.4014
2017-07-30 19:03:35.3, 73.61578, 2.183998, 200, 101.4163
2017-07-30 19:03:50.4, 74.83771, 2.176567, 200, 101.4241
2017-07-30 19:04:05.5, 76.12515, 2.168792, 200, 101.4138
2017-07-30 19:04:20.5, 77.40323, 2.161129, 200, 101.4172
2017-07-30 19:04:35.6, 78.61642, 2.153905, 200, 101.4106
2017-07-30 19:04:50.7, 79.82141, 2.146777, 200, 101.4167
2017-07-30 19:05:05.8, 80.86264, 2.140656, 200, 101.4104
2017-07-30 19:05:20.9, 81.77142, 2.135342, 200, 101.4194
2017-07-30 19:05:35.9, 82.44089, 2.131444, 200, 101.4016
2017-07-30 19:05:51.0, 83.12936, 2.12745, 200, 101.4258
2017-07-30 19:06:06.1, 83.78955, 2.123635, 200, 101.4011
2017-07-30 19:06:21.1, 84.4133, 2.120042, 200, 101.4231
2017-07-30 19:06:36.2, 85.16107, 2.115751, 200, 101.4036
2017-07-30 19:06:51.3, 85.83682, 2.111889, 200, 101.4238
2017-07-30 19:07:06.4, 86.4473, 2.108412, 200, 101.4097
2017-07-30 19:07:21.4, 86.99414, 2.105306, 200, 101.4236
2017-07-30 19:07:36.5, 87.39798, 2.103019, 200, 101.4126
2017-07-30 19:07:51.6, 87.83264, 2.100563, 200, 101.4219
2017-07-30 19:08:06.7, 88.21893, 2.098384, 200, 101.4146
2017-07-30 19:08:21.7, 88.50803, 2.096757, 200, 101.4089
2017-07-30 19:08:36.8, 88.79175, 2.095163, 200, 101.426
2017-07-30 19:08:51.9, 89.03775, 2.093782, 200, 101.4097
2017-07-30 19:09:07.0, 89.28497, 2.092397, 200, 101.4268
2017-07-30 19:09:22.1, 89.47028, 2.091359, 200, 101.4021
2017-07-30 19:09:37.1, 89.65869, 2.090306, 200, 101.4192
2017-07-30 19:09:52.2, 89.90033, 2.088956, 200, 101.405
2017-07-30 19:10:07.3, 90.01715, 2.088304, 200, 101.4263
2017-07-30 19:10:22.4, 90.16153, 2.087499, 200, 101.4072
2017-07-30 19:10:37.4, 90.26956, 2.086897, 200, 101.428
2017-07-30 19:10:52.4, 90.37708, 2.086298, 200, 101.405
2017-07-30 19:11:07.5, 90.5361, 2.085413, 200, 101.4265
2017-07-30 19:11:22.6, 90.62292, 2.08493, 200, 101.4121
2017-07-30 19:11:37.6, 90.75107, 2.084218, 200, 101.4241
2017-07-30 19:11:52.7, 90.82983, 2.08378, 200, 101.4031
2017-07-30 19:12:07.8, 90.9791, 2.082951, 200, 101.4275
2017-07-30 19:12:22.8, 91.01956, 2.082726, 200, 101.406
2017-07-30 19:12:37.9, 91.05743, 2.082516, 200, 101.4197
2017-07-30 19:12:53.0, 90.82016, 2.083834, 200, 101.4126
2017-07-30 19:13:08.1, 90.49774, 2.085626, 200, 101.406
2017-07-30 19:13:23.2, 89.99997, 2.0884, 200, 101.4224
2017-07-30 19:13:38.2, 89.49689, 2.09121, 200, 101.4053
2017-07-30 19:13:53.3, 88.92017, 2.094442, 200, 101.4172
2017-07-30 19:14:08.4, 88.22031, 2.098377, 200, 101.4036
2017-07-30 19:14:23.5, 87.64978, 2.101595, 200, 101.4263
2017-07-30 19:14:38.6, 86.86035, 2.106065, 200, 101.4014
2017-07-30 19:14:53.6, 86.3092, 2.109197, 200, 101.4231
2017-07-30 19:15:08.7, 85.61029, 2.113182, 200, 101.4053
2017-07-30 19:15:23.8, 84.83142, 2.117641, 200, 101.4248
2017-07-30 19:15:38.9, 84.19186, 2.121316, 200, 101.4163
2017-07-30 19:15:53.9, 83.50888, 2.125255, 200, 101.4155
2017-07-30 19:16:09.0, 82.77408, 2.129509, 200, 101.425
2017-07-30 19:16:24.1, 82.07083, 2.133597, 200, 101.4165
2017-07-30 19:16:39.2, 81.45044, 2.137216, 200, 101.4348
2017-07-30 19:16:54.2, 80.76248, 2.141243, 200, 101.4131
2017-07-30 19:17:09.3, 80.16138, 2.144775, 200, 101.4329
2017-07-30 19:17:24.4, 79.39066, 2.14932, 200, 101.4104
2017-07-30 19:17:39.5, 78.8129, 2.15274, 200, 101.4365
2017-07-30 19:17:54.5, 78.15021, 2.156675, 200, 101.4119
2017-07-30 19:18:09.6, 77.52625, 2.160394, 200, 101.436
2017-07-30 19:18:24.7, 76.76242, 2.164965, 200, 101.4128
2017-07-30 19:18:39.8, 76.16357, 2.168561, 200, 101.4446
2017-07-30 19:18:54.8, 75.53397, 2.172355, 200, 101.4114
2017-07-30 19:19:09.9, 74.91663, 2.176089, 200, 101.4377
2017-07-30 19:19:25.0, 74.30722, 2.179787, 200, 101.4126
2017-07-30 19:19:40.1, 73.58875, 2.184163, 200, 101.4363
2017-07-30 19:19:55.1, 72.98541, 2.187851, 200, 101.4202
2017-07-30 19:20:10.1, 72.36966, 2.191628, 200, 101.428
2017-07-30 19:20:25.2, 71.67792, 2.195887, 200, 101.4312
2017-07-30 19:20:40.3, 71.08325, 2.199561, 200, 101.4268
2017-07-30 19:20:55.4, 70.56476, 2.202775, 200, 101.4329
2017-07-30 19:21:10.4, 70.74252, 2.201672, 200, 101.4182
2017-07-30 19:21:25.5, 71.36856, 2.197797, 200, 101.4373
2017-07-30 19:21:40.6, 72.39465, 2.191474, 200, 101.4153
2017-07-30 19:21:55.6, 73.52213, 2.184569, 200, 101.4321
2017-07-30 19:22:10.7, 74.85327, 2.176473, 200, 101.4255
2017-07-30 19:22:25.8, 76.03067, 2.169361, 200, 101.4299
2017-07-30 19:22:40.9, 77.26947, 2.161929, 200, 101.4243
2017-07-30 19:22:56.0, 78.47754, 2.154729, 200, 101.4319
2017-07-30 19:23:11.0, 79.60907, 2.14803, 200, 101.4192
2017-07-30 19:23:26.1, 80.68555, 2.141695, 200, 101.4348
2017-07-30 19:23:41.2, 81.60483, 2.136314, 200, 101.4197
2017-07-30 19:23:56.3, 82.47003, 2.131274, 200, 101.4346
2017-07-30 19:24:11.3, 83.21899, 2.126931, 200, 101.4119
2017-07-30 19:24:26.4, 83.8775, 2.123127, 200, 101.4407
2017-07-30 19:24:41.5, 84.48975, 2.119603, 200, 101.4104
2017-07-30 19:24:56.6, 85.13898, 2.115878, 200, 101.4385
2017-07-30 19:25:11.6, 85.60629, 2.113205, 200, 101.4116
2017-07-30 19:25:26.7, 86.14767, 2.110117, 200, 101.4346
2017-07-30 19:25:41.7, 86.53287, 2.107925, 200, 101.4172
2017-07-30 19:25:56.8, 86.98386, 2.105365, 200, 101.4292
2017-07-30 19:26:11.8, 87.37177, 2.103167, 200, 101.4167
2017-07-30 19:26:27.0, 87.7572, 2.100988, 200, 101.4211
2017-07-30 19:26:42.0, 88.07004, 2.099223, 200, 101.4175
2017-07-30 19:26:57.1, 88.43054, 2.097193, 200, 101.4116
2017-07-30 19:27:12.1, 88.6781, 2.095801, 200, 101.4211
2017-07-30 19:27:27.2, 88.84967, 2.094838, 200, 101.4058
2017-07-30 19:27:42.3, 89.1788, 2.092992, 200, 101.4253
2017-07-30 19:27:57.4, 89.34229, 2.092076, 200, 101.4065
2017-07-30 19:28:12.5, 89.50385, 2.091172, 200, 101.4268
2017-07-30 19:28:27.5, 89.7146, 2.089993, 200, 101.4011
2017-07-30 19:28:42.6, 89.87952, 2.089072, 200, 101.4207
2017-07-30 19:28:57.7, 90.04205, 2.088165, 200, 101.3984
2017-07-30 19:29:12.7, 90.20685, 2.087246, 200, 101.4238
2017-07-30 19:29:27.8, 90.39294, 2.08621, 200, 101.4028
2017-07-30 19:29:42.9, 90.43347, 2.085984, 200, 101.4204
2017-07-30 19:29:58.0, 90.61249, 2.084988, 200, 101.4131
2017-07-30 19:30:13.1, 90.71695, 2.084407, 200, 101.4536
2017-07-30 19:30:28.1, 90.79111, 2.083995, 200, 101.4028
2017-07-30 19:30:43.2, 90.91464, 2.083309, 200, 101.4182
2017-07-30 19:30:58.3, 90.94189, 2.083158, 200, 101.4019
2017-07-30 19:31:13.4, 90.79932, 2.08395, 200, 101.4236
2017-07-30 19:31:28.4, 90.38199, 2.086271, 200, 101.4097
2017-07-30 19:31:43.5, 89.99658, 2.088419, 200, 101.417
2017-07-30 19:31:58.6, 89.39465, 2.091783, 200, 101.415
2017-07-30 19:32:13.6, 88.89951, 2.094558, 200, 101.4158
2017-07-30 19:32:28.6, 88.23178, 2.098312, 200, 101.4187
2017-07-30 19:32:43.8, 87.63434, 2.101683, 200, 101.4104
2017-07-30 19:32:58.8, 87.04495, 2.105018, 200, 101.4258
2017-07-30 19:33:13.9, 86.32886, 2.109085, 200, 101.4143
2017-07-30 19:33:28.9, 85.70236, 2.112656, 200, 101.4272
2017-07-30 19:33:44.0, 84.96555, 2.116872, 200, 101.4023
2017-07-30 19:33:59.1, 84.3876, 2.12019, 200, 101.4302
2017-07-30 19:34:14.2, 83.72397, 2.124013, 200, 101.4043
2017-07-30 19:34:29.2, 83.08408, 2.127712, 200, 101.4316
2017-07-30 19:34:44.2, 82.43201, 2.131495, 200, 101.4077
2017-07-30 19:34:59.3, 81.8204, 2.135056, 200, 101.429
2017-07-30 19:35:14.4, 81.17386, 2.138833, 200, 101.4097
2017-07-30 19:35:29.5, 80.53506, 2.142578, 200, 101.4272
2017-07-30 19:35:44.5, 79.85623, 2.146572, 200, 101.4141
2017-07-30 19:35:59.6, 79.24469, 2.150183, 200, 101.4165
2017-07-30 19:36:14.6, 78.62802, 2.153836, 200, 101.4221
2017-07-30 19:36:29.7, 77.98254, 2.157673, 200, 101.417
2017-07-30 19:36:44.7, 77.33823, 2.161518, 200, 101.4246
2017-07-30 19:36:59.8, 76.68039, 2.165457, 200, 101.4194
2017-07-30 19:37:14.9, 76.11911, 2.168829, 200, 101.4263
2017-07-30 19:37:30.0, 75.48877, 2.172628, 200, 101.4048
2017-07-30 19:37:45.0, 74.90466, 2.176161, 200, 101.4282
2017-07-30 19:38:00.1, 74.32834, 2.179658, 200, 101.4031
2017-07-30 19:38:15.2, 73.68427, 2.18358, 200, 101.4304
2017-07-30 19:38:30.3, 72.99509, 2.187792, 200, 101.4011
2017-07-30 19:38:45.3, 72.37085, 2.191621, 200, 101.4241
2017-07-30 19:39:00.5, 71.77444, 2.195291, 200, 101.4028
2017-07-30 19:39:15.5, 71.26016, 2.198467, 200, 101.4275
2017-07-30 19:39:30.6, 71.32968, 2.198037, 200, 101.4072
2017-07-30 19:39:45.6, 71.86331, 2.194744, 200, 101.4209
2017-07-30 19:40:00.8, 72.849, 2.188686, 200, 101.415
2017-07-30 19:40:15.8, 74.13394, 2.18084, 200, 101.4143
2017-07-30 19:40:30.9, 75.26022, 2.174009, 200, 101.4155
2017-07-30 19:40:45.9, 76.48761, 2.166614, 200, 101.415
2017-07-30 19:41:01.0, 77.74658, 2.15908, 200, 101.4138
2017-07-30 19:41:16.1, 78.89087, 2.152277, 200, 101.4087
2017-07-30 19:41:31.2, 80.04123, 2.145482, 200, 101.4238
2017-07-30 19:41:46.2, 81.09024, 2.139323, 200, 101.3994
2017-07-30 19:42:01.3, 82.0321, 2.133822, 200, 101.4207
2017-07-30 19:42:16.4, 82.87314, 2.128935, 200, 101.3992
2017-07-30 19:42:31.5, 83.70984, 2.124094, 200, 101.4221
2017-07-30 19:42:46.6, 84.35498, 2.120378, 200, 101.3989
2017-07-30 19:43:01.6, 84.9548, 2.116933, 200, 101.4214
2017-07-30 19:43:16.7, 85.50723, 2.113771, 200, 101.4004
2017-07-30 19:43:31.8, 86.05283, 2.110657, 200, 101.4194
2017-07-30 19:43:46.9, 86.49945, 2.108115, 200, 101.3997
2017-07-30 19:44:01.9, 87.03043, 2.1051, 200, 101.4243
2017-07-30 19:44:17.1, 87.36227, 2.103221, 200, 101.4045
