Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-31 17:28:25.9, 95.48816, 1.43358, 200, 100.4519
2017-08-31 17:28:40.9, 94.9791, 1.435915, 200, 100.4548
2017-08-31 17:28:55.9, 94.86026, 1.436462, 200, 100.4543
2017-08-31 17:29:11.0, 94.45523, 1.438327, 200, 100.4534
2017-08-31 17:29:26.1, 94.14047, 1.43978, 200, 100.4563
2017-08-31 17:29:41.1, 93.85831, 1.441085, 200, 100.4578
2017-08-31 17:29:56.2, 93.52585, 1.442625, 200, 100.4551
2017-08-31 17:30:11.2, 93.28305, 1.443752, 200, 100.4556
2017-08-31 17:30:26.3, 93.08908, 1.444654, 200, 100.4558
2017-08-31 17:30:41.3, 92.95087, 1.445297, 200, 100.4551
2017-08-31 17:30:56.4, 92.75989, 1.446187, 200, 100.4519
2017-08-31 17:31:11.5, 92.52563, 1.44728, 200, 100.4556
2017-08-31 17:31:26.6, 92.35495, 1.448077, 200, 100.4539
2017-08-31 17:31:41.7, 92.24258, 1.448603, 200, 100.4548
2017-08-31 17:31:56.7, 92.18713, 1.448862, 200, 100.4553
2017-08-31 17:32:11.8, 91.94568, 1.449993, 200, 100.4539
2017-08-31 17:32:26.9, 91.77234, 1.450806, 200, 100.4517
2017-08-31 17:32:42.0, 91.78909, 1.450727, 200, 100.4512
2017-08-31 17:32:57.0, 91.61267, 1.451555, 200, 100.4526
2017-08-31 17:33:12.0, 91.35056, 1.452787, 200, 100.4502
2017-08-31 17:33:27.1, 91.3587, 1.452749, 200, 100.4492
2017-08-31 17:33:42.1, 91.16827, 1.453645, 200, 100.4519
2017-08-31 17:33:57.1, 91.14081, 1.453774, 200, 100.4509
2017-08-31 17:34:12.2, 91.04904, 1.454207, 200, 100.4519
2017-08-31 17:34:27.3, 91.10275, 1.453954, 200, 100.4524
2017-08-31 17:34:42.4, 90.83133, 1.455234, 200, 100.4458
2017-08-31 17:34:57.4, 90.71426, 1.455787, 200, 100.4531
2017-08-31 17:35:12.5, 90.78055, 1.455474, 200, 100.4504
2017-08-31 17:35:27.6, 90.80301, 1.455368, 200, 100.4509
2017-08-31 17:35:42.6, 90.79016, 1.455428, 200, 100.4551
2017-08-31 17:35:57.6, 90.91821, 1.454824, 200, 100.4541
2017-08-31 17:36:12.7, 90.83023, 1.455239, 200, 100.4534
2017-08-31 17:36:27.8, 90.83765, 1.455204, 200, 100.4558
2017-08-31 17:36:42.9, 90.89667, 1.454926, 200, 100.4534
2017-08-31 17:36:57.9, 90.85934, 1.455102, 200, 100.4495
2017-08-31 17:37:13.0, 90.9183, 1.454823, 200, 100.4504
2017-08-31 17:37:28.1, 90.86404, 1.455079, 200, 100.4536
2017-08-31 17:37:43.2, 90.95291, 1.45466, 200, 100.4536
2017-08-31 17:37:58.3, 91.11295, 1.453906, 200, 100.4524
2017-08-31 17:38:13.3, 91.10172, 1.453959, 200, 100.4521
2017-08-31 17:38:28.4, 91.22772, 1.453365, 200, 100.4607
2017-08-31 17:38:43.5, 91.23752, 1.453319, 200, 100.4524
2017-08-31 17:38:58.6, 91.26947, 1.453169, 200, 100.4597
2017-08-31 17:39:13.6, 91.32315, 1.452916, 200, 100.4551
2017-08-31 17:39:28.7, 91.23196, 1.453345, 200, 100.4592
2017-08-31 17:39:43.8, 91.32349, 1.452915, 200, 100.4543
2017-08-31 17:39:58.8, 91.41336, 1.452492, 200, 100.4563
2017-08-31 17:40:13.9, 91.36041, 1.452741, 200, 100.4558
2017-08-31 17:40:29.0, 91.36987, 1.452696, 200, 100.4509
2017-08-31 17:40:44.1, 91.25635, 1.45323, 200, 100.4568
2017-08-31 17:40:59.2, 91.20572, 1.453469, 200, 100.4529
2017-08-31 17:41:14.2, 90.93655, 1.454737, 200, 100.4531
2017-08-31 17:41:29.3, 90.93185, 1.45476, 200, 100.4556
2017-08-31 17:41:44.4, 90.85818, 1.455107, 200, 100.4573
2017-08-31 17:41:59.5, 90.69174, 1.455893, 200, 100.459
2017-08-31 17:42:14.5, 90.67853, 1.455956, 200, 100.4619
2017-08-31 17:42:29.6, 90.44513, 1.457059, 200, 100.4619
2017-08-31 17:42:44.7, 90.44446, 1.457062, 200, 100.4602
2017-08-31 17:42:59.8, 90.12903, 1.458556, 200, 100.4568
2017-08-31 17:43:14.8, 90.06311, 1.458869, 200, 100.4592
2017-08-31 17:43:29.9, 89.92603, 1.45952, 200, 100.4622
2017-08-31 17:43:45.0, 89.96771, 1.459322, 200, 100.4646
2017-08-31 17:44:00.1, 89.69788, 1.460604, 200, 100.4646
2017-08-31 17:44:15.1, 89.56198, 1.46125, 200, 100.4629
2017-08-31 17:44:30.2, 89.22357, 1.462863, 200, 100.4673
2017-08-31 17:44:45.3, 89.20789, 1.462937, 200, 100.4656
2017-08-31 17:45:00.4, 89.0379, 1.463749, 200, 100.4653
2017-08-31 17:45:15.4, 88.85556, 1.46462, 200, 100.4658
2017-08-31 17:45:30.4, 88.78378, 1.464964, 200, 100.4675
2017-08-31 17:45:45.5, 88.48923, 1.466374, 200, 100.4644
2017-08-31 17:46:00.6, 88.17136, 1.467899, 200, 100.4651
2017-08-31 17:46:15.7, 88.06293, 1.46842, 200, 100.4648
