Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-04 16:54:02.2, 99.53189, 1.642038, 200, 98.91943
2017-08-04 16:54:17.3, 99.57758, 1.641878, 200, 98.91846
2017-08-04 16:54:32.3, 99.44128, 1.642354, 200, 98.91431
2017-08-04 16:54:47.5, 99.34137, 1.642702, 200, 98.91772
2017-08-04 16:55:02.8, 99.38379, 1.642554, 200, 98.91577
2017-08-04 16:55:17.8, 99.54535, 1.641991, 200, 98.91821
2017-08-04 16:55:33.1, 99.564, 1.641926, 200, 98.91357
2017-08-04 16:55:48.1, 99.43692, 1.642369, 200, 98.91602
2017-08-04 16:56:03.2, 99.47363, 1.642241, 200, 98.91479
2017-08-04 16:56:18.3, 99.60818, 1.641772, 200, 98.91113
2017-08-04 16:56:33.3, 99.62332, 1.641719, 200, 98.91211
2017-08-04 16:56:48.3, 99.58072, 1.641867, 200, 98.91528
2017-08-04 16:57:03.4, 99.5657, 1.64192, 200, 98.9126
2017-08-04 16:57:18.5, 99.75729, 1.641252, 200, 98.91431
2017-08-04 16:57:33.6, 99.71921, 1.641385, 200, 98.91211
2017-08-04 16:57:48.6, 99.6275, 1.641704, 200, 98.9126
2017-08-04 16:58:03.7, 99.84943, 1.640931, 200, 98.91284
2017-08-04 16:58:18.8, 99.29144, 1.642876, 200, 98.9104
2017-08-04 16:58:33.9, 99.13351, 1.643428, 200, 98.91211
2017-08-04 16:58:49.0, 98.89639, 1.644256, 200, 98.91382
2017-08-04 16:59:04.0, 98.25177, 1.646512, 200, 98.91187
2017-08-04 16:59:19.1, 98.47629, 1.645726, 200, 98.91162
2017-08-04 16:59:34.2, 98.44424, 1.645838, 200, 98.91089
2017-08-04 16:59:49.3, 98.24258, 1.646544, 200, 98.9104
2017-08-04 17:00:04.4, 97.57886, 1.648874, 200, 98.90967
2017-08-04 17:00:19.4, 96.99481, 1.65093, 200, 98.90845
2017-08-04 17:00:34.5, 97.00369, 1.650898, 200, 98.90942
2017-08-04 17:00:49.5, 97.19409, 1.650228, 200, 98.90942
2017-08-04 17:01:04.6, 96.9267, 1.65117, 200, 98.91113
2017-08-04 17:01:19.7, 96.38165, 1.653093, 200, 98.90576
2017-08-04 17:01:34.8, 96.45694, 1.652827, 200, 98.9104
2017-08-04 17:01:49.9, 96.37811, 1.653106, 200, 98.90991
2017-08-04 17:02:04.9, 95.86938, 1.654905, 200, 98.90894
2017-08-04 17:02:20.0, 95.81973, 1.655081, 200, 98.90894
2017-08-04 17:02:35.1, 95.73563, 1.655379, 200, 98.91113
2017-08-04 17:02:50.2, 95.5625, 1.655992, 200, 98.90747
2017-08-04 17:03:05.3, 95.28162, 1.656989, 200, 98.90381
2017-08-04 17:03:20.3, 95.09503, 1.657652, 200, 98.90723
2017-08-04 17:03:35.4, 94.79016, 1.658735, 200, 98.90942
2017-08-04 17:03:50.5, 94.44427, 1.659967, 200, 98.91284
2017-08-04 17:04:05.5, 94.28885, 1.660521, 200, 98.91455
2017-08-04 17:04:20.6, 94.28412, 1.660537, 200, 98.9104
2017-08-04 17:04:35.7, 94.04559, 1.661388, 200, 98.91553
2017-08-04 17:04:50.8, 93.77011, 1.662372, 200, 98.9082
2017-08-04 17:05:05.9, 93.46863, 1.66345, 200, 98.91138
2017-08-04 17:05:20.9, 93.10654, 1.664746, 200, 98.91235
2017-08-04 17:05:36.0, 93.13452, 1.664646, 200, 98.91138
2017-08-04 17:05:51.1, 93.03424, 1.665005, 200, 98.91016
2017-08-04 17:06:06.2, 92.91254, 1.665442, 200, 98.90698
2017-08-04 17:06:21.2, 92.62759, 1.666464, 200, 98.91138
2017-08-04 17:06:36.3, 92.56808, 1.666678, 200, 98.91162
2017-08-04 17:06:51.4, 92.24252, 1.667848, 200, 98.91235
2017-08-04 17:07:06.5, 91.71051, 1.669763, 200, 98.90942
2017-08-04 17:07:21.5, 91.74176, 1.669651, 200, 98.91211
