Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-05 17:45:09.7, 95.52399, 2.134402, 200, 100.2559
2017-08-05 17:45:24.8, 95.6145, 2.133929, 200, 100.2612
2017-08-05 17:45:39.9, 95.55609, 2.134234, 200, 100.2571
2017-08-05 17:45:55.0, 95.68881, 2.133541, 200, 100.2595
2017-08-05 17:46:10.0, 95.67896, 2.133593, 200, 100.2566
2017-08-05 17:46:25.1, 95.71832, 2.133388, 200, 100.2642
2017-08-05 17:46:40.2, 95.76978, 2.133119, 200, 100.2544
2017-08-05 17:46:55.2, 95.72058, 2.133376, 200, 100.2666
2017-08-05 17:47:10.3, 95.92905, 2.132289, 200, 100.2581
2017-08-05 17:47:25.4, 95.98065, 2.13202, 200, 100.2617
2017-08-05 17:47:40.5, 96.06879, 2.131561, 200, 100.2605
2017-08-05 17:47:55.6, 96.20142, 2.130871, 200, 100.2617
2017-08-05 17:48:10.6, 96.26733, 2.130528, 200, 100.2637
2017-08-05 17:48:25.7, 96.46109, 2.129521, 200, 100.2568
2017-08-05 17:48:40.8, 96.69589, 2.128301, 200, 100.2603
2017-08-05 17:48:55.8, 96.659, 2.128493, 200, 100.2544
2017-08-05 17:49:10.9, 96.49271, 2.129357, 200, 100.2627
2017-08-05 17:49:26.0, 96.53348, 2.129145, 200, 100.2554
2017-08-05 17:49:41.1, 96.63791, 2.128602, 200, 100.2578
2017-08-05 17:49:56.2, 96.63168, 2.128635, 200, 100.2595
2017-08-05 17:50:11.2, 96.62335, 2.128678, 200, 100.2585
2017-08-05 17:50:26.3, 96.6597, 2.128489, 200, 100.2559
2017-08-05 17:50:41.4, 96.97125, 2.126873, 200, 100.26
2017-08-05 17:50:56.5, 97.09177, 2.126249, 200, 100.2681
2017-08-05 17:51:11.5, 96.95752, 2.126944, 200, 100.26
2017-08-05 17:51:26.6, 96.85663, 2.127467, 200, 100.2617
2017-08-05 17:51:41.7, 96.41855, 2.129742, 200, 100.2505
2017-08-05 17:51:56.8, 95.74734, 2.133236, 200, 100.2627
2017-08-05 17:52:11.8, 95.60107, 2.133999, 200, 100.2563
2017-08-05 17:52:27.0, 95.26746, 2.135742, 200, 100.2563
2017-08-05 17:52:42.0, 95.51337, 2.134457, 200, 100.2581
2017-08-05 17:52:57.1, 95.37155, 2.135198, 200, 100.2605
2017-08-05 17:53:12.2, 94.68765, 2.138777, 200, 100.2546
2017-08-05 17:53:27.2, 94.45642, 2.139989, 200, 100.2529
2017-08-05 17:53:42.3, 94.22717, 2.141193, 200, 100.2522
2017-08-05 17:53:57.4, 93.75607, 2.143671, 200, 100.2505
2017-08-05 17:54:12.5, 93.54681, 2.144773, 200, 100.2522
2017-08-05 17:54:27.5, 93.47223, 2.145166, 200, 100.2502
2017-08-05 17:54:42.6, 93.51468, 2.144943, 200, 100.251
2017-08-05 17:54:57.7, 93.06171, 2.147333, 200, 100.2488
2017-08-05 17:55:12.8, 92.28632, 2.151438, 200, 100.2529
2017-08-05 17:55:27.8, 91.897, 2.153505, 200, 100.2515
2017-08-05 17:55:42.8, 91.76828, 2.154189, 200, 100.2544
2017-08-05 17:55:57.9, 91.88248, 2.153582, 200, 100.2461
2017-08-05 17:56:13.0, 91.79477, 2.154048, 200, 100.252
