Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-06 17:17:12.5, 96.92941, 2.120814, 200, 100.355
2017-08-06 17:17:27.6, 96.99408, 2.120477, 200, 100.3569
2017-08-06 17:17:42.7, 96.88605, 2.12104, 200, 100.3567
2017-08-06 17:17:57.8, 96.93686, 2.120775, 200, 100.3567
2017-08-06 17:18:12.8, 96.87347, 2.121106, 200, 100.3584
2017-08-06 17:18:27.9, 96.87378, 2.121104, 200, 100.3528
2017-08-06 17:18:43.0, 96.89557, 2.120991, 200, 100.3611
2017-08-06 17:18:58.1, 96.91528, 2.120888, 200, 100.3564
2017-08-06 17:19:13.1, 97.22745, 2.11926, 200, 100.3606
2017-08-06 17:19:28.1, 97.29214, 2.118923, 200, 100.3577
2017-08-06 17:19:43.2, 97.54807, 2.11759, 200, 100.3616
2017-08-06 17:19:58.3, 97.77228, 2.116424, 200, 100.3591
2017-08-06 17:20:13.4, 97.95413, 2.115479, 200, 100.3572
2017-08-06 17:20:28.4, 98.04956, 2.114984, 200, 100.3604
2017-08-06 17:20:43.5, 98.14136, 2.114508, 200, 100.3582
2017-08-06 17:20:58.5, 98.2717, 2.113832, 200, 100.3596
2017-08-06 17:21:13.6, 98.44968, 2.112909, 200, 100.3584
2017-08-06 17:21:28.6, 98.52243, 2.112533, 200, 100.3579
2017-08-06 17:21:43.7, 98.57288, 2.112271, 200, 100.3586
2017-08-06 17:21:58.7, 98.73251, 2.111445, 200, 100.3638
2017-08-06 17:22:13.7, 98.70532, 2.111586, 200, 100.3604
2017-08-06 17:22:28.8, 98.71024, 2.111561, 200, 100.3608
2017-08-06 17:22:43.8, 98.61914, 2.112032, 200, 100.3569
2017-08-06 17:22:58.9, 98.47232, 2.112792, 200, 100.3562
2017-08-06 17:23:13.9, 98.11313, 2.114654, 200, 100.3608
2017-08-06 17:23:29.0, 97.86038, 2.115967, 200, 100.3569
2017-08-06 17:23:44.0, 97.74774, 2.116552, 200, 100.3616
2017-08-06 17:23:59.1, 97.54202, 2.117622, 200, 100.3599
2017-08-06 17:24:14.2, 97.33078, 2.118721, 200, 100.3562
2017-08-06 17:24:29.2, 97.09879, 2.119931, 200, 100.3569
2017-08-06 17:24:44.3, 96.8584, 2.121185, 200, 100.3589
2017-08-06 17:24:59.4, 96.72906, 2.12186, 200, 100.3528
2017-08-06 17:25:14.5, 96.53558, 2.122871, 200, 100.3552
2017-08-06 17:25:29.6, 96.26767, 2.124273, 200, 100.356
2017-08-06 17:25:44.6, 96.08475, 2.125232, 200, 100.3542
2017-08-06 17:25:59.7, 95.87103, 2.126352, 200, 100.3523
2017-08-06 17:26:14.9, 95.63791, 2.127576, 200, 100.3582
2017-08-06 17:26:30.0, 95.51538, 2.12822, 200, 100.3555
2017-08-06 17:26:45.0, 95.41248, 2.128761, 200, 100.3569
2017-08-06 17:27:00.1, 95.25821, 2.129572, 200, 100.3503
2017-08-06 17:27:15.2, 95.00049, 2.130929, 200, 100.3521
2017-08-06 17:27:30.2, 94.70953, 2.132463, 200, 100.3533
2017-08-06 17:27:45.3, 94.57016, 2.133199, 200, 100.3506
2017-08-06 17:28:00.4, 94.49933, 2.133573, 200, 100.3535
2017-08-06 17:28:15.5, 94.25595, 2.134859, 200, 100.3503
2017-08-06 17:28:30.5, 94.02487, 2.136082, 200, 100.3547
2017-08-06 17:28:45.6, 93.84583, 2.13703, 200, 100.3508
2017-08-06 17:29:00.7, 93.60764, 2.138293, 200, 100.3547
2017-08-06 17:29:15.8, 93.43896, 2.139189, 200, 100.3503
2017-08-06 17:29:31.0, 93.2771, 2.140049, 200, 100.3494
2017-08-06 17:29:46.0, 93.08896, 2.141049, 200, 100.3511
2017-08-06 17:30:01.1, 92.95987, 2.141736, 200, 100.3521
2017-08-06 17:30:16.2, 92.68549, 2.143197, 200, 100.3508
2017-08-06 17:30:31.3, 92.53391, 2.144005, 200, 100.3523
2017-08-06 17:30:46.3, 92.33823, 2.145049, 200, 100.3518
2017-08-06 17:31:01.4, 92.13937, 2.146111, 200, 100.3545
2017-08-06 17:31:16.5, 91.9902, 2.146909, 200, 100.3494
2017-08-06 17:31:31.5, 91.74774, 2.148206, 200, 100.3518
2017-08-06 17:31:46.6, 91.65878, 2.148683, 200, 100.3521
2017-08-06 17:32:01.7, 91.46478, 2.149723, 200, 100.3489
2017-08-06 17:32:16.8, 91.33279, 2.150431, 200, 100.3518
2017-08-06 17:32:31.9, 91.12183, 2.151563, 200, 100.3547
2017-08-06 17:32:46.9, 90.89084, 2.152805, 200, 100.3557
2017-08-06 17:33:02.0, 90.72098, 2.153719, 200, 100.3589
2017-08-06 17:33:17.0, 90.57721, 2.154493, 200, 100.3503
2017-08-06 17:33:32.1, 90.48822, 2.154972, 200, 100.3516
2017-08-06 17:33:47.1, 90.2883, 2.15605, 200, 100.3506
2017-08-06 17:34:02.2, 90.14291, 2.156834, 200, 100.3484
2017-08-06 17:34:17.3, 89.97702, 2.15773, 200, 100.3503
2017-08-06 17:34:32.4, 89.77533, 2.15882, 200, 100.3518
2017-08-06 17:34:47.5, 89.64478, 2.159527, 200, 100.3516
2017-08-06 17:35:02.5, 89.47604, 2.16044, 200, 100.3469
2017-08-06 17:35:17.5, 89.26822, 2.161566, 200, 100.3533
2017-08-06 17:35:32.6, 89.09018, 2.162532, 200, 100.353
2017-08-06 17:35:47.6, 88.90717, 2.163525, 200, 100.3472
2017-08-06 17:36:02.7, 88.76227, 2.164313, 200, 100.3491
2017-08-06 17:36:17.8, 88.55408, 2.165445, 200, 100.3508
2017-08-06 17:36:32.9, 88.27872, 2.166944, 200, 100.3489
2017-08-06 17:36:47.9, 88.20099, 2.167368, 200, 100.3472
2017-08-06 17:37:03.0, 88.13556, 2.167724, 200, 100.355
2017-08-06 17:37:18.1, 87.98077, 2.168569, 200, 100.3521
2017-08-06 17:37:33.2, 87.86862, 2.169181, 200, 100.3542
2017-08-06 17:37:48.3, 87.67236, 2.170253, 200, 100.3516
2017-08-06 17:38:03.3, 87.56006, 2.170867, 200, 100.3535
2017-08-06 17:38:18.4, 87.31396, 2.172213, 200, 100.3447
2017-08-06 17:38:33.5, 87.3295, 2.172128, 200, 100.3545
2017-08-06 17:38:48.6, 88.4295, 2.166123, 200, 100.3525
2017-08-06 17:39:03.6, 90.31433, 2.15591, 200, 100.3579
2017-08-06 17:39:18.7, 92.09393, 2.146354, 200, 100.353
2017-08-06 17:39:33.8, 93.32907, 2.139772, 200, 100.3486
2017-08-06 17:39:48.9, 94.40881, 2.134051, 200, 100.3516
2017-08-06 17:40:03.9, 95.25693, 2.129579, 200, 100.3518
2017-08-06 17:40:19.0, 95.892, 2.126242, 200, 100.3479
2017-08-06 17:40:34.1, 96.34445, 2.123872, 200, 100.3481
2017-08-06 17:40:49.2, 96.84375, 2.121261, 200, 100.3486
2017-08-06 17:41:04.3, 97.13733, 2.11973, 200, 100.3494
2017-08-06 17:41:19.3, 97.36496, 2.118543, 200, 100.3508
2017-08-06 17:41:34.4, 97.5672, 2.117491, 200, 100.3499
2017-08-06 17:41:49.5, 97.71283, 2.116733, 200, 100.3496
2017-08-06 17:42:04.5, 97.79138, 2.116325, 200, 100.3462
2017-08-06 17:42:19.6, 97.81305, 2.116212, 200, 100.3508
2017-08-06 17:42:34.7, 97.97626, 2.115365, 200, 100.3474
2017-08-06 17:42:49.8, 98.09146, 2.114767, 200, 100.3508
2017-08-06 17:43:04.9, 98.15024, 2.114462, 200, 100.3508
2017-08-06 17:43:19.9, 98.25186, 2.113935, 200, 100.3499
2017-08-06 17:43:34.9, 98.25009, 2.113944, 200, 100.3481
2017-08-06 17:43:50.0, 98.28058, 2.113786, 200, 100.3479
2017-08-06 17:44:05.1, 98.19907, 2.114208, 200, 100.3491
2017-08-06 17:44:20.1, 98.06427, 2.114908, 200, 100.3503
2017-08-06 17:44:35.2, 97.90271, 2.115746, 200, 100.3525
2017-08-06 17:44:50.3, 97.68018, 2.116903, 200, 100.3469
2017-08-06 17:45:05.4, 97.57263, 2.117462, 200, 100.3438
2017-08-06 17:45:20.4, 97.19183, 2.119446, 200, 100.3433
2017-08-06 17:45:35.5, 96.91675, 2.12088, 200, 100.3447
2017-08-06 17:45:50.6, 96.82169, 2.121377, 200, 100.345
2017-08-06 17:46:05.7, 96.74429, 2.121781, 200, 100.3442
2017-08-06 17:46:20.7, 96.60419, 2.122513, 200, 100.3469
2017-08-06 17:46:35.8, 96.3288, 2.123953, 200, 100.3455
