Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-06-06 11:07:49.3, 98.54834, 1.970466, 200, 100.5178
2017-06-06 11:08:04.3, 98.19989, 1.971714, 200, 100.5203
2017-06-06 11:08:19.4, 98.11017, 1.972036, 200, 100.5193
2017-06-06 11:08:34.5, 97.92651, 1.972695, 200, 100.5176
2017-06-06 11:08:49.6, 97.7984, 1.973155, 200, 100.5166
2017-06-06 11:09:04.6, 97.78815, 1.973192, 200, 100.5217
2017-06-06 11:09:19.7, 97.73907, 1.973368, 200, 100.5186
2017-06-06 11:09:34.8, 97.63855, 1.973729, 200, 100.5249
2017-06-06 11:09:49.9, 97.5531, 1.974037, 200, 100.5225
2017-06-06 11:10:04.9, 97.59491, 1.973886, 200, 100.5232
2017-06-06 11:10:20.0, 97.70367, 1.973496, 200, 100.5232
2017-06-06 11:10:35.0, 97.73267, 1.973391, 200, 100.5205
2017-06-06 11:10:50.1, 97.8866, 1.972839, 200, 100.5203
2017-06-06 11:11:05.1, 97.95544, 1.972591, 200, 100.5215
2017-06-06 11:11:20.2, 98.00323, 1.97242, 200, 100.5232
2017-06-06 11:11:35.3, 98.10461, 1.972056, 200, 100.52
2017-06-06 11:11:50.4, 98.11475, 1.97202, 200, 100.522
2017-06-06 11:12:05.6, 98.10089, 1.97207, 200, 100.5222
2017-06-06 11:12:20.6, 98.12073, 1.971998, 200, 100.5247
2017-06-06 11:12:35.7, 98.23212, 1.971599, 200, 100.5205
2017-06-06 11:12:50.8, 98.26178, 1.971493, 200, 100.5232
2017-06-06 11:13:05.8, 98.25061, 1.971533, 200, 100.5181
2017-06-06 11:13:20.9, 98.39734, 1.971007, 200, 100.5205
2017-06-06 11:13:36.0, 98.31213, 1.971312, 200, 100.5208
2017-06-06 11:13:51.1, 98.26575, 1.971478, 200, 100.5208
2017-06-06 11:14:06.1, 98.33362, 1.971235, 200, 100.522
2017-06-06 11:14:21.2, 98.32721, 1.971258, 200, 100.5227
2017-06-06 11:14:36.3, 98.30688, 1.971331, 200, 100.5239
2017-06-06 11:14:51.4, 98.36975, 1.971106, 200, 100.5198
2017-06-06 11:15:06.5, 98.28931, 1.971394, 200, 100.5198
2017-06-06 11:15:21.5, 98.37878, 1.971073, 200, 100.5178
2017-06-06 11:15:36.6, 98.31885, 1.971288, 200, 100.5208
2017-06-06 11:15:51.7, 98.28021, 1.971426, 200, 100.5229
2017-06-06 11:16:06.8, 98.30823, 1.971326, 200, 100.521
2017-06-06 11:16:21.8, 98.17926, 1.971789, 200, 100.5205
2017-06-06 11:16:36.9, 98.06671, 1.972192, 200, 100.5208
2017-06-06 11:16:52.0, 98.03223, 1.972316, 200, 100.5205
2017-06-06 11:17:07.1, 98.18103, 1.971782, 200, 100.5232
2017-06-06 11:17:22.1, 98.13147, 1.97196, 200, 100.5212
2017-06-06 11:17:37.2, 98.12823, 1.971972, 200, 100.5242
2017-06-06 11:17:52.3, 98.01703, 1.97237, 200, 100.5186
2017-06-06 11:18:07.3, 98.00269, 1.972422, 200, 100.522
2017-06-06 11:18:22.5, 98.02533, 1.972341, 200, 100.522
2017-06-06 11:18:37.5, 98.01422, 1.972381, 200, 100.5183
2017-06-06 11:18:52.6, 97.99469, 1.97245, 200, 100.5195
2017-06-06 11:19:07.7, 98.07007, 1.97218, 200, 100.5203
2017-06-06 11:19:22.7, 98.08099, 1.972141, 200, 100.5168
2017-06-06 11:19:37.8, 98.10345, 1.97206, 200, 100.5168
2017-06-06 11:19:52.9, 98.09375, 1.972095, 200, 100.52
2017-06-06 11:20:07.9, 98.16638, 1.971835, 200, 100.5178
2017-06-06 11:20:22.9, 97.96686, 1.972551, 200, 100.5173
2017-06-06 11:20:38.0, 98.0907, 1.972106, 200, 100.5168
2017-06-06 11:20:53.1, 98.06281, 1.972206, 200, 100.5176
2017-06-06 11:21:08.2, 98.01831, 1.972366, 200, 100.5137
2017-06-06 11:21:23.3, 98.0321, 1.972316, 200, 100.5146
2017-06-06 11:21:38.3, 97.71729, 1.973447, 200, 100.5171
2017-06-06 11:21:53.4, 97.89941, 1.972793, 200, 100.5181
2017-06-06 11:22:08.5, 97.60187, 1.973861, 200, 100.5178
2017-06-06 11:22:23.5, 97.65863, 1.973657, 200, 100.5173
2017-06-06 11:22:38.6, 97.4826, 1.97429, 200, 100.5151
2017-06-06 11:22:53.7, 97.43195, 1.974472, 200, 100.5166
2017-06-06 11:23:08.8, 97.09711, 1.975677, 200, 100.5173
2017-06-06 11:23:23.9, 97.01495, 1.975973, 200, 100.5132
2017-06-06 11:23:38.9, 96.78833, 1.976789, 200, 100.5144
2017-06-06 11:23:54.0, 96.63354, 1.977347, 200, 100.5144
2017-06-06 11:24:09.1, 96.27356, 1.978647, 200, 100.5105
2017-06-06 11:24:24.2, 96.15466, 1.979076, 200, 100.5142
2017-06-06 11:24:39.2, 95.91193, 1.979953, 200, 100.512
2017-06-06 11:24:54.3, 95.62775, 1.980981, 200, 100.511
2017-06-06 11:25:09.4, 95.48175, 1.98151, 200, 100.511
2017-06-06 11:25:24.5, 95.33862, 1.982029, 200, 100.5098
2017-06-06 11:25:39.5, 95.1322, 1.982777, 200, 100.509
