Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-07 18:10:01.5, 95.84644, 2.057172, 200, 100.3018
2017-09-07 18:10:16.5, 95.68723, 2.058029, 200, 100.3008
2017-09-07 18:10:31.6, 95.63489, 2.058311, 200, 100.2969
2017-09-07 18:10:46.6, 95.69333, 2.057996, 200, 100.2998
2017-09-07 18:11:01.8, 95.55899, 2.058719, 200, 100.3
2017-09-07 18:11:16.8, 95.59561, 2.058522, 200, 100.2957
2017-09-07 18:11:31.8, 95.49008, 2.059091, 200, 100.3013
2017-09-07 18:11:46.8, 95.44077, 2.059356, 200, 100.3042
2017-09-07 18:12:01.9, 95.41141, 2.059515, 200, 100.2988
2017-09-07 18:12:17.0, 95.43085, 2.05941, 200, 100.2986
2017-09-07 18:12:32.1, 95.47229, 2.059186, 200, 100.2932
2017-09-07 18:12:47.1, 95.39444, 2.059606, 200, 100.2937
2017-09-07 18:13:02.2, 95.30695, 2.060078, 200, 100.2935
2017-09-07 18:13:17.3, 95.2785, 2.060231, 200, 100.2908
2017-09-07 18:13:32.4, 95.28186, 2.060213, 200, 100.29
2017-09-07 18:13:47.4, 95.31372, 2.060042, 200, 100.2905
2017-09-07 18:14:02.5, 95.29495, 2.060143, 200, 100.2903
2017-09-07 18:14:17.6, 95.29962, 2.060117, 200, 100.2871
2017-09-07 18:14:32.7, 95.31134, 2.060054, 200, 100.2849
2017-09-07 18:14:47.8, 95.2341, 2.060471, 200, 100.2866
2017-09-07 18:15:02.8, 95.25241, 2.060372, 200, 100.2898
2017-09-07 18:15:17.9, 95.21039, 2.060599, 200, 100.2859
2017-09-07 18:15:33.0, 95.26221, 2.060319, 200, 100.282
2017-09-07 18:15:48.0, 95.26047, 2.060329, 200, 100.2791
2017-09-07 18:16:03.1, 95.25714, 2.060347, 200, 100.2798
2017-09-07 18:16:18.2, 95.26962, 2.060279, 200, 100.2834
2017-09-07 18:16:33.3, 95.21384, 2.06058, 200, 100.2825
2017-09-07 18:16:48.4, 95.27927, 2.060227, 200, 100.2756
2017-09-07 18:17:03.4, 95.26965, 2.060279, 200, 100.2722
2017-09-07 18:17:18.5, 95.28299, 2.060207, 200, 100.2795
2017-09-07 18:17:33.6, 95.26416, 2.060309, 200, 100.2751
2017-09-07 18:17:48.7, 95.29022, 2.060168, 200, 100.2764
2017-09-07 18:18:03.7, 95.21265, 2.060587, 200, 100.271
2017-09-07 18:18:18.8, 95.21085, 2.060597, 200, 100.2749
2017-09-07 18:18:33.9, 95.21521, 2.060573, 200, 100.2754
2017-09-07 18:18:49.0, 95.31097, 2.060056, 200, 100.2766
2017-09-07 18:19:04.0, 95.29959, 2.060118, 200, 100.2737
2017-09-07 18:19:19.0, 95.32648, 2.059973, 200, 100.2715
2017-09-07 18:19:34.1, 95.33423, 2.059931, 200, 100.269
2017-09-07 18:19:49.2, 95.38895, 2.059636, 200, 100.2715
2017-09-07 18:20:04.2, 95.2749, 2.060251, 200, 100.27
2017-09-07 18:20:19.3, 95.28391, 2.060202, 200, 100.2681
2017-09-07 18:20:34.4, 95.23352, 2.060474, 200, 100.2676
2017-09-07 18:20:49.5, 95.36472, 2.059767, 200, 100.269
2017-09-07 18:21:04.5, 95.2518, 2.060376, 200, 100.2649
2017-09-07 18:21:19.6, 95.28275, 2.060209, 200, 100.27
2017-09-07 18:21:34.7, 95.27286, 2.060262, 200, 100.2754
2017-09-07 18:21:49.8, 95.11313, 2.061124, 200, 100.269
2017-09-07 18:22:04.9, 95.00269, 2.061721, 200, 100.2617
2017-09-07 18:22:19.9, 94.82281, 2.062693, 200, 100.2605
2017-09-07 18:22:35.0, 94.62146, 2.063782, 200, 100.2593
2017-09-07 18:22:50.1, 94.33798, 2.065318, 200, 100.26
2017-09-07 18:23:05.2, 94.03925, 2.066939, 200, 100.2617
2017-09-07 18:23:20.2, 93.65863, 2.069008, 200, 100.2522
2017-09-07 18:23:35.3, 93.27835, 2.071079, 200, 100.2593
2017-09-07 18:23:50.4, 92.94919, 2.072875, 200, 100.2568
2017-09-07 18:24:05.5, 92.56448, 2.074978, 200, 100.2578
2017-09-07 18:24:20.5, 92.17383, 2.077118, 200, 100.2542
2017-09-07 18:24:35.5, 91.83496, 2.078979, 200, 100.2561
2017-09-07 18:24:50.6, 91.50748, 2.080779, 200, 100.2568
2017-09-07 18:25:05.7, 91.14218, 2.082791, 200, 100.2488
2017-09-07 18:25:20.7, 90.79041, 2.084733, 200, 100.2551
2017-09-07 18:25:35.8, 90.35065, 2.087165, 200, 100.2527
2017-09-07 18:25:50.9, 90.00317, 2.089091, 200, 100.2556
2017-09-07 18:26:06.0, 89.67535, 2.090911, 200, 100.2559
2017-09-07 18:26:21.0, 89.30045, 2.092996, 200, 100.2539
2017-09-07 18:26:36.1, 89.01859, 2.094567, 200, 100.2585
2017-09-07 18:26:51.2, 88.70779, 2.096301, 200, 100.2593
2017-09-07 18:27:06.3, 88.461, 2.09768, 200, 100.2532
2017-09-07 18:27:21.3, 88.09906, 2.099707, 200, 100.2576
2017-09-07 18:27:36.4, 87.7663, 2.101573, 200, 100.2554
2017-09-07 18:27:51.5, 87.43591, 2.103429, 200, 100.2576
2017-09-07 18:28:06.6, 87.08362, 2.105412, 200, 100.2571
2017-09-07 18:28:21.7, 86.65588, 2.107825, 200, 100.2654
2017-09-07 18:28:36.7, 86.2785, 2.109958, 200, 100.2585
2017-09-07 18:28:51.8, 85.99963, 2.111537, 200, 100.2617
2017-09-07 18:29:06.9, 85.56171, 2.114022, 200, 100.262
2017-09-07 18:29:21.9, 85.17065, 2.116246, 200, 100.2629
2017-09-07 18:29:37.0, 84.83072, 2.118183, 200, 100.26
2017-09-07 18:29:52.1, 84.51035, 2.120011, 200, 100.2639
2017-09-07 18:30:07.2, 84.13126, 2.122179, 200, 100.2683
2017-09-07 18:30:22.3, 83.82425, 2.123938, 200, 100.269
2017-09-07 18:30:37.3, 83.40195, 2.126362, 200, 100.2778
2017-09-07 18:30:52.4, 82.98712, 2.128749, 200, 100.2751
2017-09-07 18:31:07.5, 82.61716, 2.130882, 200, 100.2766
2017-09-07 18:31:22.6, 82.22128, 2.133169, 200, 100.2764
2017-09-07 18:31:37.6, 81.90829, 2.134981, 200, 100.283
2017-09-07 18:31:52.7, 81.52335, 2.137213, 200, 100.2788
2017-09-07 18:32:07.8, 81.1539, 2.13936, 200, 100.2854
2017-09-07 18:32:22.9, 80.85049, 2.141127, 200, 100.2813
2017-09-07 18:32:37.9, 80.42035, 2.143636, 200, 100.2837
2017-09-07 18:32:53.0, 80.08557, 2.145593, 200, 100.2849
2017-09-07 18:33:08.1, 79.70825, 2.147804, 200, 100.2839
2017-09-07 18:33:23.1, 79.32175, 2.150072, 200, 100.2852
2017-09-07 18:33:38.1, 78.91385, 2.152471, 200, 100.2908
2017-09-07 18:33:53.2, 78.60251, 2.154306, 200, 100.2952
2017-09-07 18:34:08.3, 78.36401, 2.155714, 200, 100.2896
