Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-08 19:50:17.1, 97.00613, 1.644933, 200, 99.11523
2017-08-08 19:50:32.2, 96.93655, 1.645181, 200, 99.1145
2017-08-08 19:50:47.2, 96.84744, 1.645498, 200, 99.11377
2017-08-08 19:51:02.2, 96.79343, 1.645691, 200, 99.11353
2017-08-08 19:51:17.3, 96.93506, 1.645186, 200, 99.11206
2017-08-08 19:51:32.4, 96.75323, 1.645834, 200, 99.11621
2017-08-08 19:51:47.4, 97.07849, 1.644675, 200, 99.11768
2017-08-08 19:52:02.4, 97.30722, 1.643861, 200, 99.11743
2017-08-08 19:52:17.5, 97.40094, 1.643528, 200, 99.11743
2017-08-08 19:52:32.5, 97.50146, 1.643171, 200, 99.11304
2017-08-08 19:52:47.5, 97.70532, 1.642447, 200, 99.11523
2017-08-08 19:53:02.6, 97.49789, 1.643184, 200, 99.1167
2017-08-08 19:53:17.7, 97.4082, 1.643502, 200, 99.11523
2017-08-08 19:53:32.8, 97.3382, 1.643751, 200, 99.11597
2017-08-08 19:53:47.9, 97.49078, 1.643209, 200, 99.11621
2017-08-08 19:54:02.9, 97.35651, 1.643686, 200, 99.11914
2017-08-08 19:54:18.0, 97.71298, 1.64242, 200, 99.11377
2017-08-08 19:54:33.0, 97.57211, 1.64292, 200, 99.11694
2017-08-08 19:54:48.1, 97.6008, 1.642818, 200, 99.12183
2017-08-08 19:55:03.1, 97.18839, 1.644284, 200, 99.11743
2017-08-08 19:55:18.2, 97.17648, 1.644326, 200, 99.11694
2017-08-08 19:55:33.3, 96.99216, 1.644983, 200, 99.11304
2017-08-08 19:55:48.4, 97.36996, 1.643638, 200, 99.11279
2017-08-08 19:56:03.5, 97.14301, 1.644446, 200, 99.11792
2017-08-08 19:56:18.6, 96.88376, 1.645369, 200, 99.11768
2017-08-08 19:56:33.7, 96.42294, 1.647012, 200, 99.1145
2017-08-08 19:56:48.8, 95.64893, 1.64978, 200, 99.11938
2017-08-08 19:57:03.9, 95.30893, 1.650999, 200, 99.11572
2017-08-08 19:57:18.9, 95.17239, 1.651489, 200, 99.11572
2017-08-08 19:57:33.9, 95.23987, 1.651247, 200, 99.11914
2017-08-08 19:57:49.0, 95.34201, 1.65088, 200, 99.1189
2017-08-08 19:58:04.1, 95.3259, 1.650938, 200, 99.11792
2017-08-08 19:58:19.1, 94.82532, 1.652735, 200, 99.11743
2017-08-08 19:58:34.2, 94.37207, 1.654366, 200, 99.11328
2017-08-08 19:58:49.3, 93.74075, 1.656643, 200, 99.12012
2017-08-08 19:59:04.4, 93.33862, 1.658097, 200, 99.11987
2017-08-08 19:59:19.4, 93.19806, 1.658606, 200, 99.11841
2017-08-08 19:59:34.5, 93.11606, 1.658903, 200, 99.11816
2017-08-08 19:59:49.5, 92.70926, 1.660377, 200, 99.11792
2017-08-08 20:00:04.6, 92.61856, 1.660706, 200, 99.11816
2017-08-08 20:00:19.6, 92.61734, 1.660711, 200, 99.11792
2017-08-08 20:00:34.7, 92.46808, 1.661253, 200, 99.1167
