Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-09-08 18:51:08.1, 72.06201, 1.554616, 200, 99.73682
2017-09-08 18:51:23.2, 71.51688, 1.557506, 200, 99.73291
2017-09-08 18:51:38.3, 70.93787, 1.560587, 200, 99.73462
2017-09-08 18:51:53.3, 70.41479, 1.563381, 200, 99.73389
2017-09-08 18:52:08.4, 69.75317, 1.566929, 200, 99.73315
2017-09-08 18:52:23.5, 69.07544, 1.570581, 200, 99.73438
2017-09-08 18:52:38.6, 68.39844, 1.574245, 200, 99.73047
2017-09-08 18:52:53.7, 67.79102, 1.577548, 200, 99.72876
2017-09-08 18:53:08.7, 67.09686, 1.581339, 200, 99.73169
2017-09-08 18:53:23.8, 66.48975, 1.58467, 200, 99.72363
2017-09-08 18:53:38.9, 65.8782, 1.588039, 200, 99.73535
2017-09-08 18:53:53.9, 65.19788, 1.591804, 200, 99.72388
2017-09-08 18:54:09.0, 64.48529, 1.595767, 200, 99.729
2017-09-08 18:54:24.1, 64.03262, 1.598294, 200, 99.72607
2017-09-08 18:54:39.2, 63.60007, 1.600717, 200, 99.72705
2017-09-08 18:54:54.3, 63.21457, 1.602882, 200, 99.72876
2017-09-08 18:55:09.3, 63.10995, 1.603471, 200, 99.72876
2017-09-08 18:55:24.4, 63.01669, 1.603996, 200, 99.73169
2017-09-08 18:55:39.5, 63.03168, 1.603912, 200, 99.72998
2017-09-08 18:55:54.6, 63.14185, 1.603291, 200, 99.73267
2017-09-08 18:56:09.6, 63.55893, 1.600947, 200, 99.72925
2017-09-08 18:56:24.7, 63.84949, 1.599319, 200, 99.73511
2017-09-08 18:56:39.8, 64.13956, 1.597696, 200, 99.73755
2017-09-08 18:56:54.9, 64.64539, 1.594874, 200, 99.74072
2017-09-08 18:57:09.9, 65.00247, 1.592888, 200, 99.73804
2017-09-08 18:57:25.0, 65.60892, 1.589527, 200, 99.73242
2017-09-08 18:57:40.1, 66.08371, 1.586905, 200, 99.73877
2017-09-08 18:57:55.2, 66.63422, 1.583876, 200, 99.73779
2017-09-08 18:58:10.2, 67.31345, 1.580154, 200, 99.74561
2017-09-08 18:58:25.3, 67.95438, 1.576658, 200, 99.73999
2017-09-08 18:58:40.4, 68.54831, 1.573432, 200, 99.74658
2017-09-08 18:58:55.5, 68.91019, 1.571474, 200, 99.74976
2017-09-08 18:59:10.5, 69.34076, 1.569149, 200, 99.74414
2017-09-08 18:59:25.6, 69.68613, 1.56729, 200, 99.74414
2017-09-08 18:59:40.7, 70.1615, 1.564737, 200, 99.74854
2017-09-08 18:59:55.8, 70.6225, 1.56227, 200, 99.74561
2017-09-08 19:00:10.9, 71.12521, 1.559589, 200, 99.74951
2017-09-08 19:00:25.9, 71.79718, 1.556019, 200, 99.74023
2017-09-08 19:00:41.0, 72.20923, 1.553838, 200, 99.74634
2017-09-08 19:00:56.1, 72.81964, 1.550618, 200, 99.74194
2017-09-08 19:01:11.1, 73.18781, 1.548682, 200, 99.74658
2017-09-08 19:01:26.2, 73.66049, 1.546204, 200, 99.74829
2017-09-08 19:01:41.2, 74.12787, 1.543762, 200, 99.74146
2017-09-08 19:01:56.3, 74.61438, 1.541228, 200, 99.74829
2017-09-08 19:02:11.4, 74.90857, 1.539699, 200, 99.74243
2017-09-08 19:02:26.4, 75.44571, 1.536916, 200, 99.74365
2017-09-08 19:02:41.5, 75.84894, 1.534834, 200, 99.74194
2017-09-08 19:02:56.6, 76.22742, 1.532885, 200, 99.74219
2017-09-08 19:03:11.7, 76.5451, 1.531252, 200, 99.74268
2017-09-08 19:03:26.7, 76.73026, 1.530302, 200, 99.7334
2017-09-08 19:03:41.8, 77.0192, 1.528822, 200, 99.70361
2017-09-08 19:03:56.9, 77.41699, 1.52679, 200, 99.66895
2017-09-08 19:04:12.0, 77.63492, 1.525678, 200, 99.65161
2017-09-08 19:04:27.0, 78.01489, 1.523744, 200, 99.65112
2017-09-08 19:04:42.1, 78.26685, 1.522465, 200, 99.65332
2017-09-08 19:04:57.2, 78.43436, 1.521615, 200, 99.65015
2017-09-08 19:05:12.3, 78.63925, 1.520577, 200, 99.64819
2017-09-08 19:05:27.3, 78.67719, 1.520385, 200, 99.64478
2017-09-08 19:05:42.4, 78.72626, 1.520137, 200, 99.64404
2017-09-08 19:05:57.5, 78.68887, 1.520326, 200, 99.64282
2017-09-08 19:06:12.6, 78.67722, 1.520385, 200, 99.6438
2017-09-08 19:06:27.6, 78.90915, 1.519212, 200, 99.64551
2017-09-08 19:06:42.7, 78.99936, 1.518757, 200, 99.64185
2017-09-08 19:06:57.8, 79.05118, 1.518495, 200, 99.64185
2017-09-08 19:07:12.9, 79.22864, 1.5176, 200, 99.64478
2017-09-08 19:07:28.0, 79.47302, 1.516369, 200, 99.63818
2017-09-08 19:07:43.0, 79.7392, 1.51503, 200, 99.64331
2017-09-08 19:07:58.1, 80.00232, 1.513709, 200, 99.64673
2017-09-08 19:08:13.2, 80.03824, 1.513529, 200, 99.64453
2017-09-08 19:08:28.2, 80.27866, 1.512324, 200, 99.64551
2017-09-08 19:08:43.3, 80.3241, 1.512096, 200, 99.64722
2017-09-08 19:08:58.4, 80.24161, 1.512509, 200, 99.64478
2017-09-08 19:09:13.5, 80.30768, 1.512178, 200, 99.64087
2017-09-08 19:09:28.6, 80.3566, 1.511934, 200, 99.64575
2017-09-08 19:09:43.6, 80.24945, 1.51247, 200, 99.64893
2017-09-08 19:09:58.7, 80.30811, 1.512176, 200, 99.64429
2017-09-08 19:10:13.8, 80.491, 1.511261, 200, 99.64819
2017-09-08 19:10:28.9, 80.50867, 1.511173, 200, 99.64893
2017-09-08 19:10:43.9, 80.72354, 1.5101, 200, 99.62695
2017-09-08 19:10:59.0, 80.94568, 1.508991, 200, 99.64038
2017-09-08 19:11:14.1, 81.34952, 1.506981, 200, 99.63574
