Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-08-09 18:52:50.5, 98.32489, 1.644847, 200, 99.15015
2017-08-09 18:53:05.6, 97.61609, 1.647335, 200, 99.14966
2017-08-09 18:53:20.6, 97.81177, 1.646647, 200, 99.15039
2017-08-09 18:53:35.7, 97.38681, 1.648141, 200, 99.15039
2017-08-09 18:53:50.9, 97.35345, 1.648258, 200, 99.14966
2017-08-09 18:54:06.0, 97.85068, 1.646511, 200, 99.15112
2017-08-09 18:54:21.1, 98.15536, 1.645442, 200, 99.14844
2017-08-09 18:54:36.1, 97.97791, 1.646064, 200, 99.15063
2017-08-09 18:54:51.1, 97.56641, 1.647509, 200, 99.15088
2017-08-09 18:55:06.2, 97.35004, 1.64827, 200, 99.15552
2017-08-09 18:55:21.2, 97.62393, 1.647307, 200, 99.15308
2017-08-09 18:55:36.3, 97.73181, 1.646928, 200, 99.15186
2017-08-09 18:55:51.4, 98.3367, 1.644806, 200, 99.14917
2017-08-09 18:56:06.4, 98.07797, 1.645713, 200, 99.14795
2017-08-09 18:56:21.5, 97.91983, 1.646268, 200, 99.14893
2017-08-09 18:56:36.6, 98.11554, 1.645581, 200, 99.14868
2017-08-09 18:56:51.7, 98.25784, 1.645082, 200, 99.14868
2017-08-09 18:57:06.8, 98.15024, 1.64546, 200, 99.14697
2017-08-09 18:57:21.8, 98.3461, 1.644773, 200, 99.14551
2017-08-09 18:57:36.9, 98.44861, 1.644414, 200, 99.14819
2017-08-09 18:57:52.0, 98.80176, 1.643178, 200, 99.15015
2017-08-09 18:58:07.1, 98.5751, 1.643971, 200, 99.14551
2017-08-09 18:58:22.1, 98.55484, 1.644042, 200, 99.14746
2017-08-09 18:58:37.2, 98.14496, 1.645478, 200, 99.14795
2017-08-09 18:58:52.3, 98.31, 1.6449, 200, 99.15112
2017-08-09 18:59:07.4, 98.02603, 1.645895, 200, 99.14551
2017-08-09 18:59:22.4, 97.76596, 1.646808, 200, 99.14795
2017-08-09 18:59:37.5, 97.40179, 1.648088, 200, 99.14551
2017-08-09 18:59:52.6, 97.51944, 1.647675, 200, 99.14624
2017-08-09 19:00:07.7, 97.03815, 1.649369, 200, 99.14941
2017-08-09 19:00:22.7, 97.01477, 1.649451, 200, 99.14941
2017-08-09 19:00:37.8, 96.83914, 1.65007, 200, 99.14551
2017-08-09 19:00:52.9, 96.68762, 1.650604, 200, 99.15063
2017-08-09 19:01:08.0, 96.73633, 1.650433, 200, 99.15112
2017-08-09 19:01:23.0, 96.52792, 1.651168, 200, 99.14502
2017-08-09 19:01:38.2, 96.31708, 1.651913, 200, 99.14526
