Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-03-05 09:20:22.3, 12.05542, 2.654916, 200, 101.9949
2018-03-05 09:20:37.3, 12.01187, 2.655263, 200, 101.9958
2018-03-05 09:20:52.4, 11.9451, 2.655796, 200, 102.0027
2018-03-05 09:21:07.5, 11.94928, 2.655762, 200, 101.9973
2018-03-05 09:21:22.5, 12.02634, 2.655147, 200, 101.9961
2018-03-05 09:21:37.6, 11.9249, 2.655957, 200, 101.9958
2018-03-05 09:21:52.7, 11.94168, 2.655823, 200, 101.9954
2018-03-05 09:22:07.8, 11.91141, 2.656065, 200, 101.9985
2018-03-05 09:22:22.8, 11.86478, 2.656437, 200, 101.9966
2018-03-05 09:22:37.9, 11.8382, 2.656649, 200, 101.9988
2018-03-05 09:22:53.0, 11.80209, 2.656937, 200, 101.9985
2018-03-05 09:23:08.1, 11.72119, 2.657583, 200, 101.9976
2018-03-05 09:23:23.1, 11.58539, 2.658669, 200, 101.9966
2018-03-05 09:23:38.2, 11.4689, 2.659601, 200, 102.0024
2018-03-05 09:23:53.3, 11.26724, 2.661216, 200, 101.9973
2018-03-05 09:24:08.4, 11.18143, 2.661904, 200, 102
2018-03-05 09:24:23.5, 11.09924, 2.662563, 200, 102
2018-03-05 09:24:38.5, 10.96167, 2.663666, 200, 101.9978
2018-03-05 09:24:53.6, 10.85101, 2.664555, 200, 101.9973
2018-03-05 09:25:08.7, 10.6748, 2.665972, 200, 101.9973
2018-03-05 09:25:23.7, 10.47882, 2.667548, 200, 101.999
2018-03-05 09:25:38.8, 10.34164, 2.668653, 200, 101.9961
2018-03-05 09:25:53.9, 10.21951, 2.669638, 200, 101.9993
2018-03-05 09:26:09.0, 10.11292, 2.670497, 200, 102.002
2018-03-05 09:26:24.1, 9.994812, 2.671451, 200, 101.9993
2018-03-05 09:26:39.1, 9.873444, 2.672431, 200, 102.0017
2018-03-05 09:26:54.2, 9.707672, 2.673771, 200, 101.9939
2018-03-05 09:27:09.3, 9.576691, 2.674831, 200, 101.9995
2018-03-05 09:27:24.4, 9.427948, 2.676036, 200, 102.0015
2018-03-05 09:27:39.4, 9.381561, 2.676412, 200, 101.9956
2018-03-05 09:27:54.5, 9.553864, 2.675016, 200, 101.9988
2018-03-05 09:28:09.6, 9.763397, 2.673321, 200, 101.9993
2018-03-05 09:28:24.7, 10.04062, 2.671081, 200, 102
2018-03-05 09:28:39.7, 10.34753, 2.668606, 200, 102.0002
2018-03-05 09:28:54.8, 10.63815, 2.666266, 200, 102.0017
2018-03-05 09:29:09.9, 10.84509, 2.664603, 200, 102.0029
2018-03-05 09:29:25.0, 11.05234, 2.662939, 200, 101.9963
2018-03-05 09:29:40.0, 11.29111, 2.661025, 200, 101.9966
2018-03-05 09:29:55.1, 11.43628, 2.659862, 200, 102.0012
2018-03-05 09:30:10.2, 11.60992, 2.658473, 200, 101.9985
2018-03-05 09:30:25.3, 11.73331, 2.657487, 200, 101.9998
2018-03-05 09:30:40.4, 11.77979, 2.657115, 200, 102.0046
2018-03-05 09:30:55.4, 11.90115, 2.656146, 200, 102.0024
2018-03-05 09:31:10.5, 11.9122, 2.656058, 200, 101.998
2018-03-05 09:31:25.6, 11.9801, 2.655516, 200, 102.0015
2018-03-05 09:31:40.7, 12.05612, 2.65491, 200, 102.0012
2018-03-05 09:31:55.7, 12.09329, 2.654613, 200, 101.9985
2018-03-05 09:32:10.8, 12.16501, 2.654042, 200, 102.0022
2018-03-05 09:32:25.9, 12.14005, 2.654241, 200, 102.0015
2018-03-05 09:32:40.9, 12.16351, 2.654054, 200, 102.0027
2018-03-05 09:32:56.0, 12.16504, 2.654042, 200, 102.0012
2018-03-05 09:33:11.1, 12.19968, 2.653765, 200, 102.0002
2018-03-05 09:33:26.2, 12.16678, 2.654028, 200, 101.9966
2018-03-05 09:33:41.3, 12.11423, 2.654447, 200, 102.001
2018-03-05 09:33:56.3, 12.08398, 2.654688, 200, 101.9998
2018-03-05 09:34:11.4, 11.89194, 2.65622, 200, 102.0027
2018-03-05 09:34:26.5, 11.77289, 2.657171, 200, 102.0005
2018-03-05 09:34:41.6, 11.52625, 2.659142, 200, 101.998
2018-03-05 09:34:56.6, 11.35135, 2.660542, 200, 102.0051
2018-03-05 09:35:11.7, 11.19818, 2.661769, 200, 102.0049
2018-03-05 09:35:26.8, 11.01862, 2.663209, 200, 102.0017
2018-03-05 09:35:41.9, 10.79663, 2.664992, 200, 102.0061
2018-03-05 09:35:57.0, 10.60461, 2.666536, 200, 101.9973
2018-03-05 09:36:12.0, 10.35883, 2.668515, 200, 102.0027
2018-03-05 09:36:27.1, 10.07196, 2.670828, 200, 102.0039
2018-03-05 09:36:42.2, 9.883362, 2.672351, 200, 102.0027
2018-03-05 09:36:57.2, 9.618195, 2.674495, 200, 101.9973
2018-03-05 09:37:12.3, 9.479462, 2.675618, 200, 101.9998
2018-03-05 09:37:27.4, 9.213379, 2.677775, 200, 102.0015
2018-03-05 09:37:42.4, 9.03949, 2.679187, 200, 102.0051
2018-03-05 09:37:57.4, 8.854828, 2.680687, 200, 102.0039
2018-03-05 09:38:12.5, 8.600037, 2.68276, 200, 102.0022
2018-03-05 09:38:27.6, 8.303009, 2.685181, 200, 102.0042
2018-03-05 09:38:42.7, 8.117767, 2.686693, 200, 102.0027
2018-03-05 09:38:57.8, 8.000183, 2.687654, 200, 102.0002
2018-03-05 09:39:12.8, 7.851166, 2.688872, 200, 102.0017
2018-03-05 09:39:27.8, 7.686035, 2.690224, 200, 102.0032
2018-03-05 09:39:42.9, 7.530975, 2.691494, 200, 102.0073
2018-03-05 09:39:58.0, 7.38559, 2.692686, 200, 102.0066
2018-03-05 09:40:13.0, 7.184814, 2.694334, 200, 102.0063
2018-03-05 09:40:28.1, 6.957581, 2.696202, 200, 102.0098
2018-03-05 09:40:43.2, 6.835754, 2.697204, 200, 102.0054
2018-03-05 09:40:58.3, 6.748596, 2.697922, 200, 102.0034
2018-03-05 09:41:13.3, 6.60907, 2.699071, 200, 102.0044
2018-03-05 09:41:28.4, 6.503571, 2.699941, 200, 102.0032
2018-03-05 09:41:43.5, 6.418701, 2.700641, 200, 102.0029
2018-03-05 09:41:58.6, 6.362305, 2.701107, 200, 102.0029
2018-03-05 09:42:13.6, 6.466339, 2.700248, 200, 102.0059
2018-03-05 09:42:28.7, 6.833679, 2.697221, 200, 101.9958
2018-03-05 09:42:43.8, 7.450836, 2.692151, 200, 102.0029
2018-03-05 09:42:58.9, 8.048035, 2.687263, 200, 102.0066
2018-03-05 09:43:14.0, 8.676117, 2.682141, 200, 102.0039
2018-03-05 09:43:29.0, 9.251923, 2.677463, 200, 102.0056
2018-03-05 09:43:44.1, 9.71759, 2.673691, 200, 102.0042
2018-03-05 09:43:59.2, 10.0715, 2.670832, 200, 102.0059
2018-03-05 09:44:14.2, 10.34225, 2.668648, 200, 102.0085
2018-03-05 09:44:29.3, 10.53094, 2.667129, 200, 102.0081
2018-03-05 09:44:44.3, 10.73318, 2.665502, 200, 102.0056
2018-03-05 09:44:59.4, 11.02579, 2.663152, 200, 102.0027
2018-03-05 09:45:14.5, 11.14218, 2.662218, 200, 102.0029
2018-03-05 09:45:29.5, 11.34888, 2.660562, 200, 102.0027
2018-03-05 09:45:44.6, 11.43793, 2.659849, 200, 102.0032
2018-03-05 09:45:59.7, 11.49677, 2.659378, 200, 102.0088
2018-03-05 09:46:14.8, 11.54593, 2.658985, 200, 102.0107
2018-03-05 09:46:29.8, 11.67758, 2.657932, 200, 101.9988
2018-03-05 09:46:44.9, 11.7294, 2.657518, 200, 102.0066
2018-03-05 09:47:00.0, 11.84894, 2.656563, 200, 102.009
2018-03-05 09:47:15.1, 11.88416, 2.656282, 200, 102.0027
2018-03-05 09:47:30.1, 11.80286, 2.656931, 200, 102.0076
2018-03-05 09:47:45.2, 11.7016, 2.65774, 200, 102.0137
2018-03-05 09:48:00.3, 11.52176, 2.659178, 200, 102.0098
2018-03-05 09:48:15.4, 11.39584, 2.660186, 200, 102.0093
2018-03-05 09:48:30.5, 11.17682, 2.661941, 200, 102.011
2018-03-05 09:48:45.5, 10.97656, 2.663547, 200, 102.0049
2018-03-05 09:49:00.6, 10.76053, 2.665282, 200, 102.0073
2018-03-05 09:49:15.7, 10.52567, 2.667171, 200, 102.0049
2018-03-05 09:49:30.7, 10.26434, 2.669276, 200, 102.0095
2018-03-05 09:49:45.8, 9.997864, 2.671426, 200, 102.0024
2018-03-05 09:50:00.9, 9.75589, 2.673381, 200, 102.0166
2018-03-05 09:50:16.0, 9.472748, 2.675673, 200, 102.0137
2018-03-05 09:50:31.1, 9.308258, 2.677006, 200, 102.0139
2018-03-05 09:50:46.1, 9.14093, 2.678363, 200, 102.0139
2018-03-05 09:51:01.2, 8.903961, 2.680288, 200, 102.0059
2018-03-05 09:51:16.3, 8.681732, 2.682095, 200, 102.011
2018-03-05 09:51:31.3, 8.452301, 2.683964, 200, 102.0078
2018-03-05 09:51:46.4, 8.222443, 2.685839, 200, 102.0159
2018-03-05 09:52:01.5, 8.035522, 2.687365, 200, 102.0095
2018-03-05 09:52:16.6, 7.909943, 2.688391, 200, 102.0115
2018-03-05 09:52:31.7, 7.715576, 2.689982, 200, 102.0132
2018-03-05 09:52:46.7, 7.514008, 2.691633, 200, 102.0144
2018-03-05 09:53:01.8, 7.307861, 2.693324, 200, 102.0139
2018-03-05 09:53:16.9, 7.169281, 2.694462, 200, 102.0176
2018-03-05 09:53:32.0, 6.965973, 2.696133, 200, 102.0159
2018-03-05 09:53:47.0, 6.810547, 2.697412, 200, 102.0117
2018-03-05 09:54:02.1, 6.601929, 2.69913, 200, 102.012
2018-03-05 09:54:17.1, 6.524841, 2.699766, 200, 102.0112
2018-03-05 09:54:32.2, 6.32019, 2.701454, 200, 102.0151
2018-03-05 09:54:47.2, 6.155243, 2.702817, 200, 102.0144
2018-03-05 09:55:02.3, 5.97229, 2.70433, 200, 102.0117
2018-03-05 09:55:17.4, 5.941559, 2.704584, 200, 102.0134
2018-03-05 09:55:32.5, 5.934235, 2.704645, 200, 102.0127
2018-03-05 09:55:47.5, 6.325562, 2.70141, 200, 102.0176
2018-03-05 09:56:02.6, 6.93634, 2.696377, 200, 102.0183
2018-03-05 09:56:17.7, 7.645142, 2.690558, 200, 102.02
2018-03-05 09:56:32.8, 8.460144, 2.6839, 200, 102.0156
2018-03-05 09:56:47.9, 9.170868, 2.67812, 200, 102.0137
2018-03-05 09:57:02.9, 9.827576, 2.672802, 200, 102.011
2018-03-05 09:57:18.0, 10.375, 2.668384, 200, 102.0146
2018-03-05 09:57:33.1, 10.91995, 2.664002, 200, 102.0208
2018-03-05 09:57:48.2, 11.32355, 2.660765, 200, 102.0151
2018-03-05 09:58:03.2, 11.72876, 2.657523, 200, 102.0161
2018-03-05 09:58:18.3, 12.0582, 2.654893, 200, 102.0186
2018-03-05 09:58:33.4, 12.21439, 2.653648, 200, 102.0183
2018-03-05 09:58:48.5, 12.37155, 2.652397, 200, 102.0203
2018-03-05 09:59:03.5, 12.47684, 2.651559, 200, 102.0146
2018-03-05 09:59:18.6, 12.5932, 2.650634, 200, 102.02
2018-03-05 09:59:33.6, 12.75043, 2.649384, 200, 102.0203
2018-03-05 09:59:48.7, 12.81049, 2.648907, 200, 102.0247
2018-03-05 10:00:03.7, 12.89325, 2.648251, 200, 102.0237
2018-03-05 10:00:18.8, 12.89264, 2.648255, 200, 102.0212
2018-03-05 10:00:33.9, 12.79095, 2.649063, 200, 102.021
2018-03-05 10:00:49.0, 12.68005, 2.649943, 200, 102.0281
2018-03-05 10:01:04.0, 12.53741, 2.651077, 200, 102.021
2018-03-05 10:01:19.1, 12.47543, 2.65157, 200, 102.0232
2018-03-05 10:01:34.2, 12.29568, 2.653001, 200, 102.0183
2018-03-05 10:01:49.3, 12.07623, 2.65475, 200, 102.0234
2018-03-05 10:02:04.3, 11.79901, 2.656962, 200, 102.0242
2018-03-05 10:02:19.4, 11.46414, 2.659639, 200, 102.022
2018-03-05 10:02:34.5, 11.15594, 2.662108, 200, 102.0195
2018-03-05 10:02:49.6, 10.86047, 2.664479, 200, 102.0161
2018-03-05 10:03:04.6, 10.58966, 2.666656, 200, 102.0208
2018-03-05 10:03:19.7, 10.29004, 2.669069, 200, 102.0203
2018-03-05 10:03:34.8, 10.00449, 2.671373, 200, 102.022
2018-03-05 10:03:49.9, 9.695709, 2.673868, 200, 102.0203
2018-03-05 10:04:04.9, 9.40799, 2.676198, 200, 102.0264
2018-03-05 10:04:20.0, 9.099213, 2.678702, 200, 102.0208
2018-03-05 10:04:35.1, 8.858337, 2.680659, 200, 102.0249
2018-03-05 10:04:50.2, 8.648804, 2.682363, 200, 102.0234
2018-03-05 10:05:05.2, 8.45224, 2.683964, 200, 102.0269
2018-03-05 10:05:20.3, 8.25235, 2.685595, 200, 102.0247
2018-03-05 10:05:35.4, 8.044128, 2.687295, 200, 102.0264
2018-03-05 10:05:50.5, 7.803345, 2.689264, 200, 102.0239
2018-03-05 10:06:05.6, 7.531067, 2.691493, 200, 102.0212
2018-03-05 10:06:20.6, 7.30188, 2.693373, 200, 102.0222
2018-03-05 10:06:35.7, 7.103851, 2.694999, 200, 102.0227
2018-03-05 10:06:50.8, 6.930847, 2.696422, 200, 102.0242
2018-03-05 10:07:05.9, 6.726318, 2.698105, 200, 102.0249
2018-03-05 10:07:20.9, 6.633789, 2.698867, 200, 102.0269
2018-03-05 10:07:36.0, 6.471924, 2.700202, 200, 102.0273
2018-03-05 10:07:51.1, 6.30658, 2.701567, 200, 102.0261
2018-03-05 10:08:06.2, 6.110138, 2.70319, 200, 102.0286
2018-03-05 10:08:21.3, 5.885223, 2.705051, 200, 102.03
2018-03-05 10:08:36.4, 5.717438, 2.706441, 200, 102.0266
2018-03-05 10:08:51.5, 5.675171, 2.706791, 200, 102.0242
2018-03-05 10:09:06.6, 5.747314, 2.706193, 200, 102.0247
2018-03-05 10:09:21.7, 6.10553, 2.703228, 200, 102.0237
2018-03-05 10:09:36.7, 6.631287, 2.698888, 200, 102.0225
2018-03-05 10:09:51.8, 7.283112, 2.693527, 200, 102.0269
2018-03-05 10:10:06.9, 8.00296, 2.687631, 200, 102.0283
2018-03-05 10:10:22.0, 8.736969, 2.681646, 200, 102.0288
2018-03-05 10:10:37.0, 9.4198, 2.676102, 200, 102.0295
2018-03-05 10:10:52.1, 10.11963, 2.670443, 200, 102.0293
2018-03-05 10:11:07.2, 10.80664, 2.664912, 200, 102.0327
2018-03-05 10:11:22.2, 11.36798, 2.660409, 200, 102.0278
2018-03-05 10:11:37.3, 11.88138, 2.656304, 200, 102.0271
2018-03-05 10:11:52.4, 12.17593, 2.653955, 200, 102.0278
2018-03-05 10:12:07.5, 12.40765, 2.65211, 200, 102.0332
2018-03-05 10:12:22.6, 12.62286, 2.650398, 200, 102.0317
2018-03-05 10:12:37.6, 12.81061, 2.648907, 200, 102.0361
2018-03-05 10:12:52.7, 13.02582, 2.647199, 200, 102.0354
2018-03-05 10:13:07.8, 13.18759, 2.645917, 200, 102.0332
2018-03-05 10:13:22.8, 13.25238, 2.645404, 200, 102.0342
2018-03-05 10:13:37.9, 13.2756, 2.64522, 200, 102.0332
2018-03-05 10:13:53.0, 13.27032, 2.645262, 200, 102.0293
2018-03-05 10:14:08.1, 13.20309, 2.645795, 200, 102.0305
2018-03-05 10:14:23.2, 13.16464, 2.646099, 200, 102.0305
2018-03-05 10:14:38.2, 13.07388, 2.646818, 200, 102.0325
2018-03-05 10:14:53.2, 12.92245, 2.648019, 200, 102.0317
2018-03-05 10:15:08.3, 12.77246, 2.649209, 200, 102.0298
2018-03-05 10:15:23.4, 12.58154, 2.650727, 200, 102.032
2018-03-05 10:15:38.5, 12.30334, 2.65294, 200, 102.033
2018-03-05 10:15:53.5, 12.04605, 2.65499, 200, 102.03
2018-03-05 10:16:08.6, 11.70569, 2.657707, 200, 102.0288
2018-03-05 10:16:23.8, 11.44385, 2.659802, 200, 102.0322
2018-03-05 10:16:38.8, 11.17166, 2.661982, 200, 102.03
2018-03-05 10:16:53.9, 10.92316, 2.663976, 200, 102.03
2018-03-05 10:17:09.0, 10.63818, 2.666266, 200, 102.031
2018-03-05 10:17:24.1, 10.35654, 2.668533, 200, 102.0342
2018-03-05 10:17:39.2, 10.02023, 2.671245, 200, 102.0354
2018-03-05 10:17:54.2, 9.699371, 2.673838, 200, 102.0325
2018-03-05 10:18:09.3, 9.421448, 2.676088, 200, 102.0332
2018-03-05 10:18:24.4, 9.157288, 2.67823, 200, 102.0334
2018-03-05 10:18:39.5, 8.921539, 2.680145, 200, 102.0325
2018-03-05 10:18:54.5, 8.724823, 2.681745, 200, 102.0354
2018-03-05 10:19:09.6, 8.477112, 2.683762, 200, 102.032
2018-03-05 10:19:24.7, 8.225555, 2.685813, 200, 102.0371
2018-03-05 10:19:39.8, 7.962189, 2.687964, 200, 102.0344
2018-03-05 10:19:54.8, 7.677673, 2.690292, 200, 102.04
2018-03-05 10:20:09.9, 7.38736, 2.692672, 200, 102.033
2018-03-05 10:20:25.0, 7.165649, 2.694492, 200, 102.0322
2018-03-05 10:20:40.1, 6.988464, 2.695948, 200, 102.032
2018-03-05 10:20:55.1, 6.815674, 2.697369, 200, 102.0273
2018-03-05 10:21:10.2, 6.600922, 2.699139, 200, 102.0313
2018-03-05 10:21:25.3, 6.350342, 2.701205, 200, 102.0315
2018-03-05 10:21:40.4, 6.155914, 2.702811, 200, 102.03
2018-03-05 10:21:55.4, 5.937622, 2.704617, 200, 102.0283
2018-03-05 10:22:10.5, 5.809784, 2.705675, 200, 102.0308
2018-03-05 10:22:25.6, 5.755829, 2.706122, 200, 102.0332
2018-03-05 10:22:40.7, 5.903198, 2.704902, 200, 102.0293
2018-03-05 10:22:55.7, 6.40274, 2.700773, 200, 102.0344
2018-03-05 10:23:10.8, 7.122986, 2.694842, 200, 102.0361
2018-03-05 10:23:25.9, 7.819458, 2.689132, 200, 102.0344
2018-03-05 10:23:41.0, 8.531555, 2.683318, 200, 102.0337
2018-03-05 10:23:56.0, 9.151794, 2.678275, 200, 102.0322
2018-03-05 10:24:11.1, 9.839294, 2.672707, 200, 102.0339
2018-03-05 10:24:26.2, 10.45108, 2.667772, 200, 102.0381
2018-03-05 10:24:41.3, 11.02316, 2.663173, 200, 102.0332
2018-03-05 10:24:56.3, 11.48608, 2.659464, 200, 102.0332
2018-03-05 10:25:11.4, 11.85165, 2.656541, 200, 102.0356
2018-03-05 10:25:26.5, 12.1593, 2.654087, 200, 102.0378
2018-03-05 10:25:41.6, 12.38824, 2.652264, 200, 102.0342
2018-03-05 10:25:56.7, 12.6738, 2.649993, 200, 102.0354
2018-03-05 10:26:11.7, 12.86728, 2.648457, 200, 102.0305
2018-03-05 10:26:26.8, 13.0871, 2.646713, 200, 102.0366
2018-03-05 10:26:41.9, 13.26636, 2.645293, 200, 102.0396
2018-03-05 10:26:57.0, 13.40097, 2.644228, 200, 102.0347
2018-03-05 10:27:12.0, 13.51611, 2.643318, 200, 102.0374
2018-03-05 10:27:27.1, 13.51019, 2.643364, 200, 102.0317
2018-03-05 10:27:42.2, 13.4101, 2.644156, 200, 102.0344
2018-03-05 10:27:57.3, 13.44321, 2.643894, 200, 102.0354
2018-03-05 10:28:12.3, 13.34927, 2.644637, 200, 102.0366
2018-03-05 10:28:27.4, 13.24356, 2.645474, 200, 102.031
2018-03-05 10:28:42.5, 13.12134, 2.646442, 200, 102.0344
2018-03-05 10:28:57.6, 12.87509, 2.648395, 200, 102.0391
2018-03-05 10:29:12.6, 12.56863, 2.650829, 200, 102.0381
2018-03-05 10:29:27.7, 12.29501, 2.653006, 200, 102.0354
2018-03-05 10:29:42.8, 12.06433, 2.654845, 200, 102.0327
2018-03-05 10:29:57.9, 11.77905, 2.657121, 200, 102.0398
2018-03-05 10:30:12.9, 11.46585, 2.659626, 200, 102.0386
2018-03-05 10:30:28.0, 11.23431, 2.66148, 200, 102.0366
2018-03-05 10:30:43.1, 10.87888, 2.664332, 200, 102.0371
2018-03-05 10:30:58.2, 10.51859, 2.667228, 200, 102.0376
2018-03-05 10:31:13.3, 10.2048, 2.669756, 200, 102.0369
2018-03-05 10:31:28.3, 9.859467, 2.672544, 200, 102.0408
2018-03-05 10:31:43.4, 9.605743, 2.674596, 200, 102.0417
2018-03-05 10:31:58.5, 9.377045, 2.676448, 200, 102.0432
2018-03-05 10:32:13.6, 9.097198, 2.678718, 200, 102.0376
2018-03-05 10:32:28.6, 8.856232, 2.680676, 200, 102.0366
2018-03-05 10:32:43.7, 8.570587, 2.683, 200, 102.0356
2018-03-05 10:32:58.8, 8.268616, 2.685462, 200, 102.0354
2018-03-05 10:33:13.8, 7.989288, 2.687743, 200, 102.0378
2018-03-05 10:33:28.9, 7.754883, 2.68966, 200, 102.0359
2018-03-05 10:33:44.0, 7.532959, 2.691478, 200, 102.0405
2018-03-05 10:33:59.1, 7.37384, 2.692782, 200, 102.041
2018-03-05 10:34:14.1, 7.199127, 2.694217, 200, 102.0376
2018-03-05 10:34:29.1, 6.944794, 2.696307, 200, 102.0344
2018-03-05 10:34:44.2, 6.759186, 2.697834, 200, 102.0354
2018-03-05 10:34:59.3, 6.516785, 2.699832, 200, 102.0383
2018-03-05 10:35:14.4, 6.305878, 2.701572, 200, 102.0322
2018-03-05 10:35:29.5, 6.137207, 2.702966, 200, 102.0344
2018-03-05 10:35:44.5, 6.039856, 2.703771, 200, 102.0337
2018-03-05 10:35:59.6, 5.990692, 2.704178, 200, 102.04
2018-03-05 10:36:14.7, 6.180176, 2.702611, 200, 102.0344
2018-03-05 10:36:29.7, 6.570618, 2.699388, 200, 102.0347
2018-03-05 10:36:44.8, 6.959259, 2.696188, 200, 102.0378
2018-03-05 10:36:59.9, 7.552551, 2.691317, 200, 102.0386
2018-03-05 10:37:15.0, 8.210602, 2.685935, 200, 102.0354
2018-03-05 10:37:30.1, 8.916443, 2.680187, 200, 102.0342
2018-03-05 10:37:45.1, 9.691833, 2.673899, 200, 102.0435
2018-03-05 10:38:00.2, 10.38113, 2.668335, 200, 102.0354
2018-03-05 10:38:15.3, 10.98309, 2.663495, 200, 102.0374
2018-03-05 10:38:30.4, 11.48886, 2.659441, 200, 102.0378
2018-03-05 10:38:45.4, 11.93558, 2.655871, 200, 102.0383
2018-03-05 10:39:00.5, 12.34396, 2.652616, 200, 102.0376
