Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-03-09 18:00:20.3, 100.3779, 2.10705, 200, 101.0212
2018-03-09 18:00:35.4, 100.1365, 2.108242, 200, 101.0308
2018-03-09 18:00:50.5, 99.879, 2.109515, 200, 101.0298
2018-03-09 18:01:05.5, 99.62927, 2.110752, 200, 101.0261
2018-03-09 18:01:20.6, 99.11523, 2.113301, 200, 101.0229
2018-03-09 18:01:35.7, 98.40735, 2.116822, 200, 101.0269
2018-03-09 18:01:50.8, 97.6171, 2.120767, 200, 101.0269
2018-03-09 18:02:05.8, 96.87537, 2.124482, 200, 101.0273
2018-03-09 18:02:20.9, 96.14478, 2.128155, 200, 101.0259
2018-03-09 18:02:36.0, 95.30756, 2.132379, 200, 101.0276
2018-03-09 18:02:51.1, 94.41873, 2.136883, 200, 101.0278
2018-03-09 18:03:06.2, 93.4986, 2.141564, 200, 101.0293
2018-03-09 18:03:21.2, 92.50882, 2.146623, 200, 101.0288
2018-03-09 18:03:36.3, 91.54727, 2.151561, 200, 101.0234
2018-03-09 18:03:51.4, 90.84055, 2.155205, 200, 101.0281
2018-03-09 18:04:06.4, 90.06479, 2.159219, 200, 101.0276
2018-03-09 18:04:21.5, 89.32974, 2.163036, 200, 101.0286
2018-03-09 18:04:36.6, 88.51703, 2.167272, 200, 101.0305
2018-03-09 18:04:51.7, 87.60382, 2.172051, 200, 101.0269
2018-03-09 18:05:06.7, 86.772, 2.176424, 200, 101.0349
2018-03-09 18:05:21.8, 85.89554, 2.18105, 200, 101.033
2018-03-09 18:05:36.9, 85.10626, 2.185232, 200, 101.0322
2018-03-09 18:05:52.0, 84.48187, 2.188552, 200, 101.0347
2018-03-09 18:06:07.1, 83.74707, 2.192472, 200, 101.0271
2018-03-09 18:06:22.1, 83.02945, 2.196315, 200, 101.0388
2018-03-09 18:06:37.2, 82.25229, 2.200491, 200, 101.0342
2018-03-09 18:06:52.3, 81.45099, 2.204813, 200, 101.0369
2018-03-09 18:07:07.4, 80.6358, 2.209228, 200, 101.0352
2018-03-09 18:07:22.4, 80.14847, 2.211876, 200, 101.0361
2018-03-09 18:07:37.5, 79.77921, 2.213886, 200, 101.0337
2018-03-09 18:07:52.6, 79.33536, 2.216308, 200, 101.0344
2018-03-09 18:08:07.7, 78.86652, 2.218871, 200, 101.0359
2018-03-09 18:08:22.7, 78.46588, 2.221066, 200, 101.0427
2018-03-09 18:08:37.8, 78.03964, 2.223407, 200, 101.0378
2018-03-09 18:08:52.9, 77.51263, 2.226307, 200, 101.0371
2018-03-09 18:09:08.0, 77.10373, 2.228563, 200, 101.0396
2018-03-09 18:09:23.0, 76.60123, 2.231341, 200, 101.0391
2018-03-09 18:09:38.1, 76.28644, 2.233085, 200, 101.0447
2018-03-09 18:09:53.2, 75.92188, 2.235109, 200, 101.0457
2018-03-09 18:10:08.3, 75.46802, 2.237632, 200, 101.0479
2018-03-09 18:10:23.3, 75.61221, 2.23683, 200, 101.0469
2018-03-09 18:10:38.4, 75.87997, 2.235341, 200, 101.0457
2018-03-09 18:10:53.5, 76.41748, 2.232359, 200, 101.0469
2018-03-09 18:11:08.6, 76.80817, 2.230196, 200, 101.0496
2018-03-09 18:11:23.6, 77.23804, 2.227822, 200, 101.0422
2018-03-09 18:11:38.7, 78.02774, 2.223472, 200, 101.0503
2018-03-09 18:11:53.8, 78.89758, 2.218701, 200, 101.0491
2018-03-09 18:12:08.9, 79.66245, 2.214523, 200, 101.0481
2018-03-09 18:12:23.9, 80.38159, 2.210608, 200, 101.0476
2018-03-09 18:12:38.9, 81.35632, 2.205325, 200, 101.0496
2018-03-09 18:12:54.0, 82.34921, 2.199969, 200, 101.0474
2018-03-09 18:13:09.1, 83.17102, 2.195555, 200, 101.052
2018-03-09 18:13:24.2, 83.77438, 2.192326, 200, 101.0481
2018-03-09 18:13:39.2, 84.50986, 2.188403, 200, 101.0486
2018-03-09 18:13:54.3, 85.42239, 2.183555, 200, 101.0442
2018-03-09 18:14:09.4, 86.1174, 2.179877, 200, 101.0469
2018-03-09 18:14:24.5, 86.57816, 2.177445, 200, 101.0498
2018-03-09 18:14:39.5, 87.06656, 2.174873, 200, 101.0471
2018-03-09 18:14:54.6, 87.68253, 2.171639, 200, 101.0496
2018-03-09 18:15:09.7, 88.31067, 2.16835, 200, 101.0493
2018-03-09 18:15:24.8, 88.86209, 2.165471, 200, 101.0513
2018-03-09 18:15:39.8, 89.14905, 2.163976, 200, 101.0474
2018-03-09 18:15:54.9, 89.34119, 2.162976, 200, 101.0476
2018-03-09 18:16:10.0, 89.5845, 2.161711, 200, 101.0476
2018-03-09 18:16:25.1, 89.81958, 2.160491, 200, 101.05
2018-03-09 18:16:40.1, 90.06345, 2.159226, 200, 101.0542
2018-03-09 18:16:55.2, 90.1636, 2.158706, 200, 101.0479
2018-03-09 18:17:10.3, 90.39319, 2.157518, 200, 101.0522
2018-03-09 18:17:25.4, 90.62848, 2.156301, 200, 101.0503
2018-03-09 18:17:41.1, 90.84772, 2.155168, 200, 101.0471
2018-03-09 18:17:56.1, 91.07291, 2.154006, 200, 101.0476
2018-03-09 18:18:11.2, 91.16525, 2.153529, 200, 101.0454
2018-03-09 18:18:26.3, 91.05954, 2.154074, 200, 101.0503
2018-03-09 18:18:41.4, 90.96164, 2.15458, 200, 101.0518
2018-03-09 18:18:56.4, 90.72668, 2.155793, 200, 101.053
2018-03-09 18:19:11.5, 90.29297, 2.158036, 200, 101.0496
2018-03-09 18:19:26.6, 89.83203, 2.160426, 200, 101.052
2018-03-09 18:19:41.6, 89.08911, 2.164288, 200, 101.0542
2018-03-09 18:19:56.7, 88.91577, 2.165191, 200, 101.0525
2018-03-09 18:20:11.8, 88.42203, 2.167768, 200, 101.0527
2018-03-09 18:20:26.9, 88.07788, 2.169568, 200, 101.0483
2018-03-09 18:20:42.0, 87.59567, 2.172094, 200, 101.0515
2018-03-09 18:20:57.0, 87.35294, 2.173368, 200, 101.0564
2018-03-09 18:21:12.0, 87.17578, 2.174299, 200, 101.0557
2018-03-09 18:21:27.1, 86.70605, 2.176771, 200, 101.0562
2018-03-09 18:21:42.2, 86.36609, 2.178564, 200, 101.0552
2018-03-09 18:21:57.2, 85.90967, 2.180975, 200, 101.052
2018-03-09 18:22:12.3, 85.62628, 2.182474, 200, 101.0557
2018-03-09 18:22:27.4, 85.03534, 2.185609, 200, 101.0552
2018-03-09 18:22:42.5, 84.48404, 2.188541, 200, 101.0554
2018-03-09 18:22:57.5, 83.89807, 2.191666, 200, 101.0593
2018-03-09 18:23:12.6, 83.32089, 2.194752, 200, 101.0549
2018-03-09 18:23:27.7, 82.66763, 2.198257, 200, 101.0554
2018-03-09 18:23:42.8, 82.08014, 2.201418, 200, 101.0571
2018-03-09 18:23:57.9, 81.42978, 2.204928, 200, 101.0559
2018-03-09 18:24:12.9, 80.95932, 2.207474, 200, 101.0557
2018-03-09 18:24:28.0, 80.86597, 2.20798, 200, 101.0579
2018-03-09 18:24:43.1, 80.66138, 2.209089, 200, 101.0564
2018-03-09 18:24:58.1, 80.18112, 2.211698, 200, 101.0581
2018-03-09 18:25:13.2, 79.83368, 2.213589, 200, 101.0549
2018-03-09 18:25:28.3, 79.41205, 2.215889, 200, 101.0569
2018-03-09 18:25:43.4, 79.1748, 2.217185, 200, 101.0603
2018-03-09 18:25:58.4, 78.70935, 2.219732, 200, 101.0642
2018-03-09 18:26:13.5, 78.47324, 2.221026, 200, 101.0574
2018-03-09 18:26:28.6, 78.18454, 2.222611, 200, 101.0608
2018-03-09 18:26:43.7, 77.99606, 2.223646, 200, 101.0603
2018-03-09 18:26:58.8, 78.06476, 2.223269, 200, 101.0662
2018-03-09 18:27:13.8, 78.30551, 2.221946, 200, 101.0598
2018-03-09 18:27:28.9, 78.91373, 2.218613, 200, 101.0637
2018-03-09 18:27:44.0, 79.87738, 2.213351, 200, 101.0586
2018-03-09 18:27:59.1, 80.61475, 2.209342, 200, 101.0652
2018-03-09 18:28:14.1, 81.41824, 2.20499, 200, 101.0615
2018-03-09 18:28:29.2, 82.3114, 2.200172, 200, 101.0649
2018-03-09 18:28:44.3, 83.22333, 2.195275, 200, 101.0659
2018-03-09 18:28:59.4, 84.18213, 2.19015, 200, 101.0645
2018-03-09 18:29:14.4, 84.99066, 2.185846, 200, 101.0649
2018-03-09 18:29:29.5, 85.63797, 2.182413, 200, 101.0664
2018-03-09 18:29:44.6, 86.38641, 2.178456, 200, 101.0649
2018-03-09 18:29:59.7, 86.98767, 2.175288, 200, 101.0654
2018-03-09 18:30:14.8, 87.75696, 2.171248, 200, 101.0671
2018-03-09 18:30:29.8, 88.3418, 2.168187, 200, 101.0637
2018-03-09 18:30:44.9, 88.84763, 2.165547, 200, 101.0691
2018-03-09 18:31:00.0, 89.52594, 2.162016, 200, 101.0684
2018-03-09 18:31:15.1, 90.22943, 2.158365, 200, 101.0732
2018-03-09 18:31:30.1, 90.67426, 2.156064, 200, 101.0681
2018-03-09 18:31:45.2, 90.93195, 2.154733, 200, 101.0671
2018-03-09 18:32:00.3, 91.42154, 2.152209, 200, 101.0693
2018-03-09 18:32:15.4, 91.66342, 2.150964, 200, 101.0706
2018-03-09 18:32:30.4, 91.939, 2.149547, 200, 101.071
2018-03-09 18:32:45.5, 92.21704, 2.148119, 200, 101.073
2018-03-09 18:33:00.6, 92.37753, 2.147296, 200, 101.0693
2018-03-09 18:33:15.7, 92.48639, 2.146738, 200, 101.071
2018-03-09 18:33:30.7, 92.59921, 2.14616, 200, 101.0688
2018-03-09 18:33:45.8, 92.64569, 2.145922, 200, 101.0732
2018-03-09 18:34:00.8, 92.56531, 2.146334, 200, 101.0688
2018-03-09 18:34:15.9, 92.39587, 2.147202, 200, 101.071
2018-03-09 18:34:30.9, 92.14478, 2.14849, 200, 101.0745
2018-03-09 18:34:46.0, 91.90912, 2.1497, 200, 101.0703
2018-03-09 18:35:01.1, 91.71225, 2.150712, 200, 101.0708
2018-03-09 18:35:16.2, 91.37805, 2.152432, 200, 101.0732
2018-03-09 18:35:31.2, 91.06909, 2.154025, 200, 101.0708
2018-03-09 18:35:46.3, 90.73279, 2.155761, 200, 101.071
2018-03-09 18:36:01.4, 90.20145, 2.15851, 200, 101.0659
2018-03-09 18:36:16.4, 89.87274, 2.160215, 200, 101.0752
2018-03-09 18:36:31.5, 89.57883, 2.161741, 200, 101.0767
2018-03-09 18:36:46.6, 89.16824, 2.163876, 200, 101.0732
2018-03-09 18:37:01.7, 88.57166, 2.166986, 200, 101.0735
2018-03-09 18:37:16.8, 88.15677, 2.169155, 200, 101.0745
2018-03-09 18:37:31.8, 87.75299, 2.171269, 200, 101.0745
2018-03-09 18:37:46.9, 87.27905, 2.173756, 200, 101.0732
2018-03-09 18:38:02.0, 86.99039, 2.175274, 200, 101.0767
2018-03-09 18:38:17.1, 86.57925, 2.177439, 200, 101.0745
2018-03-09 18:38:32.1, 86.19864, 2.179448, 200, 101.0791
2018-03-09 18:38:47.2, 85.79053, 2.181605, 200, 101.0735
2018-03-09 18:39:02.3, 85.35864, 2.183893, 200, 101.075
2018-03-09 18:39:17.4, 84.95053, 2.186059, 200, 101.0762
2018-03-09 18:39:32.4, 84.6041, 2.187901, 200, 101.074
2018-03-09 18:39:47.4, 84.29489, 2.189548, 200, 101.073
2018-03-09 18:40:02.5, 83.82358, 2.192064, 200, 101.0781
2018-03-09 18:40:17.6, 83.38031, 2.194434, 200, 101.0742
2018-03-09 18:40:32.7, 83.02032, 2.196363, 200, 101.0698
2018-03-09 18:40:47.7, 82.6572, 2.198313, 200, 101.0725
2018-03-09 18:41:02.8, 82.41333, 2.199624, 200, 101.0735
2018-03-09 18:41:17.9, 82.04996, 2.201581, 200, 101.074
2018-03-09 18:41:33.0, 81.53558, 2.204356, 200, 101.0691
2018-03-09 18:41:48.0, 81.10962, 2.20666, 200, 101.074
2018-03-09 18:42:03.1, 80.78656, 2.20841, 200, 101.0754
2018-03-09 18:42:18.2, 80.45844, 2.210191, 200, 101.0771
2018-03-09 18:42:33.3, 80.22205, 2.211476, 200, 101.0759
2018-03-09 18:42:48.3, 80.08054, 2.212245, 200, 101.0723
2018-03-09 18:43:03.4, 79.96686, 2.212864, 200, 101.075
2018-03-09 18:43:18.5, 80.16742, 2.211773, 200, 101.0774
2018-03-09 18:43:33.6, 80.67087, 2.209038, 200, 101.0715
2018-03-09 18:43:48.6, 81.39908, 2.205094, 200, 101.0752
