po2,do_percentSat,mo2_ms
149.5455,93.2109,2.444892086
143.2798,89.3055,2.475971223
137.3194,85.5904,2.031366906
131.8425,82.1767,2.512230216
125.4952,78.2205,2.362877698
118.8244,74.0626,2.518273381
112.0042,69.8116,2.964604317
103.568,64.5534,2.984460432
95.8321,59.7316,2.894676259
89.0772,55.5213,2.294676259
82.8812,51.6594,2.614100719
76.0832,47.4223,2.531223022
68.7408,42.8458,3.055251799
62.3218,38.8448,2.294676259
56.4501,35.185,2.238561151
51.1349,31.8721,1.905323741
46.3472,28.888,1.669640288
41.5898,25.9227,2.084892086
37.3102,23.2552,1.56
33.0235,20.5833,1.71971223
28.8169,17.9614,1.57381295
24.7715,15.4399,1.206906475
21.8303,13.6067,1.124892086
20.0717,12.5106,1.336402878
