Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-19 16:05:57.2, 95.19241, 2.264725, 200, 99.81714
2018-11-19 16:06:12.3, 95.40775, 2.263865, 200, 99.8186
2018-11-19 16:06:27.4, 95.60544, 2.263076, 200, 99.81421
2018-11-19 16:06:42.4, 95.66141, 2.262852, 200, 99.81738
2018-11-19 16:06:57.5, 96.16061, 2.260862, 200, 99.81812
2018-11-19 16:07:12.6, 96.1246, 2.261005, 200, 99.81689
2018-11-19 16:07:27.7, 96.06381, 2.261248, 200, 99.81763
2018-11-19 16:07:42.8, 95.858, 2.262068, 200, 99.81836
2018-11-19 16:07:57.8, 95.68533, 2.262757, 200, 99.81738
2018-11-19 16:08:12.9, 95.31772, 2.264225, 200, 99.81543
2018-11-19 16:08:28.0, 94.90964, 2.265856, 200, 99.81445
2018-11-19 16:08:43.0, 94.6055, 2.267074, 200, 99.81226
2018-11-19 16:08:58.1, 93.98972, 2.269543, 200, 99.81543
2018-11-19 16:09:13.2, 93.47653, 2.271605, 200, 99.81372
2018-11-19 16:09:28.3, 92.82303, 2.274236, 200, 99.81128
2018-11-19 16:09:43.4, 91.94333, 2.277787, 200, 99.81152
2018-11-19 16:09:58.4, 91.1727, 2.280908, 200, 99.81128
2018-11-19 16:10:13.5, 90.59573, 2.283249, 200, 99.81641
