Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-14 16:25:47.3, 97.92975, 2.261228, 200, 100.3691
2018-11-14 16:26:02.4, 98.12439, 2.260441, 200, 100.3718
2018-11-14 16:26:17.5, 98.12854, 2.260424, 200, 100.3713
2018-11-14 16:26:32.6, 98.18182, 2.260209, 200, 100.3708
2018-11-14 16:26:47.6, 98.2868, 2.259785, 200, 100.3691
2018-11-14 16:27:02.7, 98.19238, 2.260166, 200, 100.3684
2018-11-14 16:27:17.8, 97.86316, 2.261497, 200, 100.3721
2018-11-14 16:27:32.9, 97.56299, 2.262712, 200, 100.3718
2018-11-14 16:27:48.0, 97.53192, 2.262837, 200, 100.3711
2018-11-14 16:28:03.0, 97.19366, 2.264208, 200, 100.3701
2018-11-14 16:28:18.1, 96.95184, 2.265189, 200, 100.3757
2018-11-14 16:28:33.1, 96.7334, 2.266076, 200, 100.3721
2018-11-14 16:28:48.2, 96.12732, 2.268539, 200, 100.3689
2018-11-14 16:29:03.2, 95.65656, 2.270457, 200, 100.3679
2018-11-14 16:29:18.3, 95.0639, 2.272876, 200, 100.3716
2018-11-14 16:29:33.4, 94.43176, 2.275461, 200, 100.3733
2018-11-14 16:29:48.5, 93.86438, 2.277786, 200, 100.3706
2018-11-14 16:30:03.5, 93.06409, 2.281075, 200, 100.3723
2018-11-14 16:30:18.6, 92.22766, 2.284522, 200, 100.3674
2018-11-14 16:30:33.7, 91.44159, 2.287771, 200, 100.3662
2018-11-14 16:30:48.8, 90.86945, 2.290141, 200, 100.3713
