Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-28 14:28:57.1, 21.59903, 2.267934, 200, 99.56201
2018-11-28 14:29:07.2, 21.63785, 2.267768, 200, 99.56543
2018-11-28 14:29:17.3, 21.74271, 2.267319, 200, 99.56372
2018-11-28 14:29:27.4, 21.79092, 2.267113, 200, 99.56445
2018-11-28 14:29:37.5, 21.87106, 2.266771, 200, 99.56055
2018-11-28 14:29:47.6, 21.82834, 2.266953, 200, 99.56543
2018-11-28 14:29:57.7, 21.94217, 2.266467, 200, 99.56494
2018-11-28 14:30:07.7, 21.92429, 2.266543, 200, 99.56543
2018-11-28 14:30:17.8, 21.74435, 2.267312, 200, 99.56567
2018-11-28 14:30:27.9, 21.72372, 2.267401, 200, 99.56445
2018-11-28 14:30:38.0, 21.7485, 2.267295, 200, 99.56519
2018-11-28 14:30:48.1, 21.70828, 2.267467, 200, 99.56372
2018-11-28 14:30:58.1, 21.64194, 2.26775, 200, 99.56396
2018-11-28 14:31:08.2, 21.69748, 2.267513, 200, 99.56274
2018-11-28 14:31:18.3, 21.57053, 2.268056, 200, 99.56396
2018-11-28 14:31:28.4, 21.44052, 2.268612, 200, 99.56592
2018-11-28 14:31:38.5, 21.52597, 2.268246, 200, 99.56396
2018-11-28 14:31:48.6, 21.56039, 2.268099, 200, 99.56299
2018-11-28 14:31:58.6, 21.34024, 2.269041, 200, 99.56226
2018-11-28 14:32:08.7, 21.33115, 2.26908, 200, 99.56689
2018-11-28 14:32:18.8, 21.42868, 2.268663, 200, 99.56104
2018-11-28 14:32:28.9, 21.26065, 2.269382, 200, 99.55737
2018-11-28 14:32:38.9, 21.35684, 2.26897, 200, 99.56543
2018-11-28 14:32:49.0, 21.22018, 2.269556, 200, 99.56323
2018-11-28 14:32:59.0, 21.39255, 2.268817, 200, 99.56616
2018-11-28 14:33:09.1, 21.25949, 2.269387, 200, 99.56421
2018-11-28 14:33:19.1, 21.069, 2.270203, 200, 99.56128
2018-11-28 14:33:29.2, 20.97739, 2.270596, 200, 99.56494
2018-11-28 14:33:39.3, 20.99777, 2.270509, 200, 99.56299
2018-11-28 14:33:49.4, 20.90378, 2.270912, 200, 99.56226
2018-11-28 14:33:59.5, 20.95291, 2.270701, 200, 99.56421
2018-11-28 14:34:09.5, 20.74698, 2.271585, 200, 99.56372
2018-11-28 14:34:19.5, 20.67569, 2.27189, 200, 99.56226
2018-11-28 14:34:29.6, 20.46848, 2.27278, 200, 99.56079
2018-11-28 14:34:39.7, 20.34024, 2.273331, 200, 99.56152
2018-11-28 14:34:49.8, 20.46054, 2.272815, 200, 99.56445
2018-11-28 14:34:59.9, 20.26236, 2.273666, 200, 99.56421
2018-11-28 14:35:09.9, 20.17844, 2.274027, 200, 99.56323
2018-11-28 14:35:20.0, 20.18021, 2.274019, 200, 99.56763
2018-11-28 14:35:30.1, 19.95132, 2.275004, 200, 99.56323
2018-11-28 14:35:40.2, 19.96506, 2.274945, 200, 99.56323
2018-11-28 14:35:50.3, 19.8475, 2.275451, 200, 99.56348
2018-11-28 14:36:00.3, 19.74539, 2.275891, 200, 99.56348
2018-11-28 14:36:10.4, 19.80148, 2.275649, 200, 99.56323
2018-11-28 14:36:20.5, 19.53366, 2.276803, 200, 99.56104
2018-11-28 14:36:30.6, 19.50571, 2.276924, 200, 99.5603
2018-11-28 14:36:40.7, 19.55759, 2.2767, 200, 99.56104
2018-11-28 14:36:50.8, 19.21658, 2.278171, 200, 99.56128
2018-11-28 14:37:00.9, 19.16843, 2.278379, 200, 99.55859
2018-11-28 14:37:10.9, 19.00748, 2.279074, 200, 99.56396
2018-11-28 14:37:21.1, 18.97818, 2.279201, 200, 99.56079
2018-11-28 14:37:31.1, 18.97739, 2.279204, 200, 99.56104
2018-11-28 14:37:41.2, 18.90598, 2.279513, 200, 99.56348
2018-11-28 14:37:51.3, 18.6683, 2.28054, 200, 99.55933
2018-11-28 14:38:01.3, 18.57767, 2.280932, 200, 99.56152
2018-11-28 14:38:11.5, 18.67209, 2.280524, 200, 99.56323
2018-11-28 14:38:21.5, 18.40054, 2.281699, 200, 99.5603
2018-11-28 14:38:31.6, 18.3848, 2.281767, 200, 99.55737
2018-11-28 14:38:41.7, 18.25345, 2.282336, 200, 99.55981
2018-11-28 14:38:51.8, 18.23331, 2.282423, 200, 99.5625
2018-11-28 14:39:01.9, 18.17422, 2.282679, 200, 99.55908
2018-11-28 14:39:11.9, 18.20816, 2.282532, 200, 99.56323
2018-11-28 14:39:22.0, 18.08182, 2.28308, 200, 99.56079
2018-11-28 14:39:32.1, 17.95676, 2.283622, 200, 99.56152
