Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-21 14:27:11.4, 63.08087, 2.072352, 200, 99.59302
2018-11-21 14:27:21.5, 63.06677, 2.072406, 200, 99.59302
2018-11-21 14:27:31.5, 62.92847, 2.072931, 200, 99.59717
2018-11-21 14:27:41.6, 63.04303, 2.072496, 200, 99.5957
2018-11-21 14:27:51.7, 63.03442, 2.072529, 200, 99.59473
2018-11-21 14:28:01.8, 63.01453, 2.072604, 200, 99.5957
2018-11-21 14:28:11.8, 63.03137, 2.07254, 200, 99.59546
2018-11-21 14:28:21.9, 63.07251, 2.072384, 200, 99.59424
2018-11-21 14:28:31.9, 62.83728, 2.073277, 200, 99.59497
2018-11-21 14:28:41.9, 62.78778, 2.073465, 200, 99.59644
2018-11-21 14:28:52.0, 62.67096, 2.073909, 200, 99.59448
2018-11-21 14:29:02.1, 62.6026, 2.074168, 200, 99.59448
2018-11-21 14:29:12.1, 62.5343, 2.074428, 200, 99.59448
2018-11-21 14:29:22.3, 62.31818, 2.07525, 200, 99.59546
2018-11-21 14:29:32.3, 62.12616, 2.075981, 200, 99.59814
2018-11-21 14:29:42.4, 62.18732, 2.075748, 200, 99.59644
2018-11-21 14:29:52.5, 61.93982, 2.076691, 200, 99.59399
2018-11-21 14:30:02.6, 61.5799, 2.078063, 200, 99.59814
2018-11-21 14:30:12.7, 61.45508, 2.078539, 200, 99.59741
2018-11-21 14:30:22.8, 61.10461, 2.079878, 200, 99.59375
2018-11-21 14:30:32.8, 61.07092, 2.080006, 200, 99.59912
2018-11-21 14:30:42.9, 60.90466, 2.080642, 200, 99.59839
2018-11-21 14:30:53.0, 60.75372, 2.081219, 200, 99.5979
2018-11-21 14:31:03.1, 60.50989, 2.082153, 200, 99.5957
2018-11-21 14:31:13.2, 60.09802, 2.083732, 200, 99.59741
2018-11-21 14:31:23.3, 59.70374, 2.085245, 200, 99.59912
2018-11-21 14:31:33.3, 59.46973, 2.086145, 200, 99.59595
2018-11-21 14:31:43.4, 59.30957, 2.086761, 200, 99.59521
2018-11-21 14:31:53.5, 58.93475, 2.088203, 200, 99.59448
2018-11-21 14:32:03.5, 58.76184, 2.08887, 200, 99.59766
2018-11-21 14:32:13.6, 58.39319, 2.090292, 200, 99.59644
2018-11-21 14:32:23.7, 58.04932, 2.09162, 200, 99.59595
2018-11-21 14:32:33.9, 57.76953, 2.092702, 200, 99.59521
2018-11-21 14:32:44.0, 57.39606, 2.094148, 200, 99.59448
2018-11-21 14:32:54.2, 57.0683, 2.095419, 200, 99.59326
