Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-28 11:51:08.5, 41.98978, 2.183939, 200, 99.61157
2018-11-28 11:51:18.6, 41.92972, 2.184178, 200, 99.60815
2018-11-28 11:51:28.6, 42.13254, 2.183373, 200, 99.6084
2018-11-28 11:51:38.7, 42.03061, 2.183778, 200, 99.60962
2018-11-28 11:51:48.8, 41.9805, 2.183976, 200, 99.60962
2018-11-28 11:51:58.9, 41.76871, 2.184817, 200, 99.60767
2018-11-28 11:52:09.0, 41.64542, 2.185306, 200, 99.6084
2018-11-28 11:52:19.1, 41.54092, 2.185722, 200, 99.60864
2018-11-28 11:52:29.1, 41.48245, 2.185954, 200, 99.60693
2018-11-28 11:52:39.2, 41.41843, 2.186208, 200, 99.60889
2018-11-28 11:52:49.3, 41.08652, 2.187528, 200, 99.60718
2018-11-28 11:52:59.4, 40.8812, 2.188346, 200, 99.60864
2018-11-28 11:53:09.5, 40.67636, 2.189162, 200, 99.60718
2018-11-28 11:53:19.5, 40.23514, 2.190922, 200, 99.60889
2018-11-28 11:53:29.6, 40.1658, 2.191199, 200, 99.60791
2018-11-28 11:53:39.7, 39.84689, 2.192473, 200, 99.60596
2018-11-28 11:53:49.8, 39.43808, 2.194108, 200, 99.60986
2018-11-28 11:53:59.9, 39.048, 2.195671, 200, 99.60718
2018-11-28 11:54:10.0, 38.69278, 2.197096, 200, 99.60889
2018-11-28 11:54:20.0, 38.51688, 2.197803, 200, 99.60718
2018-11-28 11:54:30.1, 38.27219, 2.198786, 200, 99.60913
