Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-26 16:53:34.6, 21.08838, 2.594813, 200, 98.50439
2018-11-26 16:53:44.7, 21.08252, 2.594843, 200, 98.51099
2018-11-26 16:53:54.8, 21.07748, 2.594869, 200, 98.50513
2018-11-26 16:54:04.9, 21.17783, 2.594351, 200, 98.51025
2018-11-26 16:54:15.0, 21.12888, 2.594604, 200, 98.51636
2018-11-26 16:54:25.0, 21.22635, 2.5941, 200, 98.50928
2018-11-26 16:54:35.1, 21.10962, 2.594703, 200, 98.51099
2018-11-26 16:54:45.2, 21.15182, 2.594485, 200, 98.5061
2018-11-26 16:54:55.3, 21.11206, 2.594691, 200, 98.50879
2018-11-26 16:55:05.4, 21.07089, 2.594903, 200, 98.50366
2018-11-26 16:55:15.5, 20.91519, 2.595708, 200, 98.50562
2018-11-26 16:55:25.6, 20.90344, 2.595768, 200, 98.50513
2018-11-26 16:55:35.6, 20.89114, 2.595832, 200, 98.50391
2018-11-26 16:55:45.8, 20.76242, 2.596498, 200, 98.50903
2018-11-26 16:55:55.8, 20.75101, 2.596557, 200, 98.50635
2018-11-26 16:56:05.9, 20.73508, 2.596639, 200, 98.51025
2018-11-26 16:56:16.0, 20.51651, 2.59777, 200, 98.50586
2018-11-26 16:56:26.1, 20.49417, 2.597886, 200, 98.50781
2018-11-26 16:56:36.1, 20.40933, 2.598325, 200, 98.51538
2018-11-26 16:56:46.2, 20.26569, 2.59907, 200, 98.51855
2018-11-26 16:56:56.3, 20.14844, 2.599677, 200, 98.51489
2018-11-26 16:57:06.4, 20.00439, 2.600425, 200, 98.50513
2018-11-26 16:57:16.5, 19.87469, 2.601098, 200, 98.50415
2018-11-26 16:57:26.6, 19.73907, 2.601802, 200, 98.51318
2018-11-26 16:57:36.7, 19.51462, 2.602968, 200, 98.50903
2018-11-26 16:57:46.7, 19.50119, 2.603038, 200, 98.51099
2018-11-26 16:57:56.8, 19.2229, 2.604486, 200, 98.51147
2018-11-26 16:58:06.9, 19.20633, 2.604572, 200, 98.50854
2018-11-26 16:58:17.0, 18.93985, 2.605959, 200, 98.51221
