Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-28 11:13:24.5, 63.99356, 2.100012, 200, 99.62231
2018-11-28 11:13:34.6, 64.1174, 2.099558, 200, 99.62354
2018-11-28 11:13:44.6, 64.13058, 2.099509, 200, 99.625
2018-11-28 11:13:54.7, 64.02621, 2.099892, 200, 99.62061
2018-11-28 11:14:04.8, 63.94315, 2.100197, 200, 99.62646
2018-11-28 11:14:14.9, 64.12772, 2.09952, 200, 99.62476
2018-11-28 11:14:25.0, 63.91776, 2.10029, 200, 99.62549
2018-11-28 11:14:35.1, 63.63779, 2.101318, 200, 99.62305
2018-11-28 11:14:45.1, 63.63242, 2.101337, 200, 99.62305
2018-11-28 11:14:55.2, 63.43356, 2.102068, 200, 99.62256
2018-11-28 11:15:05.3, 62.92801, 2.103927, 200, 99.62427
2018-11-28 11:15:15.4, 62.74246, 2.10461, 200, 99.62573
2018-11-28 11:15:25.5, 62.34677, 2.106069, 200, 99.62329
2018-11-28 11:15:35.5, 61.83725, 2.10795, 200, 99.61914
2018-11-28 11:15:46.0, 61.53598, 2.109064, 200, 99.62061
2018-11-28 11:15:56.0, 60.91977, 2.111346, 200, 99.62085
2018-11-28 11:16:06.1, 60.4487, 2.113094, 200, 99.6228
2018-11-28 11:16:16.2, 59.9556, 2.114927, 200, 99.62329
2018-11-28 11:16:26.3, 59.56705, 2.116373, 200, 99.62158
2018-11-28 11:16:36.4, 58.94357, 2.118698, 200, 99.62061
2018-11-28 11:16:46.5, 58.25119, 2.121286, 200, 99.62305
2018-11-28 11:16:56.5, 57.7471, 2.123174, 200, 99.62183
2018-11-28 11:17:06.6, 57.08737, 2.125651, 200, 99.625
2018-11-28 11:17:16.7, 56.358, 2.128395, 200, 99.62402
2018-11-28 11:17:26.8, 55.88943, 2.130162, 200, 99.62134
