Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-14 16:50:28.2, 98.29254, 2.259762, 200, 100.3997
2018-11-14 16:50:43.3, 98.39099, 2.259364, 200, 100.395
2018-11-14 16:50:58.3, 98.63098, 2.258396, 200, 100.3982
2018-11-14 16:51:13.4, 98.59912, 2.258524, 200, 100.4014
2018-11-14 16:51:28.5, 98.73364, 2.257982, 200, 100.3989
2018-11-14 16:51:43.5, 98.75867, 2.257881, 200, 100.4067
2018-11-14 16:51:58.6, 98.7265, 2.25801, 200, 100.4021
2018-11-14 16:52:13.7, 98.59595, 2.258537, 200, 100.3984
2018-11-14 16:52:28.7, 98.55798, 2.25869, 200, 100.3994
2018-11-14 16:52:43.7, 98.56183, 2.258675, 200, 100.4058
2018-11-14 16:52:58.8, 98.5473, 2.258733, 200, 100.3984
2018-11-14 16:53:13.9, 98.29352, 2.259758, 200, 100.3982
2018-11-14 16:53:29.0, 98.39893, 2.259332, 200, 100.3945
2018-11-14 16:53:44.1, 98.08795, 2.260588, 200, 100.4026
2018-11-14 16:53:59.1, 97.98688, 2.260997, 200, 100.4038
2018-11-14 16:54:14.2, 97.84344, 2.261577, 200, 100.3992
2018-11-14 16:54:29.3, 97.68793, 2.262206, 200, 100.3987
2018-11-14 16:54:44.3, 97.5022, 2.262958, 200, 100.3992
2018-11-14 16:54:59.4, 97.37909, 2.263457, 200, 100.4055
2018-11-14 16:55:14.5, 97.22736, 2.264071, 200, 100.4058
2018-11-14 16:55:29.6, 96.87036, 2.265519, 200, 100.4089
2018-11-14 16:55:44.7, 96.73187, 2.266082, 200, 100.4055
2018-11-14 16:55:59.7, 96.4942, 2.267047, 200, 100.4072
2018-11-14 16:56:14.8, 96.21448, 2.268185, 200, 100.4075
2018-11-14 16:56:29.9, 96.0354, 2.268914, 200, 100.4102
2018-11-14 16:56:45.0, 95.64301, 2.270512, 200, 100.4111
2018-11-14 16:57:00.1, 95.41998, 2.271422, 200, 100.4128
2018-11-14 16:57:15.1, 95.18982, 2.272361, 200, 100.4121
2018-11-14 16:57:30.2, 94.97968, 2.27322, 200, 100.4092
2018-11-14 16:57:45.2, 94.69379, 2.274389, 200, 100.4104
2018-11-14 16:58:00.3, 94.30981, 2.27596, 200, 100.416
2018-11-14 16:58:15.3, 94.02026, 2.277147, 200, 100.4155
