Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-26 13:52:07.8, 64.78171, 2.387165, 200, 98.65259
2018-11-26 13:52:17.9, 64.88577, 2.38671, 200, 98.65161
2018-11-26 13:52:28.0, 64.86435, 2.386804, 200, 98.65161
2018-11-26 13:52:38.1, 65.01602, 2.386141, 200, 98.65112
2018-11-26 13:52:48.2, 64.93893, 2.386478, 200, 98.6499
2018-11-26 13:52:58.2, 64.90298, 2.386635, 200, 98.65088
2018-11-26 13:53:08.2, 64.75638, 2.387276, 200, 98.65454
2018-11-26 13:53:18.3, 64.64584, 2.387759, 200, 98.65381
2018-11-26 13:53:28.4, 64.29269, 2.389305, 200, 98.64746
2018-11-26 13:53:38.5, 64.10611, 2.390122, 200, 98.64844
2018-11-26 13:53:48.6, 63.87527, 2.391135, 200, 98.65405
2018-11-26 13:53:58.7, 63.48544, 2.392846, 200, 98.65088
2018-11-26 13:54:08.7, 63.25217, 2.393871, 200, 98.64917
2018-11-26 13:54:18.8, 62.86099, 2.395592, 200, 98.64868
2018-11-26 13:54:29.0, 62.41214, 2.39757, 200, 98.64819
2018-11-26 13:54:39.0, 61.97507, 2.399499, 200, 98.64526
2018-11-26 13:54:49.1, 61.50558, 2.401575, 200, 98.64478
2018-11-26 13:54:59.2, 60.9166, 2.404184, 200, 98.646
2018-11-26 13:55:09.2, 60.47238, 2.406156, 200, 98.64551
2018-11-26 13:55:19.3, 59.86978, 2.408835, 200, 98.64331
2018-11-26 13:55:29.4, 59.39847, 2.410935, 200, 98.64722
2018-11-26 13:55:39.5, 58.82327, 2.413503, 200, 98.64697
2018-11-26 13:55:49.6, 58.23819, 2.416121, 200, 98.65063
2018-11-26 13:55:59.7, 57.58365, 2.419056, 200, 98.64502
2018-11-26 13:56:09.7, 57.09232, 2.421264, 200, 98.64575
2018-11-26 13:56:19.8, 56.55466, 2.423685, 200, 98.646
2018-11-26 13:56:29.9, 55.9733, 2.426308, 200, 98.64551
2018-11-26 13:56:40.0, 55.45651, 2.428644, 200, 98.64575
