Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-26 16:32:14.3, 23.25854, 2.583651, 200, 98.51929
2018-11-26 16:32:24.4, 23.11356, 2.584393, 200, 98.52759
2018-11-26 16:32:34.4, 23.08725, 2.584528, 200, 98.52026
2018-11-26 16:32:44.5, 23.18417, 2.584031, 200, 98.5271
2018-11-26 16:32:54.6, 23.22406, 2.583827, 200, 98.52881
2018-11-26 16:33:04.7, 23.2699, 2.583592, 200, 98.52612
2018-11-26 16:33:14.8, 23.21988, 2.583849, 200, 98.52515
2018-11-26 16:33:24.9, 23.25095, 2.583689, 200, 98.52222
2018-11-26 16:33:34.9, 23.15436, 2.584184, 200, 98.52808
2018-11-26 16:33:45.0, 23.13342, 2.584291, 200, 98.53369
2018-11-26 16:33:55.1, 23.01599, 2.584893, 200, 98.53394
2018-11-26 16:34:05.2, 23.04572, 2.584741, 200, 98.53101
2018-11-26 16:34:15.3, 22.85095, 2.58574, 200, 98.53076
2018-11-26 16:34:25.4, 22.8981, 2.585498, 200, 98.53271
2018-11-26 16:34:35.5, 22.73175, 2.586351, 200, 98.52417
2018-11-26 16:34:45.5, 22.66583, 2.58669, 200, 98.52612
2018-11-26 16:34:55.6, 22.66504, 2.586694, 200, 98.52856
2018-11-26 16:35:05.7, 22.50812, 2.587499, 200, 98.52783
2018-11-26 16:35:15.8, 22.3031, 2.588553, 200, 98.52686
2018-11-26 16:35:25.8, 22.23419, 2.588907, 200, 98.53296
2018-11-26 16:35:36.0, 22.13199, 2.589433, 200, 98.52539
2018-11-26 16:35:46.1, 22.00662, 2.590078, 200, 98.53003
2018-11-26 16:35:56.1, 21.99637, 2.590131, 200, 98.53101
2018-11-26 16:36:06.2, 21.75916, 2.591352, 200, 98.5332
2018-11-26 16:36:16.3, 21.67368, 2.591793, 200, 98.52954
2018-11-26 16:36:26.4, 21.61218, 2.59211, 200, 98.53369
2018-11-26 16:36:36.5, 21.41779, 2.593112, 200, 98.53027
2018-11-26 16:36:46.6, 21.22604, 2.594102, 200, 98.51953
2018-11-26 16:36:56.6, 21.22028, 2.594132, 200, 98.51929
2018-11-26 16:37:06.7, 20.87338, 2.595924, 200, 98.51733
2018-11-26 16:37:16.8, 20.88669, 2.595855, 200, 98.51392
2018-11-26 16:37:26.9, 20.65262, 2.597066, 200, 98.51855
2018-11-26 16:37:37.0, 20.42914, 2.598223, 200, 98.51563
2018-11-26 16:37:47.0, 20.37985, 2.598478, 200, 98.51392
2018-11-26 16:37:57.1, 20.18182, 2.599504, 200, 98.51758
2018-11-26 16:38:07.2, 20.02103, 2.600338, 200, 98.51855
2018-11-26 16:38:17.4, 19.74371, 2.601778, 200, 98.51514
2018-11-26 16:38:27.4, 19.63879, 2.602323, 200, 98.51538
2018-11-26 16:38:37.5, 19.38748, 2.603629, 200, 98.51416
2018-11-26 16:38:47.6, 19.19949, 2.604607, 200, 98.51196
2018-11-26 16:38:57.6, 19.02997, 2.60549, 200, 98.51758
2018-11-26 16:39:07.7, 18.90588, 2.606136, 200, 98.51196
2018-11-26 16:39:17.9, 18.67368, 2.607347, 200, 98.51318
2018-11-26 16:39:27.9, 18.26294, 2.609491, 200, 98.51025
2018-11-26 16:39:38.0, 18.20276, 2.609805, 200, 98.51172
2018-11-26 16:39:48.1, 17.96344, 2.611057, 200, 98.51294
2018-11-26 16:39:58.1, 17.85959, 2.6116, 200, 98.50977
2018-11-26 16:40:08.2, 17.52176, 2.613369, 200, 98.50562
2018-11-26 16:40:18.2, 17.44421, 2.613775, 200, 98.50415
2018-11-26 16:40:28.3, 17.22473, 2.614926, 200, 98.50391
2018-11-26 16:40:38.4, 16.98615, 2.616179, 200, 98.51611
