Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-21 12:03:01.5, 84.91321, 1.992702, 200, 99.62769
2018-11-21 12:03:11.6, 84.77618, 1.993183, 200, 99.62744
2018-11-21 12:03:21.6, 84.89111, 1.992779, 200, 99.63086
2018-11-21 12:03:31.7, 85.00916, 1.992365, 200, 99.62915
2018-11-21 12:03:41.8, 84.80255, 1.99309, 200, 99.63208
2018-11-21 12:03:51.9, 84.55566, 1.993957, 200, 99.63135
2018-11-21 12:04:02.0, 84.28607, 1.994904, 200, 99.63354
2018-11-21 12:04:12.1, 84.20209, 1.995199, 200, 99.62964
2018-11-21 12:04:22.1, 83.97992, 1.995981, 200, 99.62842
2018-11-21 12:04:32.2, 83.69391, 1.996988, 200, 99.62524
2018-11-21 12:04:42.3, 83.43097, 1.997915, 200, 99.62476
2018-11-21 12:04:52.4, 83.0014, 1.999431, 200, 99.6272
2018-11-21 12:05:02.5, 82.83795, 2.000009, 200, 99.625
2018-11-21 12:05:12.5, 82.32263, 2.001831, 200, 99.62793
2018-11-21 12:05:22.7, 81.74982, 2.003861, 200, 99.62671
2018-11-21 12:05:32.7, 81.42749, 2.005005, 200, 99.62231
2018-11-21 12:05:42.8, 80.98749, 2.006569, 200, 99.62549
2018-11-21 12:05:52.8, 80.6861, 2.007642, 200, 99.61768
2018-11-21 12:06:02.9, 80.10846, 2.009701, 200, 99.62427
2018-11-21 12:06:13.0, 79.63043, 2.011408, 200, 99.62524
2018-11-21 12:06:23.1, 78.99231, 2.013691, 200, 99.62378
2018-11-21 12:06:33.1, 78.47345, 2.015552, 200, 99.62207
2018-11-21 12:06:43.2, 77.70685, 2.018307, 200, 99.61841
2018-11-21 12:06:53.3, 77.177, 2.020216, 200, 99.62012
2018-11-21 12:07:03.4, 76.65375, 2.022104, 200, 99.62207
2018-11-21 12:07:13.5, 75.94965, 2.024651, 200, 99.62231
2018-11-21 12:07:23.5, 75.17322, 2.027466, 200, 99.62134
