Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-26 11:25:20.5, 84.66522, 2.027436, 200, 99.86157
2018-11-26 11:25:30.6, 84.60559, 2.027642, 200, 99.86548
2018-11-26 11:25:40.7, 84.56531, 2.027781, 200, 99.86499
2018-11-26 11:25:50.8, 84.39429, 2.028373, 200, 99.86401
2018-11-26 11:26:00.8, 84.40021, 2.028352, 200, 99.86401
2018-11-26 11:26:10.8, 84.24866, 2.028877, 200, 99.85962
2018-11-26 11:26:21.0, 84.19342, 2.029068, 200, 99.85767
2018-11-26 11:26:31.1, 83.85553, 2.030239, 200, 99.85767
2018-11-26 11:26:41.2, 83.41241, 2.031777, 200, 99.85278
2018-11-26 11:26:51.3, 83.15314, 2.032677, 200, 99.85132
2018-11-26 11:27:01.3, 82.58221, 2.034664, 200, 99.85278
2018-11-26 11:27:11.4, 82.21057, 2.035959, 200, 99.85376
2018-11-26 11:27:21.5, 81.52985, 2.038335, 200, 99.84717
2018-11-26 11:27:31.6, 80.93005, 2.040433, 200, 99.85181
2018-11-26 11:27:41.7, 80.18781, 2.043036, 200, 99.85132
2018-11-26 11:27:51.8, 79.57996, 2.045172, 200, 99.8501
2018-11-26 11:28:01.8, 78.44995, 2.049156, 200, 99.854
2018-11-26 11:28:11.9, 77.81323, 2.051407, 200, 99.85107
2018-11-26 11:28:22.0, 76.85596, 2.054801, 200, 99.85107
2018-11-26 11:28:32.1, 75.87891, 2.058277, 200, 99.85254
