Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-21 16:05:19.5, 22.06555, 2.240603, 200, 99.57544
2018-11-21 16:05:29.5, 22.10483, 2.240429, 200, 99.57642
2018-11-21 16:05:39.6, 22.15988, 2.240185, 200, 99.57739
2018-11-21 16:05:49.7, 22.13794, 2.240282, 200, 99.57495
2018-11-21 16:05:59.8, 22.14273, 2.240261, 200, 99.57495
2018-11-21 16:06:09.9, 22.21564, 2.239938, 200, 99.57617
2018-11-21 16:06:19.9, 22.21252, 2.239952, 200, 99.57471
2018-11-21 16:06:30.0, 22.09372, 2.240479, 200, 99.57739
2018-11-21 16:06:40.1, 22.02472, 2.240784, 200, 99.57593
2018-11-21 16:06:50.2, 22.01654, 2.240821, 200, 99.57495
2018-11-21 16:07:00.3, 21.84653, 2.241575, 200, 99.573
2018-11-21 16:07:10.4, 21.98865, 2.240944, 200, 99.57397
2018-11-21 16:07:20.4, 21.94208, 2.241151, 200, 99.57446
2018-11-21 16:07:30.5, 21.86459, 2.241495, 200, 99.57373
2018-11-21 16:07:40.6, 21.61505, 2.242603, 200, 99.57397
2018-11-21 16:07:50.7, 21.70789, 2.242191, 200, 99.57373
2018-11-21 16:08:00.7, 21.45621, 2.243309, 200, 99.57202
2018-11-21 16:08:10.8, 21.58032, 2.242758, 200, 99.5708
2018-11-21 16:08:20.9, 21.31418, 2.243941, 200, 99.57178
2018-11-21 16:08:31.0, 21.27176, 2.244129, 200, 99.57129
2018-11-21 16:08:41.0, 21.15335, 2.244657, 200, 99.57031
2018-11-21 16:08:51.1, 21.06604, 2.245045, 200, 99.57227
2018-11-21 16:09:01.2, 21.0195, 2.245252, 200, 99.57227
2018-11-21 16:09:11.3, 20.91797, 2.245705, 200, 99.57129
2018-11-21 16:09:21.4, 20.79672, 2.246245, 200, 99.57251
2018-11-21 16:09:31.4, 20.76044, 2.246407, 200, 99.57422
2018-11-21 16:09:41.5, 20.66431, 2.246835, 200, 99.57056
2018-11-21 16:09:51.6, 20.35056, 2.248235, 200, 99.57202
2018-11-21 16:10:01.7, 20.03271, 2.249656, 200, 99.57324
2018-11-21 16:10:11.8, 20.00119, 2.249797, 200, 99.57397
2018-11-21 16:10:21.8, 19.74716, 2.250933, 200, 99.57129
2018-11-21 16:10:31.9, 19.72971, 2.251011, 200, 99.57104
2018-11-21 16:10:42.0, 19.34464, 2.252736, 200, 99.57056
2018-11-21 16:10:52.0, 19.2623, 2.253106, 200, 99.57422
2018-11-21 16:11:02.1, 18.87878, 2.254827, 200, 99.57227
2018-11-21 16:11:12.2, 18.94846, 2.254514, 200, 99.57104
2018-11-21 16:11:22.3, 18.74454, 2.25543, 200, 99.573
2018-11-21 16:11:32.3, 18.59628, 2.256097, 200, 99.57495
2018-11-21 16:11:42.4, 18.50305, 2.256516, 200, 99.57275
2018-11-21 16:11:52.6, 18.31287, 2.257372, 200, 99.57129
2018-11-21 16:12:02.6, 18.3905, 2.257022, 200, 99.57446
2018-11-21 16:12:12.7, 18.21198, 2.257826, 200, 99.57349
2018-11-21 16:12:22.8, 18.13565, 2.25817, 200, 99.57153
