Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-28 11:36:55.2, 43.3558, 2.178535, 200, 99.60962
2018-11-28 11:37:05.3, 43.44437, 2.178185, 200, 99.61133
2018-11-28 11:37:15.4, 43.42435, 2.178264, 200, 99.61157
2018-11-28 11:37:25.4, 43.44388, 2.178187, 200, 99.61084
2018-11-28 11:37:35.4, 43.47122, 2.178079, 200, 99.6123
2018-11-28 11:37:45.5, 43.59677, 2.177584, 200, 99.60962
2018-11-28 11:37:55.5, 43.60379, 2.177556, 200, 99.60913
2018-11-28 11:38:05.6, 43.53983, 2.177808, 200, 99.61157
2018-11-28 11:38:15.7, 43.51181, 2.177919, 200, 99.60889
2018-11-28 11:38:25.8, 43.41714, 2.178292, 200, 99.61084
2018-11-28 11:38:35.8, 43.4169, 2.178293, 200, 99.61084
2018-11-28 11:38:45.9, 43.06821, 2.17967, 200, 99.61084
2018-11-28 11:38:56.0, 43.01779, 2.179869, 200, 99.6106
2018-11-28 11:39:06.1, 43.01083, 2.179897, 200, 99.61328
2018-11-28 11:39:16.2, 42.54495, 2.18174, 200, 99.6106
2018-11-28 11:39:26.3, 42.4426, 2.182145, 200, 99.60693
2018-11-28 11:39:36.4, 42.23294, 2.182975, 200, 99.61157
2018-11-28 11:39:46.4, 41.8923, 2.184326, 200, 99.60913
2018-11-28 11:39:56.5, 41.6857, 2.185147, 200, 99.61108
2018-11-28 11:40:06.5, 41.392, 2.186313, 200, 99.60669
2018-11-28 11:40:16.5, 40.9902, 2.187912, 200, 99.60767
2018-11-28 11:40:26.6, 40.68747, 2.189118, 200, 99.61133
2018-11-28 11:40:36.7, 40.43442, 2.190126, 200, 99.61255
2018-11-28 11:40:46.8, 40.07126, 2.191576, 200, 99.61011
2018-11-28 11:40:56.8, 39.76913, 2.192784, 200, 99.61035
2018-11-28 11:41:06.9, 39.27457, 2.194763, 200, 99.6084
2018-11-28 11:41:17.0, 38.92081, 2.196181, 200, 99.60815
2018-11-28 11:41:27.1, 38.63663, 2.197322, 200, 99.60938
2018-11-28 11:41:37.2, 38.23264, 2.198945, 200, 99.60767
2018-11-28 11:41:47.2, 37.78244, 2.200757, 200, 99.60962
2018-11-28 11:41:57.3, 37.51309, 2.201843, 200, 99.61133
2018-11-28 11:42:07.4, 37.14005, 2.203348, 200, 99.60767
2018-11-28 11:42:17.5, 36.70486, 2.205106, 200, 99.60767
