Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-23 11:37:21.0, 85.16916, 2.003045, 200, 99.27832
2018-11-23 11:37:31.1, 85.34232, 2.002448, 200, 99.27979
2018-11-23 11:37:41.1, 85.20682, 2.002915, 200, 99.28516
2018-11-23 11:37:51.2, 85.21188, 2.002898, 200, 99.28149
2018-11-23 11:38:01.3, 85.27011, 2.002697, 200, 99.28345
2018-11-23 11:38:11.4, 85.17325, 2.003031, 200, 99.28271
2018-11-23 11:38:21.5, 85.04575, 2.003471, 200, 99.27612
2018-11-23 11:38:31.5, 84.78818, 2.00436, 200, 99.2793
2018-11-23 11:38:41.6, 84.70609, 2.004643, 200, 99.27759
2018-11-23 11:38:51.7, 84.59262, 2.005035, 200, 99.27954
2018-11-23 11:39:01.8, 84.29892, 2.006051, 200, 99.27881
2018-11-23 11:39:11.9, 84.0455, 2.006927, 200, 99.27905
2018-11-23 11:39:22.0, 83.84329, 2.007627, 200, 99.27808
2018-11-23 11:39:32.0, 83.44144, 2.009021, 200, 99.27563
2018-11-23 11:39:42.1, 83.09091, 2.010237, 200, 99.27783
2018-11-23 11:39:52.2, 82.63925, 2.011807, 200, 99.27979
2018-11-23 11:40:02.3, 82.358, 2.012786, 200, 99.28101
2018-11-23 11:40:12.4, 81.85037, 2.014555, 200, 99.28052
2018-11-23 11:40:22.4, 81.13779, 2.017043, 200, 99.2793
2018-11-23 11:40:32.6, 80.62344, 2.018843, 200, 99.27686
2018-11-23 11:40:42.6, 80.12912, 2.020576, 200, 99.27905
2018-11-23 11:40:52.7, 79.32303, 2.023408, 200, 99.27344
2018-11-23 11:41:02.8, 79.02737, 2.024449, 200, 99.2771
2018-11-23 11:41:12.9, 78.36661, 2.026779, 200, 99.27368
2018-11-23 11:41:23.0, 78.00064, 2.028072, 200, 99.27295
2018-11-23 11:41:33.1, 77.31308, 2.030505, 200, 99.27783
2018-11-23 11:41:43.1, 76.66934, 2.032789, 200, 99.27612
2018-11-23 11:41:53.2, 76.11862, 2.034747, 200, 99.27417
2018-11-23 11:42:03.3, 75.56418, 2.036721, 200, 99.2749
