Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-19 16:16:48.4, 98.29794, 2.25238, 200, 99.80908
2018-11-19 16:17:03.4, 98.48282, 2.251649, 200, 99.80933
2018-11-19 16:17:18.5, 98.53311, 2.251451, 200, 99.81079
2018-11-19 16:17:33.6, 98.52805, 2.251471, 200, 99.80933
2018-11-19 16:17:48.7, 98.56259, 2.251334, 200, 99.81348
2018-11-19 16:18:03.8, 98.24564, 2.252587, 200, 99.81348
2018-11-19 16:18:18.8, 97.97946, 2.25364, 200, 99.80981
2018-11-19 16:18:33.9, 97.79996, 2.254351, 200, 99.81177
2018-11-19 16:18:49.0, 97.20352, 2.256715, 200, 99.81226
2018-11-19 16:19:04.1, 96.7377, 2.258566, 200, 99.81006
2018-11-19 16:19:19.1, 96.0488, 2.261307, 200, 99.81055
2018-11-19 16:19:34.2, 95.4711, 2.263612, 200, 99.81128
2018-11-19 16:19:49.3, 94.81882, 2.26622, 200, 99.81348
2018-11-19 16:20:04.3, 94.06589, 2.269237, 200, 99.81323
2018-11-19 16:20:19.4, 93.40756, 2.271882, 200, 99.81323
2018-11-19 16:20:34.5, 92.46658, 2.275674, 200, 99.81079
2018-11-19 16:20:49.6, 91.53378, 2.279444, 200, 99.81177
2018-11-19 16:21:04.7, 90.85178, 2.28221, 200, 99.81323
