Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-30 09:36:56.0, 84.35294, 2.031329, 200, 99.61841
2018-11-30 09:37:06.1, 84.45419, 2.030981, 200, 99.62109
2018-11-30 09:37:16.2, 84.40164, 2.031162, 200, 99.61865
2018-11-30 09:37:26.2, 84.30087, 2.031508, 200, 99.62427
2018-11-30 09:37:36.3, 84.2756, 2.031595, 200, 99.62207
2018-11-30 09:37:46.4, 84.18192, 2.031917, 200, 99.61743
2018-11-30 09:37:56.5, 84.01932, 2.032476, 200, 99.62305
2018-11-30 09:38:06.6, 83.81033, 2.033195, 200, 99.62085
2018-11-30 09:38:16.7, 83.66544, 2.033694, 200, 99.61914
2018-11-30 09:38:26.7, 83.25662, 2.035103, 200, 99.62012
2018-11-30 09:38:36.8, 82.92105, 2.036261, 200, 99.62134
2018-11-30 09:38:46.9, 82.69626, 2.037037, 200, 99.61963
2018-11-30 09:38:57.0, 82.12631, 2.039008, 200, 99.61987
2018-11-30 09:39:07.1, 81.43564, 2.041402, 200, 99.62061
2018-11-30 09:39:17.1, 80.92294, 2.043183, 200, 99.61865
2018-11-30 09:39:27.1, 80.15555, 2.045854, 200, 99.62207
2018-11-30 09:39:37.2, 79.36691, 2.048606, 200, 99.62231
2018-11-30 09:39:47.3, 78.84207, 2.050442, 200, 99.61865
2018-11-30 09:39:57.4, 78.14365, 2.05289, 200, 99.61914
2018-11-30 09:40:07.5, 77.30832, 2.055825, 200, 99.61792
2018-11-30 09:40:17.6, 76.5231, 2.058592, 200, 99.61938
