Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-21 13:54:44.9, 65.70654, 2.062438, 200, 99.59595
2018-11-21 13:54:54.9, 65.67603, 2.062553, 200, 99.59473
2018-11-21 13:55:05.0, 65.59698, 2.06285, 200, 99.59473
2018-11-21 13:55:15.1, 65.65411, 2.062635, 200, 99.59595
2018-11-21 13:55:25.2, 65.52924, 2.063104, 200, 99.59619
2018-11-21 13:55:35.3, 65.7951, 2.062105, 200, 99.59766
2018-11-21 13:55:45.4, 65.68188, 2.062531, 200, 99.59863
2018-11-21 13:55:55.5, 65.71246, 2.062416, 200, 99.5979
2018-11-21 13:56:05.6, 65.90234, 2.061702, 200, 99.59961
2018-11-21 13:56:15.6, 65.48993, 2.063252, 200, 99.60059
2018-11-21 13:56:25.7, 65.49542, 2.063231, 200, 99.59668
2018-11-21 13:56:35.8, 65.36078, 2.063738, 200, 99.59692
2018-11-21 13:56:45.8, 65.42163, 2.063509, 200, 99.60083
2018-11-21 13:56:55.9, 65.16803, 2.064464, 200, 99.59619
2018-11-21 13:57:06.0, 65.12939, 2.064609, 200, 99.59863
2018-11-21 13:57:16.0, 65.18176, 2.064412, 200, 99.59814
2018-11-21 13:57:26.1, 64.97491, 2.065191, 200, 99.59692
2018-11-21 13:57:36.2, 64.96991, 2.06521, 200, 99.59619
2018-11-21 13:57:46.3, 64.80231, 2.065841, 200, 99.59766
2018-11-21 13:57:56.4, 64.67407, 2.066325, 200, 99.59644
2018-11-21 13:58:06.4, 64.3172, 2.067672, 200, 99.59814
2018-11-21 13:58:16.5, 64.23785, 2.067972, 200, 99.5979
2018-11-21 13:58:26.6, 63.73358, 2.069879, 200, 99.60229
2018-11-21 13:58:36.8, 63.32672, 2.07142, 200, 99.60034
2018-11-21 13:58:46.9, 63.07739, 2.072366, 200, 99.60132
2018-11-21 13:58:56.9, 62.7309, 2.073681, 200, 99.59717
2018-11-21 13:59:07.1, 62.26239, 2.075462, 200, 99.59937
2018-11-21 13:59:17.2, 61.94373, 2.076676, 200, 99.59888
2018-11-21 13:59:27.2, 61.51471, 2.078312, 200, 99.60059
2018-11-21 13:59:37.3, 61.09485, 2.079915, 200, 99.60229
2018-11-21 13:59:47.4, 60.22382, 2.083249, 200, 99.59912
2018-11-21 13:59:57.5, 59.75336, 2.085055, 200, 99.59863
2018-11-21 14:00:07.6, 59.47162, 2.086137, 200, 99.6001
2018-11-21 14:00:17.6, 59.40979, 2.086375, 200, 99.59937
2018-11-21 14:00:27.7, 59.22443, 2.087088, 200, 99.59937
2018-11-21 14:00:37.8, 59.01685, 2.087887, 200, 99.60107
2018-11-21 14:00:47.9, 58.94818, 2.088152, 200, 99.59668
2018-11-21 14:00:58.0, 59.05127, 2.087755, 200, 99.59937
2018-11-21 14:01:08.1, 58.94818, 2.088152, 200, 99.59888
2018-11-21 14:01:18.2, 58.95575, 2.088123, 200, 99.59985
2018-11-21 14:01:28.2, 58.76471, 2.088859, 200, 99.60156
2018-11-21 14:01:38.3, 58.54462, 2.089708, 200, 99.60425
2018-11-21 14:01:48.4, 58.4729, 2.089984, 200, 99.60083
2018-11-21 14:01:58.5, 58.55347, 2.089673, 200, 99.60132
2018-11-21 14:02:08.6, 58.25281, 2.090834, 200, 99.5979
2018-11-21 14:02:18.7, 58.32617, 2.090551, 200, 99.60181
2018-11-21 14:02:28.7, 58.29602, 2.090667, 200, 99.60059
2018-11-21 14:02:38.7, 58.04254, 2.091646, 200, 99.60229
2018-11-21 14:02:48.8, 58.0813, 2.091496, 200, 99.60059
2018-11-21 14:02:58.9, 58.12634, 2.091322, 200, 99.59912
2018-11-21 14:03:09.0, 57.98859, 2.091855, 200, 99.60083
2018-11-21 14:03:19.0, 57.93335, 2.092068, 200, 99.60034
2018-11-21 14:03:29.1, 57.82123, 2.092502, 200, 99.60156
2018-11-21 14:03:39.2, 57.8139, 2.09253, 200, 99.60132
2018-11-21 14:03:49.3, 57.69482, 2.092991, 200, 99.60181
2018-11-21 14:03:59.4, 57.39435, 2.094155, 200, 99.60352
2018-11-21 14:04:09.5, 57.46289, 2.093889, 200, 99.60278
2018-11-21 14:04:19.5, 57.35736, 2.094298, 200, 99.60132
2018-11-21 14:04:29.6, 57.19843, 2.094914, 200, 99.60205
2018-11-21 14:04:39.7, 57.04028, 2.095527, 200, 99.59912
2018-11-21 14:04:49.8, 56.84204, 2.096297, 200, 99.59839
2018-11-21 14:04:59.9, 57.07654, 2.095387, 200, 99.60205
2018-11-21 14:05:10.0, 56.73779, 2.096701, 200, 99.6001
2018-11-21 14:05:20.0, 56.40332, 2.098001, 200, 99.60132
2018-11-21 14:05:30.0, 56.65637, 2.097018, 200, 99.60059
2018-11-21 14:05:40.1, 56.34546, 2.098226, 200, 99.6001
2018-11-21 14:05:50.2, 56.42505, 2.097917, 200, 99.59961
2018-11-21 14:06:00.3, 56.22717, 2.098686, 200, 99.60229
