Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-28 12:18:51.6, 43.22836, 2.179038, 200, 99.60449
2018-11-28 12:19:01.7, 43.25974, 2.178914, 200, 99.60498
2018-11-28 12:19:11.8, 43.32248, 2.178666, 200, 99.60181
2018-11-28 12:19:21.9, 43.41708, 2.178293, 200, 99.60425
2018-11-28 12:19:31.9, 43.54672, 2.177781, 200, 99.59985
2018-11-28 12:19:42.0, 43.41959, 2.178283, 200, 99.60254
2018-11-28 12:19:52.1, 43.38144, 2.178433, 200, 99.60303
2018-11-28 12:20:02.2, 43.25748, 2.178923, 200, 99.60181
2018-11-28 12:20:12.2, 43.15945, 2.17931, 200, 99.60571
2018-11-28 12:20:22.2, 42.94095, 2.180173, 200, 99.60596
2018-11-28 12:20:32.4, 42.772, 2.180841, 200, 99.60156
2018-11-28 12:20:42.4, 42.48019, 2.181996, 200, 99.60303
2018-11-28 12:20:52.5, 42.18527, 2.183164, 200, 99.60449
2018-11-28 12:21:02.6, 41.9805, 2.183976, 200, 99.60229
2018-11-28 12:21:12.7, 41.55386, 2.18567, 200, 99.60791
2018-11-28 12:21:22.7, 41.26639, 2.186813, 200, 99.604
2018-11-28 12:21:32.8, 40.79239, 2.188699, 200, 99.60498
2018-11-28 12:21:42.8, 40.27591, 2.190759, 200, 99.60547
2018-11-28 12:21:52.9, 39.95993, 2.192021, 200, 99.60303
2018-11-28 12:22:03.0, 39.31961, 2.194583, 200, 99.6062
2018-11-28 12:22:13.1, 38.88431, 2.196328, 200, 99.60156
2018-11-28 12:22:23.1, 38.44455, 2.198094, 200, 99.60474
2018-11-28 12:22:33.3, 37.98203, 2.199954, 200, 99.60327
2018-11-28 12:22:43.3, 37.48752, 2.201946, 200, 99.60205
2018-11-28 12:22:53.4, 37.01486, 2.203853, 200, 99.60205
2018-11-28 12:23:03.5, 36.58932, 2.205574, 200, 99.60254
