Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-26 12:02:49.2, 64.70917, 2.098866, 200, 99.80933
2018-11-26 12:02:59.2, 64.79126, 2.098562, 200, 99.80981
2018-11-26 12:03:09.3, 64.92352, 2.098072, 200, 99.81348
2018-11-26 12:03:19.4, 64.99463, 2.097809, 200, 99.81543
2018-11-26 12:03:29.4, 64.83868, 2.098386, 200, 99.81763
2018-11-26 12:03:39.6, 64.82159, 2.09845, 200, 99.81738
2018-11-26 12:03:49.6, 64.69098, 2.098934, 200, 99.82104
2018-11-26 12:03:59.7, 64.69366, 2.098924, 200, 99.82202
2018-11-26 12:04:09.8, 64.59412, 2.099293, 200, 99.82129
2018-11-26 12:04:19.9, 64.50006, 2.099641, 200, 99.81421
2018-11-26 12:04:30.0, 64.29926, 2.100386, 200, 99.81714
2018-11-26 12:04:40.0, 64.31738, 2.100319, 200, 99.81689
2018-11-26 12:04:50.0, 64.18268, 2.100819, 200, 99.81226
2018-11-26 12:05:00.0, 63.98328, 2.10156, 200, 99.81177
2018-11-26 12:05:10.1, 64.04407, 2.101334, 200, 99.81152
2018-11-26 12:05:20.2, 64.03186, 2.101379, 200, 99.80615
2018-11-26 12:05:30.3, 63.76233, 2.102381, 200, 99.81079
2018-11-26 12:05:40.3, 63.74512, 2.102445, 200, 99.81177
2018-11-26 12:05:50.4, 63.70605, 2.10259, 200, 99.81201
2018-11-26 12:06:00.6, 63.79462, 2.102261, 200, 99.81519
2018-11-26 12:06:10.6, 63.60205, 2.102977, 200, 99.81445
2018-11-26 12:06:20.7, 63.6615, 2.102756, 200, 99.81567
2018-11-26 12:06:30.8, 63.45728, 2.103515, 200, 99.81226
2018-11-26 12:06:40.8, 63.31213, 2.104056, 200, 99.81592
2018-11-26 12:06:50.9, 63.27631, 2.104189, 200, 99.81592
2018-11-26 12:07:01.0, 63.16614, 2.104599, 200, 99.81104
2018-11-26 12:07:11.1, 63.04486, 2.105052, 200, 99.80713
2018-11-26 12:07:21.2, 62.82153, 2.105884, 200, 99.80127
2018-11-26 12:07:31.3, 62.63782, 2.10657, 200, 99.7959
2018-11-26 12:07:41.3, 62.33527, 2.1077, 200, 99.78687
2018-11-26 12:07:51.4, 62.02295, 2.108867, 200, 99.78394
2018-11-26 12:08:01.5, 61.62994, 2.110339, 200, 99.78833
2018-11-26 12:08:11.6, 61.42963, 2.111089, 200, 99.78613
2018-11-26 12:08:21.7, 61.03424, 2.112573, 200, 99.78857
2018-11-26 12:08:31.8, 60.53998, 2.11443, 200, 99.79102
2018-11-26 12:08:41.8, 60.05457, 2.116257, 200, 99.79688
2018-11-26 12:08:51.9, 59.7215, 2.117512, 200, 99.80249
2018-11-26 12:09:02.0, 59.21442, 2.119426, 200, 99.80005
2018-11-26 12:09:12.1, 58.50122, 2.122125, 200, 99.80249
2018-11-26 12:09:22.2, 57.95862, 2.124182, 200, 99.79907
2018-11-26 12:09:32.3, 57.34894, 2.126499, 200, 99.79443
