Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-19 16:26:35.7, 98.37009, 2.252095, 200, 99.81982
2018-11-19 16:26:50.8, 98.34567, 2.252191, 200, 99.81348
2018-11-19 16:27:05.9, 98.57883, 2.25127, 200, 99.81396
2018-11-19 16:27:20.9, 98.45309, 2.251767, 200, 99.81445
2018-11-19 16:27:36.0, 98.30099, 2.252368, 200, 99.81421
2018-11-19 16:27:51.1, 98.27933, 2.252454, 200, 99.81421
2018-11-19 16:28:06.2, 97.89761, 2.253964, 200, 99.8125
2018-11-19 16:28:21.3, 97.32944, 2.256216, 200, 99.81299
2018-11-19 16:28:36.3, 96.87814, 2.258008, 200, 99.81445
2018-11-19 16:28:51.4, 96.00565, 2.26148, 200, 99.80786
2018-11-19 16:29:06.5, 95.24948, 2.264497, 200, 99.80933
2018-11-19 16:29:21.6, 94.40237, 2.267888, 200, 99.8103
2018-11-19 16:29:36.6, 93.61594, 2.271044, 200, 99.8103
2018-11-19 16:29:51.7, 92.62228, 2.275045, 200, 99.81274
2018-11-19 16:30:06.8, 91.44296, 2.279813, 200, 99.81177
2018-11-19 16:30:21.8, 90.56296, 2.283383, 200, 99.81226
