Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-28 14:47:05.2, 21.56985, 2.268059, 200, 99.56152
2018-11-28 14:47:15.3, 21.55637, 2.268116, 200, 99.56299
2018-11-28 14:47:25.4, 21.39365, 2.268813, 200, 99.55835
2018-11-28 14:47:35.4, 21.47421, 2.268468, 200, 99.5625
2018-11-28 14:47:45.5, 21.54337, 2.268172, 200, 99.56519
2018-11-28 14:47:55.6, 21.58096, 2.268011, 200, 99.56152
2018-11-28 14:48:05.7, 21.65939, 2.267676, 200, 99.5647
2018-11-28 14:48:15.8, 21.68027, 2.267586, 200, 99.56177
2018-11-28 14:48:25.8, 21.61014, 2.267886, 200, 99.56055
2018-11-28 14:48:35.9, 21.73502, 2.267352, 200, 99.56372
2018-11-28 14:48:46.0, 21.70816, 2.267467, 200, 99.5647
2018-11-28 14:48:56.1, 21.62735, 2.267812, 200, 99.5603
2018-11-28 14:49:06.2, 21.74246, 2.26732, 200, 99.56348
2018-11-28 14:49:16.3, 21.7424, 2.267321, 200, 99.56543
2018-11-28 14:49:26.4, 21.52267, 2.26826, 200, 99.56348
2018-11-28 14:49:36.5, 21.45346, 2.268557, 200, 99.56396
2018-11-28 14:49:46.5, 21.4581, 2.268537, 200, 99.56226
2018-11-28 14:49:56.6, 21.48856, 2.268406, 200, 99.55981
2018-11-28 14:50:06.7, 21.42764, 2.268667, 200, 99.55908
2018-11-28 14:50:16.8, 21.38522, 2.268849, 200, 99.56201
2018-11-28 14:50:26.9, 21.15549, 2.269833, 200, 99.56104
2018-11-28 14:50:37.0, 21.14493, 2.269878, 200, 99.56128
2018-11-28 14:50:47.0, 20.91452, 2.270866, 200, 99.56396
2018-11-28 14:50:57.1, 20.94479, 2.270736, 200, 99.56494
2018-11-28 14:51:07.2, 20.7175, 2.271711, 200, 99.55957
2018-11-28 14:51:17.3, 20.59006, 2.272258, 200, 99.55786
2018-11-28 14:51:27.4, 20.70779, 2.271752, 200, 99.56396
2018-11-28 14:51:37.5, 20.34116, 2.273327, 200, 99.55981
2018-11-28 14:51:47.6, 20.33817, 2.27334, 200, 99.55933
2018-11-28 14:51:57.6, 20.32126, 2.273413, 200, 99.56372
2018-11-28 14:52:07.7, 20.1506, 2.274147, 200, 99.5625
2018-11-28 14:52:17.8, 20.18857, 2.273983, 200, 99.56274
2018-11-28 14:52:27.9, 20.1962, 2.273951, 200, 99.56006
2018-11-28 14:52:38.0, 20.12643, 2.274251, 200, 99.56299
2018-11-28 14:52:48.1, 20.09189, 2.274399, 200, 99.56592
2018-11-28 14:52:58.1, 19.99069, 2.274834, 200, 99.55957
2018-11-28 14:53:08.2, 19.99606, 2.274812, 200, 99.55737
2018-11-28 14:53:18.3, 20.00607, 2.274769, 200, 99.56494
2018-11-28 14:53:28.4, 19.91928, 2.275142, 200, 99.56323
2018-11-28 14:53:38.5, 19.85153, 2.275434, 200, 99.56006
2018-11-28 14:53:48.6, 19.80557, 2.275632, 200, 99.56543
2018-11-28 14:53:58.6, 19.75784, 2.275837, 200, 99.56421
2018-11-28 14:54:08.7, 19.66837, 2.276223, 200, 99.5647
2018-11-28 14:54:18.8, 19.68411, 2.276155, 200, 99.56567
2018-11-28 14:54:28.9, 19.6069, 2.276488, 200, 99.56177
2018-11-28 14:54:39.0, 19.41971, 2.277295, 200, 99.56128
2018-11-28 14:54:49.1, 19.35855, 2.277558, 200, 99.56128
2018-11-28 14:54:59.1, 19.27841, 2.277904, 200, 99.56641
2018-11-28 14:55:09.2, 19.19669, 2.278257, 200, 99.56274
2018-11-28 14:55:19.3, 19.0715, 2.278798, 200, 99.56567
2018-11-28 14:55:29.4, 19.056, 2.278864, 200, 99.56616
2018-11-28 14:55:39.5, 18.9227, 2.27944, 200, 99.56567
2018-11-28 14:55:49.5, 18.77237, 2.28009, 200, 99.56665
2018-11-28 14:55:59.6, 18.5549, 2.281031, 200, 99.56812
2018-11-28 14:56:09.7, 18.5322, 2.281129, 200, 99.56909
2018-11-28 14:56:19.8, 18.33505, 2.281982, 200, 99.5647
