Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-21 14:13:38.1, 64.8559, 2.065639, 200, 99.60278
2018-11-21 14:13:48.3, 64.83942, 2.065702, 200, 99.60083
2018-11-21 14:13:58.3, 64.96704, 2.065221, 200, 99.60278
2018-11-21 14:14:08.4, 64.76532, 2.065981, 200, 99.60107
2018-11-21 14:14:18.5, 64.98413, 2.065156, 200, 99.60132
2018-11-21 14:14:28.6, 64.86389, 2.065609, 200, 99.59937
2018-11-21 14:14:38.7, 64.95654, 2.06526, 200, 99.60352
2018-11-21 14:14:48.7, 64.95819, 2.065254, 200, 99.60132
2018-11-21 14:14:58.8, 64.7854, 2.065905, 200, 99.60303
2018-11-21 14:15:08.8, 64.61102, 2.066563, 200, 99.60205
2018-11-21 14:15:18.9, 64.66101, 2.066375, 200, 99.60303
2018-11-21 14:15:29.0, 64.60028, 2.066603, 200, 99.60156
2018-11-21 14:15:39.1, 64.41681, 2.067296, 200, 99.59888
2018-11-21 14:15:49.1, 64.42206, 2.067276, 200, 99.60132
2018-11-21 14:15:59.2, 64.11011, 2.068455, 200, 99.59863
2018-11-21 14:16:09.3, 63.9024, 2.06924, 200, 99.60132
2018-11-21 14:16:19.4, 63.77509, 2.069722, 200, 99.59985
2018-11-21 14:16:29.5, 63.21667, 2.071837, 200, 99.59814
2018-11-21 14:16:39.6, 62.78784, 2.073465, 200, 99.59961
2018-11-21 14:16:49.7, 62.3678, 2.075061, 200, 99.59644
2018-11-21 14:16:59.7, 61.95526, 2.076632, 200, 99.59961
2018-11-21 14:17:09.8, 61.61542, 2.077927, 200, 99.60059
2018-11-21 14:17:19.9, 60.91516, 2.080602, 200, 99.59863
2018-11-21 14:17:30.0, 60.38049, 2.082649, 200, 99.59717
2018-11-21 14:17:40.0, 59.84021, 2.084721, 200, 99.59717
2018-11-21 14:17:50.1, 59.46924, 2.086146, 200, 99.59961
2018-11-21 14:18:00.1, 58.99744, 2.087962, 200, 99.5979
2018-11-21 14:18:10.2, 58.34229, 2.090488, 200, 99.59497
2018-11-21 14:18:20.3, 57.72748, 2.092865, 200, 99.59595
2018-11-21 14:18:30.4, 57.50647, 2.09372, 200, 99.59888
2018-11-21 14:18:40.5, 56.9978, 2.095692, 200, 99.59814
2018-11-21 14:18:50.6, 56.74176, 2.096686, 200, 99.59839
2018-11-21 14:19:00.6, 56.52539, 2.097527, 200, 99.59644
2018-11-21 14:19:10.7, 56.14288, 2.099015, 200, 99.59668
2018-11-21 14:19:20.8, 55.99176, 2.099603, 200, 99.59644
2018-11-21 14:19:30.9, 55.58472, 2.101189, 200, 99.59741
2018-11-21 14:19:41.0, 55.01782, 2.103403, 200, 99.59937
