Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-21 10:43:59.2, 98.93207, 1.944707, 200, 99.62891
2018-11-21 10:44:14.2, 99.00781, 1.944454, 200, 99.62598
2018-11-21 10:44:29.3, 99.14935, 1.943981, 200, 99.6272
2018-11-21 10:44:44.4, 98.87714, 1.944891, 200, 99.62573
2018-11-21 10:44:59.4, 98.49084, 1.946182, 200, 99.63086
2018-11-21 10:45:14.5, 98.41602, 1.946433, 200, 99.62891
2018-11-21 10:45:29.6, 97.8595, 1.948297, 200, 99.63013
2018-11-21 10:45:44.7, 97.43024, 1.949738, 200, 99.63062
2018-11-21 10:45:59.8, 97.12048, 1.950779, 200, 99.62695
2018-11-21 10:46:14.8, 96.41364, 1.953158, 200, 99.625
2018-11-21 10:46:29.9, 95.68158, 1.955628, 200, 99.6272
2018-11-21 10:46:45.0, 94.93579, 1.958151, 200, 99.62598
2018-11-21 10:47:00.0, 94.05518, 1.961139, 200, 99.62476
2018-11-21 10:47:15.1, 93.19965, 1.96405, 200, 99.62671
2018-11-21 10:47:30.1, 92.22278, 1.967385, 200, 99.62769
2018-11-21 10:47:45.2, 91.36774, 1.970313, 200, 99.62695
2018-11-21 10:48:00.3, 90.677, 1.972685, 200, 99.62378
