Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-23 11:27:57.1, 85.25583, 2.002747, 200, 99.30127
2018-11-23 11:28:07.1, 85.0134, 2.003582, 200, 99.29517
2018-11-23 11:28:17.2, 85.07681, 2.003364, 200, 99.29663
2018-11-23 11:28:27.3, 85.07175, 2.003381, 200, 99.29492
2018-11-23 11:28:37.4, 84.86319, 2.004101, 200, 99.29932
2018-11-23 11:28:47.5, 84.5325, 2.005243, 200, 99.29395
2018-11-23 11:28:57.5, 84.32529, 2.005959, 200, 99.29565
2018-11-23 11:29:07.7, 84.21127, 2.006354, 200, 99.29321
2018-11-23 11:29:17.7, 83.9899, 2.00712, 200, 99.29541
2018-11-23 11:29:27.8, 83.77377, 2.007868, 200, 99.29468
2018-11-23 11:29:37.9, 83.24307, 2.009709, 200, 99.29688
2018-11-23 11:29:48.0, 82.87497, 2.010987, 200, 99.29761
2018-11-23 11:29:58.0, 82.47012, 2.012395, 200, 99.29541
2018-11-23 11:30:08.1, 81.84225, 2.014583, 200, 99.29517
2018-11-23 11:30:18.2, 81.17697, 2.016906, 200, 99.29614
2018-11-23 11:30:28.3, 80.61545, 2.018871, 200, 99.29492
2018-11-23 11:30:38.4, 80.08481, 2.020731, 200, 99.29517
2018-11-23 11:30:48.5, 79.37149, 2.023238, 200, 99.29102
2018-11-23 11:30:58.6, 78.54245, 2.026159, 200, 99.29321
2018-11-23 11:31:08.7, 77.8967, 2.02844, 200, 99.2937
2018-11-23 11:31:18.7, 77.00778, 2.031588, 200, 99.29492
2018-11-23 11:31:28.8, 76.26505, 2.034226, 200, 99.29614
2018-11-23 11:31:38.9, 75.39163, 2.037336, 200, 99.29517
