Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-21 15:16:35.5, 42.85437, 2.152045, 200, 99.57959
2018-11-21 15:16:45.6, 43.02838, 2.151333, 200, 99.58057
2018-11-21 15:16:55.7, 43.10449, 2.151022, 200, 99.5813
2018-11-21 15:17:05.8, 43.02637, 2.151342, 200, 99.57983
2018-11-21 15:17:15.9, 42.96075, 2.15161, 200, 99.58179
2018-11-21 15:17:26.0, 42.77179, 2.152383, 200, 99.58374
2018-11-21 15:17:36.0, 42.53693, 2.153345, 200, 99.58057
2018-11-21 15:17:46.2, 42.24188, 2.154554, 200, 99.58301
2018-11-21 15:17:56.2, 41.98627, 2.155603, 200, 99.58301
2018-11-21 15:18:06.3, 41.65686, 2.156956, 200, 99.58008
2018-11-21 15:18:16.4, 41.15442, 2.159023, 200, 99.58105
2018-11-21 15:18:26.5, 40.93481, 2.159928, 200, 99.5835
2018-11-21 15:18:36.5, 40.53955, 2.161558, 200, 99.58398
2018-11-21 15:18:46.6, 40.06488, 2.163519, 200, 99.58447
2018-11-21 15:18:56.7, 39.64594, 2.165253, 200, 99.58252
2018-11-21 15:19:06.8, 39.25452, 2.166876, 200, 99.58325
2018-11-21 15:19:16.9, 38.64917, 2.169389, 200, 99.58496
2018-11-21 15:19:27.0, 38.0448, 2.171905, 200, 99.58276
2018-11-21 15:19:37.0, 37.56659, 2.1739, 200, 99.58325
2018-11-21 15:19:47.1, 37.20996, 2.17539, 200, 99.58325
