Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-26 11:13:07.9, 80.60941, 2.319914, 200, 98.87354
2018-11-26 11:13:18.0, 80.09805, 2.322028, 200, 98.8728
2018-11-26 11:13:28.0, 79.72141, 2.323587, 200, 98.87305
2018-11-26 11:13:38.1, 79.04623, 2.326387, 200, 98.87158
2018-11-26 11:13:48.2, 78.52597, 2.32855, 200, 98.8728
2018-11-26 11:13:58.2, 78.09866, 2.330328, 200, 98.87036
2018-11-26 11:14:08.3, 77.43735, 2.333087, 200, 98.86914
2018-11-26 11:14:18.4, 76.80057, 2.335749, 200, 98.87207
2018-11-26 11:14:28.5, 76.19113, 2.338303, 200, 98.87109
2018-11-26 11:14:38.5, 75.40036, 2.341625, 200, 98.86743
2018-11-26 11:14:48.6, 74.8541, 2.343925, 200, 98.86426
