Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-14 17:03:54.7, 98.85236, 2.257503, 200, 100.4148
2018-11-14 17:04:09.8, 98.99225, 2.256939, 200, 100.4146
2018-11-14 17:04:24.8, 99.03638, 2.256762, 200, 100.4126
2018-11-14 17:04:39.8, 99.01843, 2.256834, 200, 100.415
2018-11-14 17:04:54.9, 98.72272, 2.258026, 200, 100.4146
2018-11-14 17:05:10.0, 98.38617, 2.259383, 200, 100.4097
2018-11-14 17:05:25.1, 97.89667, 2.261361, 200, 100.4182
2018-11-14 17:05:40.1, 97.27209, 2.26389, 200, 100.4094
2018-11-14 17:05:55.2, 96.47083, 2.267142, 200, 100.4111
2018-11-14 17:06:10.2, 95.58789, 2.270737, 200, 100.4094
2018-11-14 17:06:25.2, 94.71674, 2.274295, 200, 100.4094
2018-11-14 17:06:40.3, 93.8924, 2.277672, 200, 100.4092
2018-11-14 17:06:55.4, 92.84613, 2.281972, 200, 100.4097
2018-11-14 17:07:10.5, 91.63043, 2.28699, 200, 100.4116
2018-11-14 17:07:25.6, 90.51392, 2.291617, 200, 100.4111
2018-11-14 17:07:40.6, 89.18634, 2.297144, 200, 100.4119
