Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-26 17:04:08.1, 21.03751, 2.595076, 200, 98.50659
2018-11-26 17:04:18.2, 20.99142, 2.595314, 200, 98.51099
2018-11-26 17:04:28.3, 21.0173, 2.59518, 200, 98.50879
2018-11-26 17:04:38.4, 21.01437, 2.595195, 200, 98.50854
2018-11-26 17:04:48.4, 21.01462, 2.595194, 200, 98.50537
2018-11-26 17:04:58.5, 21.16589, 2.594413, 200, 98.50879
2018-11-26 17:05:08.6, 20.99493, 2.595296, 200, 98.50146
2018-11-26 17:05:18.7, 20.94839, 2.595536, 200, 98.50537
2018-11-26 17:05:28.8, 20.91852, 2.59569, 200, 98.49976
2018-11-26 17:05:38.9, 20.74417, 2.596592, 200, 98.5061
2018-11-26 17:05:48.9, 20.91025, 2.595733, 200, 98.50098
2018-11-26 17:05:59.1, 20.69989, 2.596821, 200, 98.50269
2018-11-26 17:06:09.1, 20.70947, 2.596772, 200, 98.50366
2018-11-26 17:06:19.2, 20.57547, 2.597465, 200, 98.5
2018-11-26 17:06:29.3, 20.59763, 2.59735, 200, 98.50049
2018-11-26 17:06:39.4, 20.35721, 2.598596, 200, 98.49854
2018-11-26 17:06:49.5, 20.23477, 2.59923, 200, 98.5
2018-11-26 17:06:59.5, 20.06061, 2.600133, 200, 98.49805
2018-11-26 17:07:09.6, 19.93143, 2.600803, 200, 98.49414
2018-11-26 17:07:19.6, 19.80573, 2.601456, 200, 98.49487
2018-11-26 17:07:29.7, 19.73547, 2.60182, 200, 98.4978
2018-11-26 17:07:39.7, 19.36374, 2.603753, 200, 98.49194
2018-11-26 17:07:49.8, 19.26846, 2.604249, 200, 98.49316
2018-11-26 17:07:59.8, 19.13199, 2.604959, 200, 98.49023
