Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-11-21 12:21:14.7, 84.71063, 1.993413, 200, 99.604
2018-11-21 12:21:24.8, 84.7934, 1.993122, 200, 99.60352
2018-11-21 12:21:34.9, 84.80817, 1.99307, 200, 99.60254
2018-11-21 12:21:45.0, 84.85364, 1.992911, 200, 99.604
2018-11-21 12:21:55.1, 84.74457, 1.993294, 200, 99.60547
2018-11-21 12:22:05.1, 84.81195, 1.993057, 200, 99.6062
2018-11-21 12:22:15.2, 84.57263, 1.993897, 200, 99.60571
2018-11-21 12:22:25.3, 84.56647, 1.993919, 200, 99.60571
2018-11-21 12:22:35.4, 84.40973, 1.994469, 200, 99.60132
2018-11-21 12:22:45.5, 84.1322, 1.995445, 200, 99.60449
2018-11-21 12:22:55.6, 83.73438, 1.996846, 200, 99.60352
2018-11-21 12:23:05.7, 83.27863, 1.998452, 200, 99.6062
2018-11-21 12:23:15.7, 82.78296, 2.000203, 200, 99.60425
2018-11-21 12:23:25.8, 82.27979, 2.001983, 200, 99.60474
2018-11-21 12:23:35.9, 81.59558, 2.004408, 200, 99.60449
2018-11-21 12:23:46.0, 81.05682, 2.006323, 200, 99.60522
2018-11-21 12:23:56.1, 80.40765, 2.008634, 200, 99.60352
2018-11-21 12:24:06.2, 79.51074, 2.011836, 200, 99.60645
2018-11-21 12:24:16.4, 78.81018, 2.014344, 200, 99.60693
2018-11-21 12:24:26.4, 78.08466, 2.016948, 200, 99.60742
2018-11-21 12:24:36.5, 77.00122, 2.020849, 200, 99.60498
2018-11-21 12:24:46.6, 76.21783, 2.02368, 200, 99.60718
2018-11-21 12:24:56.7, 75.66394, 2.025686, 200, 99.60693
