finclip_id,expt_period,time_min,do_%sat,po2_torr,umol_o2,lc_sel_start,lc_sel_end,lc_sel_dur
middle,mmr_smr,3.8975,88.7473,142.5237,-0.0109,01:30.0,06:15.0,300
middle,mmr_smr,16.46,90.9008,145.9821,-0.0059,14:00.0,18:45.0,300
middle,mmr_smr,28.5158,92.8647,149.136,-0.0041,26:00.0,30:45.0,300
middle,mmr_smr,41.075,93.0747,149.4732,-0.0041,38:30.0,43:15.0,300
middle,mmr_smr,53.1325,93.319,149.8656,-0.0036,50:30.0,55:15.0,300
middle,mmr_smr,65.6958,94.0123,150.9791,-0.0032,03:00.0,07:45.0,300
middle,mmr_smr,77.755,94.3121,151.4604,-0.0027,15:00.0,19:45.0,300
middle,mmr_smr,90.3158,94.5116,151.7808,-0.0024,27:30.0,32:15.0,300
middle,mmr_smr,102.6242,94.2806,151.41,-0.0029,39:45.0,44:30.0,300
middle,mmr_smr,114.935,94.4356,151.6587,-0.0026,52:00.0,56:45.0,300
middle,mmr_smr,127.2483,94.4401,151.6661,-0.0025,04:15.0,09:00.0,300
middle,mmr_smr,139.5542,95.0141,152.5878,-0.0021,16:30.0,21:15.0,300
middle,mmr_smr,151.8658,94.2609,151.3782,-0.0028,28:45.0,33:30.0,300
middle,mmr_smr,164.1792,94.4955,151.7551,-0.0027,41:00.0,45:45.0,300
middle,mmr_smr,176.495,94.9436,152.4746,-0.0022,53:15.0,58:00.0,300
middle,mmr_smr,189.0608,95.0111,152.583,-0.0021,05:45.0,10:30.0,300
middle,mmr_smr,201.3692,94.7886,152.2257,-0.0021,18:00.0,22:45.0,300
middle,mmr_smr,213.4317,95.1579,152.8188,-0.0019,30:00.0,34:45.0,300
middle,mmr_smr,225.9925,94.8424,152.312,-0.0021,42:30.0,47:15.0,300
middle,mmr_smr,238.3017,94.7428,152.1522,-0.0021,54:45.0,59:30.0,300
middle,mmr_smr,250.6158,95.0275,152.6093,-0.0021,07:00.0,11:45.0,300
middle,mmr_smr,262.9275,95.0957,152.7189,-0.0018,19:15.0,24:00.0,300
middle,mmr_smr,275.3632,94.9252,152.445,-0.0022,31:45.0,36:15.0,285
middle,mmr_smr,287.55,94.9134,152.4262,-0.002,43:45.0,48:30.0,300
middle,mmr_smr,299.8642,94.889,152.3869,-0.0021,56:00.0,00:45.0,300
middle,mmr_smr,312.2991,95.1645,152.8294,-0.0018,08:30.0,13:00.0,285
middle,mmr_smr,324.6097,95.2394,152.9497,-0.0018,20:45.0,25:15.0,285
middle,mmr_smr,336.7983,95.1189,152.7561,-0.0019,32:45.0,37:30.0,300
middle,mmr_smr,349.1075,95.1961,152.8801,-0.0018,45:00.0,49:45.0,300
middle,mmr_smr,361.6692,95.2891,153.0294,-0.0017,57:30.0,02:15.0,300
middle,mmr_smr,373.9825,95.3021,153.0504,-0.0017,09:45.0,14:30.0,300
middle,mmr_smr,386.2958,95.1669,152.8332,-0.0021,22:00.0,26:45.0,300
middle,mmr_smr,398.605,94.9532,152.49,-0.0019,34:15.0,39:00.0,300
middle,mmr_smr,410.9167,95.2853,153.0233,-0.0017,46:30.0,51:15.0,300
middle,mmr_smr,423.23,95.1647,152.8298,-0.0019,58:45.0,03:30.0,300
middle,mmr_smr,435.5416,95.3292,153.094,-0.0017,11:00.0,15:45.0,300
middle,mmr_smr,447.8517,95.4266,153.2503,-0.0018,23:15.0,28:00.0,300
middle,mmr_smr,460.1642,95.4098,153.2233,-0.0016,35:30.0,40:15.0,300
middle,mmr_smr,472.7275,95.0236,152.6031,-0.002,48:00.0,52:45.0,300
middle,mmr_smr,485.0375,95.2171,152.9139,-0.0018,00:15.0,05:00.0,300
middle,mmr_smr,497.3508,95.4289,153.254,-0.0016,12:30.0,17:15.0,300
middle,mmr_smr,509.6625,95.3282,153.0923,-0.0019,24:45.0,29:30.0,300
middle,mmr_smr,521.7208,95.3898,153.1912,-0.0019,36:45.0,41:30.0,300
middle,mmr_smr,534.2842,95.3319,153.0982,-0.0018,49:15.0,54:00.0,300
middle,mmr_smr,546.5967,95.2403,152.9512,-0.0018,01:30.0,06:15.0,300
middle,mmr_smr,558.9075,95.3071,153.0584,-0.0017,13:45.0,18:30.0,300
middle,mmr_smr,571.2183,95.3112,153.065,-0.0018,26:00.0,30:45.0,300
middle,mmr_smr,583.5325,95.3063,153.0571,-0.0019,38:15.0,43:00.0,300
middle,mmr_smr,596.0925,95.4405,153.2726,-0.0017,50:45.0,55:30.0,300
middle,mmr_smr,608.1533,95.2844,153.0219,-0.0018,02:45.0,07:30.0,300
middle,mmr_smr,620.4658,95.5591,153.463,-0.0016,15:00.0,19:45.0,300
middle,mmr_smr,633.03,95.4749,153.3279,-0.0016,27:30.0,32:15.0,300
middle,mmr_smr,645.3392,95.567,153.4757,-0.0016,39:45.0,44:30.0,300
middle,mmr_smr,657.6509,95.5269,153.4115,-0.0016,52:00.0,56:45.0,300
middle,mmr_smr,670.2141,95.3375,153.1072,-0.0018,04:30.0,09:15.0,300
middle,mmr_smr,682.2725,95.4067,153.2183,-0.0019,16:30.0,21:15.0,300
middle,mmr_smr,694.5858,95.5861,153.5064,-0.0016,28:45.0,33:30.0,300
middle,mmr_smr,706.8984,95.5476,153.4446,-0.0017,41:00.0,45:45.0,300
middle,mmr_smr,719.2099,95.7422,153.7572,-0.0016,53:15.0,58:00.0,300
middle,mmr_smr,731.5209,95.6551,153.6173,-0.0016,05:30.0,10:15.0,300
middle,mmr_smr,743.9596,95.4923,153.3558,-0.0017,18:00.0,22:30.0,285
middle,mmr_smr,756.1475,95.3991,153.2061,-0.0017,30:00.0,34:45.0,300
middle,mmr_smr,768.7058,95.4494,153.2869,-0.0019,42:30.0,47:15.0,300
middle,mmr_smr,781.0184,95.4239,153.246,-0.002,54:45.0,59:30.0,300
middle,mmr_smr,793.3308,95.6835,153.6629,-0.0014,07:00.0,11:45.0,300
middle,mmr_smr,805.6408,95.5232,153.4054,-0.0017,19:15.0,24:00.0,300
middle,mmr_smr,817.9516,95.6966,153.6838,-0.0015,31:30.0,36:15.0,300
middle,mmr_smr,830.2667,95.5687,153.4784,-0.0017,43:45.0,48:30.0,300
