MO2,DO
6.119999999999999,96.9518
6.84,93.8794
7.2,90.6836
6.4799999999999995,87.5073
7.2,84.4562
6.4799999999999995,81.3497
7.2,78.3554
6.4799999999999995,75.1874
6.119999999999999,72.2574
6.119999999999999,69.4226
6.119999999999999,66.5976
6.4799999999999995,63.6927
6.119999999999999,60.7859
5.760000000000001,58.1506
5.760000000000001,55.5561
5.760000000000001,52.9197
5.4,50.3529
5.04,47.8938
5.4,45.4811
5.4,43.0454
5.4,40.6331
5.4,38.1878
5.4,35.7283
5.760000000000001,33.1944
5.4,30.6335
5.760000000000001,28.0785
5.760000000000001,25.476
5.4,22.9167
5.760000000000001,20.3972
5.4,17.8531
5.04,15.4458
4.68,13.2004
4.319999999999999,11.1567
3.6,9.3494
2.8800000000000003,7.86
2.8800000000000003,6.4729
2.52,5.2603
1.8,4.2878
1.4400000000000002,3.5605
1.0799999999999998,3.0006
1.0799999999999998,2.5486
0.7200000000000001,2.151
